,title,author,vol,journal,DOI_link,DOI_number,Crossref_link
1,Volatile Constituents of the Essential Oil of Acorus calamus L. Growth in Konya Province (Turkey),"M. Ozcan, A. Akgul, J.C Chalchat",VOL. 14 366-368 (Sep/Oct 2002),Journal of Essential Oil Research,https://doi.org/10.1080/10412905.2002.9699886,10.1080/10412905.2002.9699886,
2,Composition of Essential Oil of Sweet Flag(Acorus calamus L.) Leaves at Different Growing Phases,"Petras R. Venskutonis,Audrone Dagilyte","VOL. 15, 313-318 (Sep/Oct 2003)",Journal of Essential Oil Research,https://doi.org/10.1080/10412905.2003.9698598,10.1080/10412905.2003.9698598,
3,Composition of Essential Oil of Sweet Flag(Acorus calamus L.) Leaves at Different Growing Phases,"Petras R. Venskutonis,Audrone Dagilyte","VOL. 15, 313-318 (Sep/Oct 2003)",Journal of Essential Oil Research,https://doi.org/10.1080/10412905.2003.9698598,10.1080/10412905.2003.9698598,
4,Essential Oil Composition of Acorus calamus L. from the lower region of the Himalayas,"V. K. Raina,S. K. Srivastava,K. V. Syamasunder","VOL. 18, 18-20 (2003)",Flavour and Fragrance Journal,https://doi.org/10.1002/ffj.1136,10.1002/ffj.1136,
5,Essential Oil Composition of Acorus calamus L. from the lower region of the Himalayas,"V. K. Raina,S. K. Srivastava,K. V. Syamasunder","VOL. 18, 18-20 (2003)",Flavour and Fragrance Journal,https://doi.org/10.1002/ffj.1136,10.1002/ffj.1136,
6,Aromas from Quebec. I. Composition of the Essential Oil of the rhizomes of Acorus calamus L.,"Francoois-Xavier Garneau, Guy Collin, Andre Pichette","VOL. 20, 250-254 (May/June 2008)",Journal of Essential Oil Research,https://doi.org/10.1080/10412905.2010.9700293,10.1080/10412905.2010.9700293,
7,Headspace Analysis of the Male and Female Flowers of Kiwifruit Grown in Iran.,"A. Samadi-Maybodi, M.R. Shariat, M. Zarei, M.B. Rezai.","VOL. 14, 414-415 (Nov/Dec 2002)",Journal of Essential Oil Research,https://doi.org/10.1080/10412905.2002.9699906,10.1080/10412905.2002.9699906,
8,Headspace Analysis of the Male and Female Flowers of Kiwifruit Grown in Iran.,"A. Samadi-Maybodi, M.R. Shariat, M. Zarei, M.B. Rezai.","VOL. 14, 414-415 (Nov/Dec 2002)",Journal of Essential Oil Research,https://doi.org/10.1080/10412905.2002.9699906,10.1080/10412905.2002.9699906,
9,Composition of garlic essential oil (Allium sativum L.) as influenced by drying method,"Salma Dziri, Hervé Casabianca, Belgacem Hanchi & Karim Hosni","VOL. 26, 91-96 (Mar/Apr 2014)",Journal of Essential Oil Research,https://doi.org/10.1080/10412905.2013.868329,10.1080/10412905.2013.868329,
10,Chemical Examination of the Essential Oil of Chenopodium ambrosioides L. from the Southern Hills of India.,"Deepti Gupta, Reena Charles, V. K. Mehta, S. N. Garg, Sushil kumar.","VOL. 14, 93-94 (Mar/Apr 2002)",Journal of Essential Oil Research,https://doi.org/10.1080/10412905.2002.9699780,10.1080/10412905.2002.9699780,
11,Essential Oil of Chenopodium ambrosioides L. from Cuba.,"Jorge A. Pino, Rolando Marbot, Ida M. Real.","VOL. 15, 193-194 (May/June 2003)",Journal of Essential Oil Research,https://doi.org/10.1080/10412905.2003.9712118,10.1080/10412905.2003.9712118,
12,Volatile Flavor Compounds from Allium fistulosum L.,"Jorge A. Pino, Aristides Rosado, Victor Fuentes.","VOL. 12, 553-555 (Sep/Oct 2000)",Journal of Essential Oil Research,https://doi.org/10.1080/10412905.2000.9712157,10.1080/10412905.2000.9712157,
13,Volatiles from Crinum latifolium,"Nguyen Thi Ngoc Tram,Zomitza G.Kamenarska,Nedyalka V.Handjieva, Vassya S. Bankova, Simeon S. Popov","VOL. 15, 195-197(May/June 2003)",Journal of Essential Oil Research,https://doi.org/10.1080/10412905.2003.9712111,10.1080/10412905.2003.9712111,
14,Composition of the Essential Oils from Galls and Aerial Parts of Pistacia lentiscus L.,"Ana Fernandez, Ana Camacho, Carlos Fernandez, Joaquin Alterjoa, Pilar Perez.","VOL. 12, 19-23 (Jan/Feb 2000)",Journal of Essential Oil Research,https://doi.org/10.1080/10412905.2000.9712031,10.1080/10412905.2000.9712031,
15,Composition of the Essential Oils from Galls and Aerial Parts of Pistacia lentiscus L.,"Ana Fernandez, Ana Camacho, Carlos Fernandez, Joaquin Alterjoa, Pilar Perez.","VOL. 12, 19-23 (Jan/Feb 2000)",Journal of Essential Oil Research,https://doi.org/10.1080/10412905.2000.9712031,10.1080/10412905.2000.9712031,
16,Volatile Constituents of Lithraea ternifolia (Gillies) Barkley Fruit.,"D.M. Maestri, D. O. Labuckas, J. A. Zygadlo.","VOL. 14, 257-258 (July/Aug 2002)",Journal of Essential Oil Research,https://doi.org/10.1080/10412905.2002.9699859,10.1080/10412905.2002.9699859,
17,Chemical Composition of the Essential Oils of Pistacia atlantica Desf.,"A.F. Barrero, M.M. Herrador & J.F. Arteaga","VOL. 17, 52-54 (Jan/Feb 2005)",Journal of Essential Oil Research,,,
18,Chemical Composition of the Essential Oils of Pistacia atlantica Desf.,"A.F. Barrero, M.M. Herrador & J.F. Arteaga","VOL. 17, 52-54 (Jan/Feb 2005)",Journal of Essential Oil Research,,,
19,Chemical Composition of the Essential Oils of Pistacia atlantica Desf.,"A.F. Barrero, M.M. Herrador & J.F. Arteaga","VOL. 17, 52-54 (Jan/Feb 2005)",Journal of Essential Oil Research,,,
20,"Composition of Leaf, Fruit and Gall Essential Oils of Algerian Pistacia atlantica Desf.","Samira Mecherara-Idjeri, Aicha Hassani, Vincent Castola & Joseph Casanova","VOL. 20, 215-219 (May/June 2008)",Journal of Essential Oil Research,https://doi.org/10.1080/10412905.2008.9699995,10.1080/10412905.2008.9699995,
