compound_identifier,original_name,cleaned_name,IUPAC name,name_comments
1C,"(2,4)-nonadienal","2,4-nonadienal"," (2E,4E)-nona-2,4-dienal ",extraParanthasis; 
2C,(2e)-octen-1-ol,E-2-octen-1-ol,(E)-oct-2-en-1-ol,isomerNotation; 
3C,(e)-1-propenyl methyl trisulfide,methyl trans-1-propenyl trisulfide,(E)-1-(methyltrisulfanyl)prop-1-ene,isomerNotation
4C,"(e)-2,(z)-6-decadienal",,,"no search in PubChem; (e)-2,(z)-6-decadienal was uninterpretable due to the following section of the name: (e)-2,"
5C,"(e)-2,2-decenal",,,"no search in Pubchem; Multiple locants without a multiplier: &lt;locant&gt;2,2&lt;/locant&gt;"
6C,(e)-2-caren-4-ol,(E)-2-decenal,(E)-dec-2-enal,isomerNotation
7C,(e)-2-decanal,,,noSearch; Could not find bond that: &lt;stereoChemistry type=&quot;EorZ&quot; value=&quot;E&quot;&gt;E&lt;/stereoChemistry&gt; was referring to
8C,(e)-2-decenal,(E)-2-decenal,(E)-dec-2-enal,isomerNotation
9C,(e)-2-decenol,(E)-2-decenol,(E)-dec-2-en-1-ol,isomerNotation
10C,(e)-2-heptenal,(E)-2-Heptenal,(E)-hept-2-enal,
11C,(e)-2-hexenal,(E)-2-hexenal,(E)-hex-2-enal,
12C,(e)-2-hexenol,(E)-2-hexenol,(E)-hex-2-en-1-ol,
13C,(e)-2-hexyl butyrate,,,no search; Could not find bond that: &lt;stereoChemistry type=&quot;EorZ&quot; value=&quot;E&quot;&gt;e&lt;/stereoChemistry&gt; was referring to
14C,(e)-2-nonenal,(E)-2-nonenal,(E)-non-2-enal,isomerNotation
15C,(e)-2-tridecenal,(E)-2-tridecenal,(E)-tridec-2-enal,
16C,(e)-3-hexenol,(E)-3-hexenol,(Z)-hex-3-en-1-ol,
17C,(e)-alpha-bisabolene,(E)-alpha-bisabolene,"1-methyl-4-[(2E)-6-methylhepta-2,5-dien-2-yl]cyclohexene",
18C,(e)-alpha-ionone,(E)-alpha-Ionone,"(E)-4-(2,6,6-trimethylcyclohex-2-en-1-yl)but-3-en-2-one",
19C,(e)-anethole,(E)-anethole,1-methoxy-4-[(E)-prop-1-enyl]benzene,
20C,(e)-anethole+bornyl acetate,,,mixture of two compounds
21C,(e)-beta- ocimene,(E)-beta-ocimene,"(3E)-3,7-dimethylocta-1,3,6-triene",isomerNotation/extra space
22C,(e)-beta-farnesene,(E)-beta-farnesene,"(6E)-7,11-dimethyl-3-methylidenedodeca-1,6,10-triene",isomericNotation
23C,(e)-beta-ionone,(E)-beta-Ionone,"(E)-4-(2,6,6-trimethylcyclohexen-1-yl)but-3-en-2-one",isomericNotation
24C,(e)-beta-ocimene,(E)-beta-ocimene,"(3E)-3,7-dimethylocta-1,3,6-triene",isomericNotation
25C,(e)-beta-terpineol,(E)-beta-terpineol,1-methyl-4-prop-1-en-2-ylcyclohexan-1-ol,isomericNotation
26C,(e)-caryophyllene,(E)-caryophyllene,"(1R,4E,9S)-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene",isomericNotation
27C,(e)-cinnamaldehyde,(E)-cinnamaldehyde,(E)-3-phenylprop-2-enal,isomericNotation
28C,(e)-cinnamyl acetate,(E)-Cinnamyl acetate,[(E)-3-phenylprop-2-enyl] acetate,isomericNotation
29C,(e)-cinnamyl valerate,cinnamyl valerate,[(E)-3-phenylprop-2-enyl] pentanoate,isomericNotation
30C,(e)-citronellyl tiglate,(E)-citronellyl tiglate,"3,7-dimethyloct-6-enyl (E)-2-methylbut-2-enoate",isomericNotation
31C,(e)-foeniculin,Foeniculin,1-(3-methylbut-2-enoxy)-4-[(E)-prop-1-enyl]benzene,e)-foeniculin was uninterpretable due to the following section of the name: (e)-foeniculin The following was not understandable in the context it was used: foenicul
32C,(e)-gamma-bisabolene,(E)-gamma-Bisabolene,(4E)-1-methyl-4-(6-methylhept-5-en-2-ylidene)cyclohexene ,isomericNotation/caps B
33C,(e)-geranyl acetone,(e)-geranylacetone,"(5E)-6,10-dimethylundeca-5,9-dien-2-one",isomericNotation and space separated (extraSpace).
34C,(e)-ligustilide,(e)-Ligustilide,"(3E)-3-butylidene-4,5-dihydro-2-benzofuran-1-one",isomericNotation
35C,(e)-methyl cinnamate,(E)-Methyl Cinnamate,methyl (E)-3-phenylprop-2-enoate,
36C,(e)-methyl isoeugenol,(E)-Methyl Isoeugenol,"1,2-dimethoxy-4-[(E)-prop-1-enyl]benzene",
37C,(e)-nerolidol,(E)-nerolidol,"(6E)-3,7,11-trimethyldodeca-1,6,10-trien-3-ol",
38C,(e)-nerolidol acetate,"(E)-Nerolidol, Acetate","[(6E)-3,7,11-trimethyldodeca-1,6,10-trien-3-yl] acetate",
39C,(e)-nuciferol,(E)-Nuciferol,(E)-2-methyl-7-(4-methylphenyl)hept-2-en-1-ol,
40C,(e)-p-menth-2-en-1-ol,(E)-p-menth-2-en-1-ol,"(1R,4S)-1-methyl-4-propan-2-ylcyclohex-2-en-1-ol",
41C,(e)-sesquilavandulol,(E)-sesquilavandulol,"(4E)-5,9-dimethyl-2-prop-1-en-2-yldeca-4,8-dien-1-ol",
42C,(e)-sesquilavandulylacetate,(E)-Sesquilavandulyl acetate,"[(4E)-5,9-dimethyl-2-prop-1-en-2-yldeca-4,8-dienyl] acetate",truncatedSpace
43C,(e)-tagetenone,(E)-tagetenone,"(5E)-2,6-dimethylocta-2,5,7-trien-4-one",
44C,(e)-theaspirane,trans-Theaspirane,"(2S,5S)-2,6,6,10-tetramethyl-1-oxaspiro[4.5]dec-9-ene",
45C,"(e,e)-2,4-decadienal","(E,E)-2,4-decadienal","(2E,4E)-deca-2,4-dienal",capsLetter
46C,"(e,e)-2,4-hexadienal","(E,E)-2,4-hexadienal","(2E,4E)-hexa-2,4-dienal",
47C,"(e,e)-alpha-farnesene","(E,E)-alpha-farnesene","(3E,6E)-3,7,11-trimethyldodeca-1,3,6,10-tetraene",
48C,"(e,e)-farnesene","(3E,6E)-alpha-Farnesene","(3E,6E)-3,7,11-trimethyldodeca-1,3,6,10-tetraene",
49C,"(e,e)-farnesol","(E,E)-farnesol","(2E,6E)-3,7,11-trimethyldodeca-2,6,10-trien-1-ol",
50C,"(e,z)-2,4-decadienal","2E,4Z-Decadienal","(2E,4Z)-deca-2,4-dienal",
51C,"(e,z)-2,4-hexadienal",,,
52C,(z)-2-heptenylacetate,,,
53C,(z)-3-hexenal,,,
54C,(z)-3-hexenol,,,
55C,(z)-3-hexenyl benzoate,,,
56C,(z)-3-hexenyl hexanoate,,,
57C,(z)-3-hexenyl tiglate,,,
58C,(z)-9-hexadecenoic acid,,,
59C,(z)-alpha-bisabolene,,,
60C,(z)-alpha-santalol,,,
