compound_identifier,EssOilDB_entry,,original_name,cleaned_name,name_comments,compound_id
1C,"(2,4)-nonadienal",,"(2,4)-nonadienal",NA,NA,
2C,(2e)-octen-1-ol,,(2e)-octen-1-ol,NA,NA,
3C,(e)-1-propenyl methyl trisulfide,,(e)-1-propenyl methyl trisulfide,NA,NA,
4C,"(e)-2,(z)-6-decadienal",,"(e)-2,(z)-6-decadienal",NA,NA,
5C,"(e)-2,2-decenal",,"(e)-2,2-decenal",NA,NA,
6C,(e)-2-caren-4-ol,,(e)-2-caren-4-ol,NA,NA,
7C,(e)-2-decanal,,(e)-2-decanal,NA,NA,
8C,(e)-2-decenal,,(e)-2-decenal,NA,NA,
9C,(e)-2-decenol,,(e)-2-decenol,NA,NA,
10C,(e)-2-heptenal,,(e)-2-heptenal,NA,NA,
11C,(e)-2-hexenal,,(e)-2-hexenal,NA,NA,
12C,(e)-2-hexenol,,(e)-2-hexenol,NA,NA,
13C,(e)-2-hexyl butyrate,,(e)-2-hexyl butyrate,NA,NA,
14C,(e)-2-nonenal,,(e)-2-nonenal,NA,NA,
15C,(e)-2-tridecenal,,(e)-2-tridecenal,NA,NA,
16C,(e)-3-hexenol,,(e)-3-hexenol,NA,NA,
17C,(e)-alpha-bisabolene,,(e)-alpha-bisabolene,NA,NA,
18C,(e)-alpha-ionone,,(e)-alpha-ionone,NA,NA,
19C,(e)-anethole,,(e)-anethole,NA,NA,
20C,(e)-anethole+bornyl acetate,,(e)-anethole+bornyl acetate,NA,NA,
21C,(e)-beta- ocimene,,(e)-beta- ocimene,NA,NA,
22C,(e)-beta-farnesene,,(e)-beta-farnesene,NA,NA,
23C,(e)-beta-ionone,,(e)-beta-ionone,NA,NA,
24C,(e)-beta-ocimene,,(e)-beta-ocimene,NA,NA,
25C,(e)-beta-terpineol,,(e)-beta-terpineol,NA,NA,
26C,(e)-caryophyllene,,(e)-caryophyllene,NA,NA,
27C,(e)-cinnamaldehyde,,(e)-cinnamaldehyde,NA,NA,
28C,(e)-cinnamyl acetate,,(e)-cinnamyl acetate,NA,NA,
29C,(e)-cinnamyl valerate,,(e)-cinnamyl valerate,NA,NA,
30C,(e)-citronellyl tiglate,,(e)-citronellyl tiglate,NA,NA,
31C,(e)-foeniculin,,(e)-foeniculin,NA,NA,
32C,(e)-gamma-bisabolene,,(e)-gamma-bisabolene,NA,NA,
33C,(e)-geranyl acetone,,(e)-geranyl acetone,NA,NA,
34C,(e)-ligustilide,,(e)-ligustilide,NA,NA,
35C,(e)-methyl cinnamate,,(e)-methyl cinnamate,NA,NA,
36C,(e)-methyl isoeugenol,,(e)-methyl isoeugenol,NA,NA,
37C,(e)-nerolidol,,(e)-nerolidol,NA,NA,
38C,(e)-nerolidol acetate,,(e)-nerolidol acetate,NA,NA,
39C,(e)-nuciferol,,(e)-nuciferol,NA,NA,
40C,(e)-p-menth-2-en-1-ol,,(e)-p-menth-2-en-1-ol,NA,NA,
41C,(e)-sesquilavandulol,,(e)-sesquilavandulol,NA,NA,
42C,(e)-sesquilavandulylacetate,,(e)-sesquilavandulylacetate,NA,NA,
43C,(e)-tagetenone,,(e)-tagetenone,NA,NA,
44C,(e)-theaspirane,,(e)-theaspirane,NA,NA,
45C,"(e,e)-2,4-decadienal",,"(e,e)-2,4-decadienal",NA,NA,
46C,"(e,e)-2,4-hexadienal",,"(e,e)-2,4-hexadienal",NA,NA,
47C,"(e,e)-alpha-farnesene",,"(e,e)-alpha-farnesene",NA,NA,
48C,"(e,e)-farnesene",,"(e,e)-farnesene",NA,NA,
49C,"(e,e)-farnesol",,"(e,e)-farnesol",NA,NA,
50C,"(e,z)-2,4-decadienal",,"(e,z)-2,4-decadienal",NA,NA,
51C,"(e,z)-2,4-hexadienal",,"(e,z)-2,4-hexadienal",NA,NA,
52C,(z)-2-heptenylacetate,,(z)-2-heptenylacetate,NA,NA,
53C,(z)-3-hexenal,,(z)-3-hexenal,NA,NA,
54C,(z)-3-hexenol,,(z)-3-hexenol,NA,NA,
55C,(z)-3-hexenyl benzoate,,(z)-3-hexenyl benzoate,NA,NA,
56C,(z)-3-hexenyl hexanoate,,(z)-3-hexenyl hexanoate,NA,NA,
57C,(z)-3-hexenyl tiglate,,(z)-3-hexenyl tiglate,NA,NA,
58C,(z)-9-hexadecenoic acid,,(z)-9-hexadecenoic acid,NA,NA,
59C,(z)-alpha-bisabolene,,(z)-alpha-bisabolene,NA,NA,
60C,(z)-alpha-santalol,,(z)-alpha-santalol,NA,NA,
61C,(z)-alpha-trans-bergamotol,,(z)-alpha-trans-bergamotol,NA,NA,
62C,(z)-anethole,,(z)-anethole,NA,NA,
63C,(z)-beta-farnesene,,(z)-beta-farnesene,NA,NA,
64C,(z)-beta-ocimene,,(z)-beta-ocimene,NA,NA,
65C,(z)-chrysanthenyl acetate,,(z)-chrysanthenyl acetate,NA,NA,
66C,(z)-cinnamyl acetate,,(z)-cinnamyl acetate,NA,NA,
67C,(z)-epoxy-ocimene,,(z)-epoxy-ocimene,NA,NA,
68C,(z)-gamma-bisabolene,,(z)-gamma-bisabolene,NA,NA,
69C,(z)-isosafrole,,(z)-isosafrole,NA,NA,
70C,(z)-ligustilide,,(z)-ligustilide,NA,NA,
71C,(z)-methyl isoeugenol,,(z)-methyl isoeugenol,NA,NA,
72C,(z)-myroxide,,(z)-myroxide,NA,NA,
73C,(z)-nerolidol,,(z)-nerolidol,NA,NA,
74C,(z)-nuciferal,,(z)-nuciferal,NA,NA,
75C,(z)-nuciferol,,(z)-nuciferol,NA,NA,
76C,(z)-p-menth-2-en-1-ol,,(z)-p-menth-2-en-1-ol,NA,NA,
77C,(z)-p-ocimene,,(z)-p-ocimene,NA,NA,
78C,(z)-tagetenone,,(z)-tagetenone,NA,NA,
79C,(z)-tagetone,,(z)-tagetone,NA,NA,
80C,(z)-trans-alpha-bergamotol,,(z)-trans-alpha-bergamotol,NA,NA,
81C,(Z)-Verbenol,,(Z)-Verbenol,NA,NA,
82C,"(z,e)-alpha-farnesene",,"(z,e)-alpha-farnesene",NA,NA,
83C,"(z,z)-alpha-farnesene",,"(z,z)-alpha-farnesene",NA,NA,
84C,"(z,z)-octadeca-9,12-dienoic acid",,"(z,z)-octadeca-9,12-dienoic acid",NA,NA,
85C,"1-(e,z)-3,5-undecatriene",,"1-(e,z)-3,5-undecatriene",NA,NA,
86C,1-(methyl)-naphthalene,,1-(methyl)-naphthalene,NA,NA,
