"","compound_identifier","original_name.x","cleaned_name.x","name_comments.x","compound_identifier_new","original_name.y","cleaned_name.y","name_comments.y"
"1","1000C","(e)-lachnophyllol acetate",NA,NA,"1000C","ageratochromene","",NA
"2","1001C","(e)-lanceol",NA,NA,"1001C","alpha-funebrene","",NA
"3","1002C","(e)-lanceol acetate",NA,NA,"1002C","alpha-myrcene","",NA
"4","1003C","(e)-ligustilide-ms",NA,NA,"1003C","alpha-sesquiphellandrene","",NA
"5","1004C","(e)-linalool oxide",NA,NA,"1004C","bicycloelemene","",NA
"6","1005C","(e)-linalool oxide (furanoid)",NA,NA,"1005C","demethoxyageratochromene","",NA
"7","1006C","(e)-linalool oxide (pyranoid)",NA,NA,"1006C","melitol","",NA
"8","1007C","(e)-linaloolÂ oxide",NA,NA,"1007C","muurolene","",NA
"9","1008C","(e)-myroxide",NA,NA,"1008C","n-eicosane","",NA
"10","1009C","(e)-myroxyde",NA,NA,"1009C","n-heneicosane","",NA
"11","100C","1,5-epoxy-salvial-4(14)-ene",NA,NA,"100C","(z)-beta-ocimene","",NA
"12","1010C","(e)-nerolidiol",NA,NA,"1010C","n-nonanal","",NA
"13","1011C","(e)-nerolido",NA,NA,"1011C","n-octacosane","",NA
"14","1012C","(e)-nerolidol+ledol",NA,NA,"1012C","n-tricosane","",NA
"15","1013C","(e)-nerolidyl acetate",NA,NA,"1013C","phytane","",NA
"16","1014C","(e)-nonadecene",NA,NA,"1014C","1,2,4-trimethyibenzene","",NA
"17","1015C","(e)-nuciferal",NA,NA,"1015C","2,4,6-trimethylbenzene","",NA
"18","1016C","(e)-nuciferyl acetate",NA,NA,"1016C","2-phenylethylbutyrate","",NA
"19","1017C","(e)-nuciferyl formate",NA,NA,"1017C","2-pyrrolidinone","",NA
"20","1018C","(e)-ocimene",NA,NA,"1018C","alpha-selina-11-en-4-alpha-ol","",NA
"21","1019C","(e)-oct-3-enal",NA,NA,"1019C","caryophyllen-8-ol","",NA
"22","101C","1,8 cineole",NA,NA,"101C","2-phenylacetaldehyde","",NA
"23","1020C","(e)-oleic acid",NA,NA,"1020C","menthone","",NA
"24","1021C","(e)-p-farnesene",NA,NA,"1021C","artemisiatriene","",NA
"25","1022C","(e)-p-hexenal diethyl acetal",NA,NA,"1022C","2,3-dimethylphenol","",NA
"26","1023C","(e)-p-menth-2-en-7-ol",NA,NA,"1023C","alpha-thujenea","",NA
"27","1024C","(e)-p-ocimene",NA,NA,"1024C","cis-ascaridole","",NA
"28","1025C","(e)-palmitoleic acid",NA,NA,"1025C","longifolene","",NA
"29","1026C","(e)-phytol",NA,NA,"1026C","tetramethylphenol","",NA
"30","1027C","(e)-pinane",NA,NA,"1027C","8-beta-hydroxyisopimarene","",NA
"31","1028C","(e)-pinene",NA,NA,"1028C","beta-acorenol","",NA
"32","1029C","(e)-pinocamphone",NA,NA,"1029C","amyl valerate","",NA
"33","102C","1,8-cineol",NA,NA,"102C","alpha-dehydro-ar-himachalene","",NA
"34","1030C","(e)-psclmene",NA,NA,"1030C","propyl sovalerate","",NA
"35","1031C","(e)-q-tetradecenal",NA,NA,"1031C","pulegol","",NA
"36","1032C","(e)-roseÂ oxide",NA,NA,"1032C","isopulegol","",NA
"37","1033C","(e)-sabinene hydrate",NA,NA,"1033C","ds sabinene hydrate acetate","",NA
"38","1034C","(e)-sabineneÂ hydrate",NA,NA,"1034C","campholenal","",NA
"39","1035C","(e)-salvene",NA,NA,"1035C","p-rnenth-4(8)-en-9-ol","",NA
"40","1036C","(E)-sesquisabinene hydrate",NA,NA,"1036C","3-methoxycinnamaldehyde","",NA
"41","1037C","(e)-sesquithujen-12-al",NA,NA,"1037C","4-methoxyphenol","",NA
"42","1038C","(e)-sesquithujen-12-ol",NA,NA,"1038C","carvol","",NA
"43","1039C","(e)-sesquithujene-12-ol",NA,NA,"1039C","cis-limoneneoxide","",NA
"44","103C","1,8-cineole",NA,NA,"103C","alpha-(e)-ionone","",NA
"45","1040C","(e)-thujone",NA,NA,"1040C","p-propylanisole","",NA
"46","1041C","(e)-thujopsene",NA,NA,"1041C","1,4-dimethylnaphthalene","",NA
"47","1042C","(e)-trans-alpha-bergamota-2,10-dien-12-al",NA,NA,"1042C","1-phenyl-2,4-hexadiyn-1-one","",NA
"48","1043C","(e)-trans-alpha-bergamota-2,10-dien-12-ol",NA,NA,"1043C","2,4-pentadiynylbenzene","",NA
"49","1044C","(e)-trans-bergamota-2,12-dien-14-ol",NA,NA,"1044C","2-ethyl-3-methylnaphthalene","",NA
"50","1045C","(e)-veltonal",NA,NA,"1045C","3-ethyl-6-methoxy-2-naphtol","",NA
"51","1046C","(e)-verbenol",NA,NA,"1046C","4-methoxydiphenyl","",NA
"52","1047C","(e)-verbenylÂ acetate",NA,NA,"1047C","acenaphthene","",NA
"53","1048C","(e, e)-alpha-farnesene",NA,NA,"1048C","bornyl isovalerate","",NA
"54","1049C","(e,""e)-alpha-farnesene",NA,NA,"1049C","cadinene","",NA
"55","104C","1,8-cineole + limonene",NA,NA,"104C","alpha-thujone","",NA
"56","1050C","(e, e) – pseudoionone",NA,NA,"1050C","epoxy-terpinolene","",NA
"57","1051C","(e,Â e)-farnesol",NA,NA,"1051C","methyl (e)-cinnamate","",NA
"58","1052C","(e,e)-1,3,11-tri dec alpha-triene-5,7,9-triyne",NA,NA,"1052C","1,3-octadiene","",NA
"59","1053C","(e,e)-2-4-decadienal",NA,NA,"1053C","5-phenyl-l,3-pentadiyne","",NA
"60","1054C","(e,e)-2-4-heptadienal",NA,NA,"1054C","6-phenyl-2,4-hexadiyne","",NA
"61","1055C","(e,e)-2-hexadienal",NA,NA,"1055C","14-hydroxy-epi-beta-caryophyllene","",NA
"62","1056C","(e,e)-2,4-decadienai",NA,NA,"1056C","alpha-calacorene+alpha-agarofuran","",NA
"63","1057C","(e,e)-2,4-heptadienal",NA,NA,"1057C","delta-camphenol","",NA
