Compound_identifier,original_name,cleaned_name,name_comments
C1,"(2,4)-nonadienal",NA,NA
C2,(2e)-octen-1-ol,NA,NA
C3,(e)-1-propenyl methyl trisulfide,NA,NA
C4,"(e)-2,(z)-6-decadienal",NA,NA
C5,"(e)-2,2-decenal",NA,NA
C6,(e)-2-caren-4-ol,NA,NA
C7,(e)-2-decanal,NA,NA
C8,(e)-2-decenal,NA,NA
C9,(e)-2-decenol,NA,NA
C10,(e)-2-heptenal,NA,NA
C11,(e)-2-hexenal,NA,NA
C12,(e)-2-hexenol,NA,NA
C13,(e)-2-hexyl butyrate,NA,NA
C14,(e)-2-nonenal,NA,NA
C15,(e)-2-tridecenal,NA,NA
C16,(e)-3-hexenol,NA,NA
C17,(e)-alpha-bisabolene,NA,NA
C18,(e)-alpha-ionone,NA,NA
C19,(e)-anethole,NA,NA
C20,(e)-anethole+bornyl acetate,NA,NA
C21,(e)-beta- ocimene,NA,NA
C22,(e)-beta-farnesene,NA,NA
C23,(e)-beta-ionone,NA,NA
C24,(e)-beta-ocimene,NA,NA
C25,(e)-beta-terpineol,NA,NA
C26,(e)-caryophyllene,NA,NA
C27,(e)-cinnamaldehyde,NA,NA
C28,(e)-cinnamyl acetate,NA,NA
C29,(e)-cinnamyl valerate,NA,NA
C30,(e)-citronellyl tiglate,NA,NA
C31,(e)-foeniculin,NA,NA
C32,(e)-gamma-bisabolene,NA,NA
C33,(e)-geranyl acetone,NA,NA
C34,(e)-ligustilide,NA,NA
C35,(e)-methyl cinnamate,NA,NA
C36,(e)-methyl isoeugenol,NA,NA
C37,(e)-nerolidol,NA,NA
C38,(e)-nerolidol acetate,NA,NA
C39,(e)-nuciferol,NA,NA
C40,(e)-p-menth-2-en-1-ol,NA,NA
C41,(e)-sesquilavandulol,NA,NA
C42,(e)-sesquilavandulylacetate,NA,NA
C43,(e)-tagetenone,NA,NA
C44,(e)-theaspirane,NA,NA
C45,"(e,e)-2,4-decadienal",NA,NA
C46,"(e,e)-2,4-hexadienal",NA,NA
C47,"(e,e)-alpha-farnesene",NA,NA
C48,"(e,e)-farnesene",NA,NA
C49,"(e,e)-farnesol",NA,NA
C50,"(e,z)-2,4-decadienal",NA,NA
C51,"(e,z)-2,4-hexadienal",NA,NA
C52,(z)-2-heptenylacetate,NA,NA
C53,(z)-3-hexenal,NA,NA
C54,(z)-3-hexenol,NA,NA
C55,(z)-3-hexenyl benzoate,NA,NA
C56,(z)-3-hexenyl hexanoate,NA,NA
C57,(z)-3-hexenyl tiglate,NA,NA
C58,(z)-9-hexadecenoic acid,NA,NA
C59,(z)-alpha-bisabolene,NA,NA
C60,(z)-alpha-santalol,NA,NA
C61,(z)-alpha-trans-bergamotol,NA,NA
C62,(z)-anethole,NA,NA
C63,(z)-beta-farnesene,NA,NA
C64,(z)-beta-ocimene,NA,NA
C65,(z)-chrysanthenyl acetate,NA,NA
C66,(z)-cinnamyl acetate,NA,NA
C67,(z)-epoxy-ocimene,NA,NA
C68,(z)-gamma-bisabolene,NA,NA
C69,(z)-isosafrole,NA,NA
C70,(z)-ligustilide,NA,NA
C71,(z)-methyl isoeugenol,NA,NA
C72,(z)-myroxide,NA,NA
C73,(z)-nerolidol,NA,NA
C74,(z)-nuciferal,NA,NA
C75,(z)-nuciferol,NA,NA
C76,(z)-p-menth-2-en-1-ol,NA,NA
C77,(z)-p-ocimene,NA,NA
C78,(z)-tagetenone,NA,NA
C79,(z)-tagetone,NA,NA
C80,(z)-trans-alpha-bergamotol,NA,NA
C81,(Z)-Verbenol,NA,NA
C82,"(z,e)-alpha-farnesene",NA,NA
C83,"(z,z)-alpha-farnesene",NA,NA
C84,"(z,z)-octadeca-9,12-dienoic acid",NA,NA
C85,"1-(e,z)-3,5-undecatriene",NA,NA
C86,1-(methyl)-naphthalene,NA,NA
C87,"1, 10-epi-cubenol",NA,NA
C88,"1,10-diepicubenol",NA,NA
C89,"1,10-di-epi-cubenol",NA,NA
C90,"1,10-epi-cubenol",NA,NA
C91,"1,2,3,4-Tetrahydro-1,5,7-trimethyl naphthalene",NA,NA
C92,"1,2-benzenedicarboxylic acid",NA,NA
C93,"1,2-dimethylbenzene",NA,NA
C94,"1,3-(e),5(z)-octatriene",NA,NA
C95,"1,3,8-alpha-epi-cubenol",NA,NA
C96,"1,3,8-p-menthatriene",NA,NA
C97,"1,3-elemadien-6-ol",NA,NA
C98,"1,4-cadinadienea",NA,NA
C99,"1,5-epoxy-salvial(4)14-ene",NA,NA
C100,"1,5-epoxy-salvial-4(14)-ene",NA,NA
C101,"1,8 cineole",NA,NA
C102,"1,8-cineol",NA,NA
C103,"1,8-cineole",NA,NA
C104,"1,8-cineole + limonene",NA,NA
C105,10-epi- gamma-eudesmol,NA,NA
C106,10-epi-alpha-cadinol,NA,NA
C107,10-epi-gamma eudesmol,NA,NA
C108,10-epi-gamma-eudesmol,NA,NA
C109,10-hydroxy cadin-4-ene-3-one,NA,NA
C110,13-tetradecanolide,NA,NA
C111,14-hydroxy-9-epi-beta-caryophyllene,NA,NA
C112,14-hydroxy-alpha-muurolene,NA,NA
C113,14-hydroxy-beta-caryophyllene,NA,NA
C114,1-amyloxy-1-ethoxy ethane,NA,NA
C115,1-epi-cubenol,NA,NA
C116,1-ethyl-2-phenylcycropropane,NA,NA
C117,1-hexadecanol,NA,NA
C118,1-hexadecene,NA,NA
C119,1-h-indole,NA,NA
C120,1-methyl-4-heptenol,NA,NA
C121,1-nonen-3-ol,NA,NA
C122,1-octadecene,NA,NA
C123,1-octanol,NA,NA
C124,1-octen-3-ol,NA,NA
C125,1-pentadecene,NA,NA
C126,1-phenylethanol,NA,NA
C127,1-undecene,NA,NA
C128,2(e)-hexenal,NA,NA
C129,"2,3,4-trimethylbenzaldehyde",NA,NA
C130,"2,4,5-trimethylbenzaldehyde",NA,NA
C131,"2,4,6-trimethylbenzene",NA,NA
C132,"2,4-dimethylphenol",NA,NA
C133,"2,6-dimethyl-1,3(e),s(z),7-octatetraene",NA,NA
C134,"2,6-dimethyl-1,7-octadiene-3,6-diol",NA,NA
C135,"2,6-dimethyl-3(e),5(e),7-octatrien-2-ol",NA,NA
C136,22-beta-hydroxyoleanonic acid,NA,NA
C137,2-butanol,NA,NA
C138,2-decanone,NA,NA
C139,2-dodecanone,NA,NA
C140,2-dodecenal,NA,NA
C141,2-ethyl-6-methylpyrazine,NA,NA
C142,2-heptadecanone,NA,NA
C143,2-heptanol,NA,NA
C144,2-methoxy-3-(1-methylpropyl)-pyrazine,NA,NA
C145,"2-methyl-6-methylene-3,7-octadien-2-ol",NA,NA
C146,2-methylbutanol,NA,NA
C147,2-methylbutylisobutyrate,NA,NA
C148,2-methylbutyltiglate,NA,NA
C149,2-methylpropan-1-ol,NA,NA
C150,2-methyltiobenzotiazol,NA,NA
C151,2-nitroethanol,NA,NA
C152,2-nonanone,NA,NA
C153,2-octanone,NA,NA
C154,2-pentylfuran,NA,NA
C155,2-phenethyl alcohol,NA,NA
C156,2-phenylethanol,NA,NA
C157,2-phenylethylacetate,NA,NA
C158,2-phenylethylisovalerate,NA,NA
C159,2-phenylethylpropionate,NA,NA
C160,2-tridecanone,NA,NA
C161,2-tridecanonene,NA,NA
C162,2-undecanone,NA,NA
C163,"3,4-dimethyl-1,5-heptadiene",NA,NA
C164,"3,4-dimethyl-5-pentylidene-2(5h)-furanone",NA,NA
C165,3-carene,NA,NA
C166,"3-ethyl-3,5-dimethylpyrazine",NA,NA
C167,3-heptanone,NA,NA
C168,3-hepten-2-one,NA,NA
C169,3-hexenol,NA,NA
C170,3-hydroxy-2-butanone,NA,NA
C171,3-methylbutanal,NA,NA
C172,3-methylbutyl hexanoate,NA,NA
C173,3-methylthiopropanal,NA,NA
C174,3-octanol,NA,NA
C175,3-octanone,NA,NA
C176,3-octyl acetate,NA,NA
C177,3-phenylpropanal,NA,NA
C178,3-thujene,NA,NA
C179,3-thujopsanone,NA,NA
C180,"4,3,4-trimetylbenzaldehyde",NA,NA
C181,"4a-beta,7-alpha,7a-beta-nepetalactone",NA,NA
C182,4-hydroxy-2-methyl acetophenone,NA,NA
C183,4-isopropyl phenol,NA,NA
C184,"4-isopropyl-6-methyl-1,2,3,4-tetrahydronaphthalen-1-one",NA,NA
C185,4-methylene-isophorone,NA,NA
C186,4-methylpentylisothiocynate,NA,NA
C187,4-methylthiobutyl isothiocynate,NA,NA
C188,4-terpineol,NA,NA
C189,4-vinyl-2-methoxyphenol,NA,NA
C190,"5-(3-furyl),2-methyl-1-penten-3-ol",NA,NA
C191,5-epi-paradisiol,NA,NA
C192,5-methyl-3-heptanone,NA,NA
C193,5-undecanole,NA,NA
C194,"6,10,14-trimethylpentadecan-2-one",NA,NA
C195,"6-alpha-hydroxygermacra-1(10),4-diene",NA,NA
C196,"6-hydroxy-2,2,6-trimethyl-cyclohexanone",NA,NA
C197,6-hydroxycarvotanacetone,NA,NA
C198,"6-methyl-3,5-heptadien-2-one",NA,NA
C199,6-methyl-5-hepten-2-ol,NA,NA
C200,6-methyl-5-hepten-2-one,NA,NA
C201,"6-metyl-3,5-heptadien-2-one",NA,NA
C202,6-pentyl-alpha-pyrone,NA,NA
C203,"7alphah,10deltah-cadina-1(6),4-diene",NA,NA
C204,7-alpha-h-silphiperphol-5-ene,NA,NA
C205,7-epi-alpha-selinene,NA,NA
C206,7-isobutyryloxythymolisobutyrate,NA,NA
C207,8-hydroxy bicyclogermacrene*,NA,NA
C208,"9,12-octadecadienoic acid",NA,NA
