icoid,ipid,coid,percent,ppid,expcid,expmid
1,2391,800,3.2,14,474,87
2,2391,2314,0.7,14,474,87
3,2391,2418,0.2,14,474,87
4,2391,2495,7.5,14,474,87
5,2391,2515,0.3,14,474,87
6,2391,2518,0.7,14,474,87
7,2391,2565,3.8,14,474,87
8,2391,2587,0.3,14,474,87
9,2391,2598,2.5,14,474,87
10,2391,2705,1.6,14,474,87
11,2391,2861,0.1,14,474,87
12,2391,2869,1.9,14,474,87
13,2391,4496,2.9,14,474,87
14,2391,2941,5.5,14,474,87
15,2391,3010,<0.1,14,474,87
16,2391,3030,0.3,14,474,87
17,2391,3039,0.1,14,474,87
18,2391,3925,1.3,14,474,87
19,2391,355,0.1,14,474,87
20,2391,4203,0.8,14,474,87
21,2391,4232,1.4,14,474,87
22,2391,4637,2.6,14,474,87
23,2391,4793,1.2,14,474,87
24,2391,4877,<0.1,14,474,87
25,2391,5006,<0.1,14,474,87
26,2391,5184,0.7,14,474,87
27,2391,5204,47.8,14,474,87
28,2391,5221,0.9,14,474,87
29,2391,5578,0.9,14,474,87
30,2391,6116,0.2,14,474,87
31,2391,5955,0.1,14,474,87
32,2391,6579,0.2,14,474,87
33,2390,800,3.1,14,474,87
34,2390,2565,33.6,14,474,87
35,2390,2598,1.08,14,474,87
36,2390,2861,<0.1,14,474,87
37,2390,3010,0.1,14,474,87
38,2390,3039,0.2,14,474,87
39,2390,3101,<0.1,14,474,87
40,2390,3928,<0.1,14,474,87
41,2390,294,5.7,14,474,87
42,2390,5204,51.6,14,474,87
43,2390,5394,0.1,14,474,87
44,2390,5578,0.1,14,474,87
45,2390,6543,<0.1,14,474,87
46,2390,6579,0.1,14,474,87
47,2237,800,0.51,110,474,117
48,2237,1487,0.3,110,474,117
49,2237,1480,0.01,110,474,117
50,2237,2431,0.13,110,474,117
