pid,pname,pfid,phid,pgenus
1,Abies alba,71,1,Abies
2,Abies borisii-regis,71,1,Abies
3,Abies cephalonica,71,1,Abies
4,Abies sachalinensis,71,1,Abies
5,Acacia caven,19,1,Acacia
6,Acacia nuperrima ssp. Cassitera (Dimbulah chemotype),37,1,Acacia
7,Acacia nuperrima ssp. Cassitera (Lappa chemotype),37,1,Acacia
8,Acalypha segetalis,36,1,Acalypha
9,Achillea abrotanoides,15,1,Achillea
10,Achillea ageratum,15,1,Achillea
11,Achillea albicaulis,15,1,Achillea
12,Achillea alexandri-regis,15,1,Achillea
13,Achillea asplenifolia,15,1,Achillea
14,Achillea atrata,15,1,Achillea
15,Achillea beibersteinii,15,1,Achillea
16,Achillea biebersteinii,15,1,Achillea
17,Achillea chrysocoma,15,1,Achillea
18,Achillea clavenae,15,1,Achillea
19,Achillea clypeolata,15,1,Achillea
20,Achillea coarctata,15,1,Achillea
21,Achillea collina,15,1,Achillea
22,Achillea corabensis,15,1,Achillea
23,Achillea crithmifolia,15,1,Achillea
24,Achillea depressa,15,1,Achillea
25,Achillea filipendulina,15,1,Achillea
26,Achillea goniocephala,15,1,Achillea
27,Achillea holosericea,15,1,Achillea
28,Achillea lingulata,15,1,Achillea
29,Achillea millefolium,15,1,Achillea
30,Achillea millefolium L,15,1,Achillea
31,Achillea nobilis,15,1,Achillea
32,Achillea oligocephala,15,1,Achillea
33,Achillea pseudoaleppica,15,1,Achillea
34,Achillea schischkinii,15,1,Achillea
35,Achillea serbica,15,1,Achillea
36,Achillea sieheana,15,1,Achillea
37,Achillea stricta,15,1,Achillea
38,Achillea talagonica,15,1,Achillea
39,Achillea tanacetifolia,15,1,Achillea
40,Achillea tenuifolia,15,1,Achillea
41,Achillea vermicularis,15,1,Achillea
42,Acinos hungaricus,47,1,Acinos
43,Acinos suaveolens,47,1,Acinos
44,Acitinidia chinensis,2,1,Acitinidia
45,Acorus calamus,1,1,Acorus
46,Acorus calamus L,13,1,Acorus
47,Aeollanthus myrianthus,47,1,Aeollanthus
48,Aeollanthus parvifolius,47,1,Aeollanthus
49,Aeollanthus pubescens,47,1,Aeollanthus
50,Aeollanthus suaveolens,47,1,Aeollanthus
