pfid,pfname
1,Acoraceae
2,Actinidiaceae
3,Alliaceae
4,Amaranthaceae
5,Amaryllidaceae
6,Anacardiaceae
7,Anarcadiaceae
8,Anemiaceae
9,Annonaceae
10,Apiaceae
11,Apiaceae/Umbelliferae
12,Apocynaceae
13,Araceae
14,Asteraceae
15,Asteraceae/Compositae
16,Atherospermataceae
17,Berberidaceae
18,Bixaceae
19,Boraginaceae
20,Brassicaceae
21,Burseraceae
22,Canellaceae
23,Cannabaceae
24,Caricaceae
25,Caryophyllaceae
26,Cistaceae
27,Cleomaceae
28,Clusiaceae
29,Convolvulaceae
30,Crassulaceae
31,Cucurbitaceae
32,Cupressaceae
33,Cyperaceae
34,Ebenaceae
35,Ericaceae
36,Euphorbiaceae
37,Fabaceae/Leguminosae
38,Gentianaceae
39,Geraniaceae
40,Grasses
41,Grossulariaceae
42,Hernandiaceae
43,Hypericaceae
44,Irvingiaceae
45,Juglandaceae
46,Lamiaceae
47,Lamiaceae/Labiatae
48,Lauraceae
49,Lecythidaceae
50,Lejeuneaceae
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
51,Liliaceae
52,Loganiaceae
53,Magnoliaceae
54,Malvaceae
55,Meliaceae
56,Moraceae
57,Morinaceae
58,Musaceae
59,Myricaceae
60,Myristicaceae
61,Myrothamnaceae
62,Myrtaceae
63,Oleaceae
64,Orchidaceae
65,Oxalidaceae
66,Paeoniaceae
67,Pandanaceae
68,Papilionaceae
69,Philesiaceae
70,Phytolaccaceae
71,Pinaceae
72,Piperaceae
73,Pittosporaceae
74,Plantaginaceae
75,Poaceae
76,Poaceae/Gramineae
77,Podocarpaceae
78,Polygalaceae
79,Polygonaceae
80,Ranunculaceae
81,Rhamnaceae
82,Rosaceae
83,Rubiaceae
84,Rutaceae
85,Santalaceae
86,Sapindaceae
87,Sapotaceae
88,Schisandraceae
89,Simaroubaceae
90,Siparunaceae
91,Solanaceae
92,Sterculiaceae
93,Thymelaeaceae
94,Ulvaceae
95,Urticaceae
96,Valerianaceae
97,Verbenaceae
98,Vitaceae
99,Winteraceae
100,Zingerberaceae
101,Zingiberaceae
