scid,scdata
1,1908-1912
2,1916
3,1917
4,1918
5,1921
6,1922
7,1934
8,1953
9,1966
10,1984
11,1986
12,1987
13,1987(November)
14,1988
15,1989
16,1990
17,1990(December)
18,"1,990,199,119,931,990"
19,"19,901,993"
20,1991
21,1992
22,1993
23,"19,931,994"
24,"1993,1994-1995"
25,1993-1994
26,1994
27,1994-1995
28,1994-1998
29,1995
30,1996
31,"19,961,997"
32,1997
33,"19,971,998"
34,1998
35,"19,981,999"
36,1998-1999
37,1999
38,1999-2000
39,1999-2001
40,2-Oct-14
41,2000
42,2001
43,"20,012,002"
44,2002
45,"20,022,003"
46,2002-2003
47,2003
48,2003–2006
49,2004
50,2005
