ID	title	author	DOI	vol	JOURNAL
EBib0001	(Z)-β-Ocimene from Two Species of Homoranthus (Myrtaceae)	Joseph J. Brophy , Robert J. Goldsack , Charles P. Cornwell , David N. Leach , S. Grant Wyllie , Paul I.Forster & Christopher J.R. Fookes	10.1080/10412905.1998.9700889	VOL. 10, 229-233 (Mar/Apr 1998)	Journal of Essential Oil Research
EBib0002	1, 8-Cineole-Caryophyllene Oxide Chemotype of Essential Oil of Thymus serpyllum L. Growing Wild in Vilnius (Lithuania)	Danute Mockute, Genovaite Bernotiene	10.1080/10412905.2004.9698708	VOL. 16, 236-238 (May/June 2004)	Journal of Essential Oil Research
EBib0003	1,10-beta-Epoxy-6-oxofuranoeremophilane and Other Terpenoids from the Essential Oil of Senecio royleanus DC.	C. M. S. Bisht , A. B. Melkani , V. Dev & P. S. Beauchamp	10.1080/10412905.2011.9700434	VOL. 23, 102-104 (Jan/Feb 2011)	Journal of Essential Oil Research
EBib0004	A Commercial Essential Oil of Mandravasarotra (Cinnamosma fragrans Baill., Canellaceae) from Madagascar	Arthur O. Tucker, Michael J. Maciarello, Marianne Griffeth	10.1080/10412905.2008.9700006	VOL. 20, 259-260 ((May/June 2008)	Journal of Essential Oil Research
EBib0005	A Comparative Investigation on the Essential Oil Composition of Two Bulgarian Cultivars of Mentha piperita L.	A. Stojanova, P. Paraskevova, Ch. Anastassov	10.1080/10412905.2000.9699560	VOL. 12, 438-440 (July/Aug 2000)	Journal of Essential Oil Research
EBib0006	A Comparative Study of the Chemical Composition of the Leaves and Fruits Deriving the Essential Oil of Hyptis suaveolens (L.) Poit. from Benin	C. Kossouoh, M. Moudachirou, V. Adjakidje, J-C. Chalchat & G. Figuérédo	10.1080/10412905.2010.9700384	VOL. 22, 507-509 (Nov/Dec 2010)	Journal of Essential Oil Research
EBib0007	A Comparative Study of the Oleoresins of Three Pinus Species from Malaysian Pine Plantations.	Ibrahim bin Jantan, Abu Said Ahmad, Abdul Rashih Ahmad.	10.1080/10412905.2002.9699872	VOL. 14, 327-332 (Sep/Oct 2002)	Journal of Essential Oil Research
EBib0008	A Comparative Study on Essential Oils of Geranium macrorrhizum L. and Geranium phaeum L., Geraniaceae from Serbia.	Jean-Claude Chalchat, S.D. Petrovic, Z.A. Maksimovic, M.S. Gorunovic.	10.1080/10412905.2002.9699873	VOL. 14, 333-335 (Sep/Oct 2002)	Journal of Essential Oil Research
EBib0009	A Comparative Study on the Needle Volatile Constituents of Three Abies Species Grown in South Balkans.	Vassilios Roussis, Maria Couladis, Olga Tzakou, Anargyros Loukis, Panos V. Petrakis, Neda M. Dukic, Radisa Jancic.	10.1080/10412905.2000.9712038	VOL. 12, 41-46 (Jan/Feb 2000)	Journal of Essential Oil Research
EBib00010	A Comparison between the Oil, Solvent Extract and Supercritical Carbon Dioxide Extract of Ocimum gratissimum L.	J.A. Pino, J. Garcia and M.A. Martinez	10.1080/10412905.1999.9701107	VOL. 10, 575-577 (Sep/Oct 1998)	Journal of Essential Oil Research
EBib00011	A Comparison of the Leaf Oils of Melaleuca squamophloia with Those of Its Close Relatives, M. styphelioides and M. bracteata	Joseph J. Brophy , Robert J. Goldsack , John C. Doran , Lyn A. Craven & Brendan J. Lepschi	10.1080/10412905.1999.9701146	VOL. 11, 327-332 (May/June 1999)	Journal of Essential Oil Research
EBib00012	A New Chemotype of Eugenia uniflora L. from North Brazil	J. G.S. Maia , E. H.A. Andrade , M. H.L. da Silva & M.G.B. Zoghbi	10.1080/10412905.1999.9711989	VOL. 11, 727-729 (Nov/Dec 1999)	Journal of Essential Oil Research
EBib00013	A New Chemotype of Sandalwood (Santalum insulare Bertero ex A.DC.) from Marquesas Islands	J.-F.Butaud, P.Raharivelomanana, J.-P.Bianchini, V.Baron	10.1080/10412905.2003.9712129	VOL. 15, 238-241 (July/Aug 2003)	Journal of Essential Oil Research
EBib00014	A New Essential Oil from Eucalyptus dura L.A.S. Johnson & K.D. Hill	Luigino Doimo , Robert J. Fletcher , Bruce R. D'Arcy & Lloyd Bird	10.1080/10412905.1999.9701095	VOL. 11, 149-150 (Mar/Apr 1999)	Journal of Essential Oil Research
EBib00015	A new triterpenoid from Lantana camara	S. B. Yadav, V. Tripathi	10.1016/s0367-326x(03)00034-0	2003	Fitoterapia
EBib00016	A New Type of Essential Oil from Perilla frutescens from Thailand	Michiho Ito, Mariko Toyoda, Shigeo Kamakura, Gisho Honda	10.1080/10412905.2002.9699907	VOL. 14, 416-419 (Nov/Dec 2002)	Journal of Essential Oil Research
EBib00017	A Pinocamphone Poor Oil of Hyssopus officinalis L. var. decumbens from France (Banon)	G. Salvatore, A. D' Andrea, M Nicoletti	10.1080/10412905.1998.9700972	VOL. 10, 563-567 (Sep/Oct 1998)	Journal of Essential Oil Research
EBib00018	A Piperitenone Oxide Chemotype of Mentha longifolia (L.) Huds. Growing Wild in Jordan	Ibrahim M. Abu-Al-Futuh, Osama H. Abdelmageed, Raya M. Jamil, Pinarosa Avato	10.1080/10412905.2000.9712151	VOL. 12, 530-532 (Sep/Oct 2000)	Journal of Essential Oil Research
EBib00019	A Preliminary Examination of the Leaf Oils of the Genus Xanthostemon (Myrtaceae) in Australia	Joseph J. Brophy , Robert J. Goldsack & Paul I. Forster	10.1080/10412905.2006.9699071	VOL. 18, 222-230 (Mar/Apr 2006)	Journal of Essential Oil Research
EBib00020	A Study of Moroccan Rosemary Oils	Abdelaziz Elamrani, Saadia Zrira, Bachir Benjilali & Mohamed Berrada	10.1080/10412905.2000.9699572	VOL. 12, 487-495 (July/Aug 2000)	Journal of Essential Oil Research
