binomial,count
Ageratum conyzoides,14
Lantana camara,11
Origanum vulgare,7
Escherichia coli,6
Lantana radula,6
Hyptis spicigera,5
Schistosoma mansoni,5
Corynespora cassiicola,5
Satureja montana,5
Ocimum basilicum,5
Satureja visianii,5
Eucalyptus camaldulensis,4
Lippia multiflora,4
Ocimum americanum,4
Zingiber officinale,4
Satureja subspicata,4
Satureja cuneifolia,4
Ageratum flavus,4
Staphylococcus aureus,3
Satureja hortensis,3
Aspergillus flavus,2
S. montana,2
S. cuneifolia,2
Lenzites betulina,1
Ocimum gratissimum,1
Melaleuca leucodendron,1
S. hortensis,1
Satureja cunefolia,1
Ageratum calmadulensis,1
Fusarium solani,1
Oreganum vulgare,1
Fusarium graminearum,1
Lantana achyranthiofolia,1
Staphylococcus epidermidis,1
Curcuma longa,1
Aedes aegypti,1
O. vulgare,1
Satureja isophylla,1
Candida albicans,1
Vibrio cholerae,1
Corynespora casiicola,1
Satureja obovata,1
S. subspicata,1
S. visianii,1
Peumus boldus,1
Biomphalaria glabrata,1
Piper tuberculatum,1
Leishmania amazonensis,1
Satureja pilosa,1
Laetiporus sulphureus,1
Ageratum conizoides,1
Aspergillus niger,1
Ageratum nomius,1
Trametes versicolor,1
