funders,count
Fundação de Amparo à Pesquisa do Estado de Minas Gerais,1
Université Blaise Pascal,,1
Australian Centre for International Agricultural Research,1
Conselho Nacional de Desenvolvimento Científico e Tecnológico,1
Campus France,1
Instituto de Tecnologia de Alimentos,1
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,1
Universidade Federal do Piauí,,1
Fundação de Amparo à Pesquisa do Estado de São Paulo,1
Centre National de la Recherche Scientifique,1
Universidade de São Paulo,,1
