title	author	DOI_link	DOI	vol	JOURNAL	profile_c
(Z)-Î_-Ocimene from Two Species of Homoranthus (Myrtaceae)	"Joseph J. Brophy , Robert J. Goldsack , Charles P. Cornwell , David N. Leach , S. Grant Wyllie , Paul I.Forster & Christopher J.R. Fookes"	https://doi.org/10.1080/10412905.1998.9700889	10.1080/10412905.1998.9700889	"VOL. 10, 229-233 (Mar/Apr 1998)"	Journal of Essential Oil Research	JEHflau1998Lea#JEHmoau1998Lea
"1, 8-Cineole-Caryophyllene Oxide Chemotype of Essential Oil of Thymus serpyllum L. Growing Wild in Vilnius (Lithuania)"	"Danute Mockute, Genovaite Bernotiene"	https://doi.org/10.1080/10412905.2004.9698708	10.1080/10412905.2004.9698708	"VOL. 16, 236-238 (May/June 2004)"	Journal of Essential Oil Research	JETseli2004Aer
"1,10-beta-Epoxy-6-oxofuranoeremophilane and Other Terpenoids from the Essential Oil of Senecio royleanus DC."	"C. M. S. Bisht , A. B. Melkani , V. Dev & P. S. Beauchamp"	https://doi.org/10.1080/10412905.2011.9700434	10.1080/10412905.2011.9700434	"VOL. 23, 102-104 (Jan/Feb 2011)"	Journal of Essential Oil Research	JESrokeutin2011Lea#JESrokeutin2011Ste#JESrokeutin2011Flo#JESrokeutin2011Aer
"A Commercial Essential Oil of Mandravasarotra (Cinnamosma fragrans Baill., Canellaceae) from Madagascar"	"Arthur O. Tucker, Michael J. Maciarello, Marianne Griffeth"	https://doi.org/10.1080/10412905.2008.9700006	10.1080/10412905.2008.9700006	"VOL. 20, 259-260 ((May/June 2008)"	Journal of Essential Oil Research	JECfrma2008bar
A Comparative Investigation on the Essential Oil Composition of Two Bulgarian Cultivars of Mentha piperita L.	"A. Stojanova, P. Paraskevova, Ch. Anastassov"	https://doi.org/10.1080/10412905.2000.9699560	10.1080/10412905.2000.9699560	"VOL. 12, 438-440 (July/Aug 2000)"	Journal of Essential Oil Research	JEMpibu2000Lea
A Comparative Study of the Chemical Composition of the Leaves and Fruits Deriving the Essential Oil of Hyptis suaveolens (L.) Poit. from Benin	"C. Kossouoh, M. Moudachirou, V. Adjakidje, J-C. Chalchat & G. FiguÃ©rÃ©do"	https://doi.org/10.1080/10412905.2010.9700384	10.1080/10412905.2010.9700384	"VOL. 22, 507-509 (Nov/Dec 2010)"	Journal of Essential Oil Research	JEHsube2010Lea#JEHsube2010Fru
A Comparative Study of the Oleoresins of Three Pinus Species from Malaysian Pine Plantations.	"Ibrahim bin Jantan, Abu Said Ahmad, Abdul Rashih Ahmad."	https://doi.org/10.1080/10412905.2002.9699872	10.1080/10412905.2002.9699872	"VOL. 14, 327-332 (Sep/Oct 2002)"	Journal of Essential Oil Research	JEPcamaaima2002Ole#JEPcasubuma2002Ole#JEPcakema2002Ole#JEPinsubuma2002Ole#JEPcaulsema2002Ole#JEPcabaarma2002Ole#JEPmajaipma2002Ole#JEPcakuma2002Ole#JEPmafrkema2002Ole#JEPmabaarma2002Ole#JEPcafrkema2002Ole#JEPmaulsema2002Ole#JEPmakuma2002Ole#JEPinfrkema2002Ole#JEPinkuma2002Ole#JEPmasubuma2002Ole#JEPinbaarma2002Ole
"A Comparative Study on Essential Oils of Geranium macrorrhizum L. and Geranium phaeum L., Geraniaceae from Serbia."	"Jean-Claude Chalchat, S.D. Petrovic, Z.A. Maksimovic, M.S. Gorunovic."	https://doi.org/10.1080/10412905.2002.9699873	10.1080/10412905.2002.9699873	"VOL. 14, 333-335 (Sep/Oct 2002)"	Journal of Essential Oil Research	JEGmase2002Aer#JEGphse2002Aer
A Comparative Study on the Needle Volatile Constituents of Three Abies Species Grown in South Balkans.	"Vassilios Roussis, Maria Couladis, Olga Tzakou, Anargyros Loukis, Panos V. Petrakis, Neda M. Dukic, Radisa Jancic."	https://doi.org/10.1080/10412905.2000.9712038	10.1080/10412905.2000.9712038	"VOL. 12, 41-46 (Jan/Feb 2000)"	Journal of Essential Oil Research	JEAbosikatrgr2000Lea#JEAcemtpaatgr2000Lea#JEAalmtgowese2000Lea
"A Comparison between the Oil, Solvent Extract and Supercritical Carbon Dioxide Extract of Ocimum gratissimum L."	"J.A. Pino, J. Garcia and M.A. Martinez"	https://doi.org/10.1080/10412905.1999.9701107	10.1080/10412905.1999.9701107	"VOL. 10, 575-577 (Sep/Oct 1998)"	Journal of Essential Oil Research	JEOgrcu1998Aer
