Compound_name,OPSIN_lookup_name,OPSIN_inchis,OPSIN_comments
"(2,4)-nonadienal","(2,4)-nonadienal",,"(2,4)-nonadienal'' is unparsable due to the following being uninterpretable: ''(2,4)-nonadienal'' The following was not parseable: ''(2,4)-nonadienal''"
(2e)-octen-1-ol,(2e)-octen-1-ol,"InChI=1/C8H16O/c1-2-3-4-5-6-7-8-9/h7-9H,2-6H2,1H3/b8-7+",
"(e,e)-2,4-decadienal","(e,e)-2,4-decadienal",,"(e,e)-2,4-decadienal'' is unparsable due to the following being uninterpretable: ''(e,e)-2,4-decadienal'' The following was not parseable: ''(e,e)-2,4-decadienal''"
"(e,e)-2,4-hexadienal","(e,e)-2,4-hexadienal",,"(e,e)-2,4-hexadienal'' is unparsable due to the following being uninterpretable: ''(e,e)-2,4-hexadienal'' The following was not parseable: ''(e,e)-2,4-hexadienal''"
"(e,e)-alpha-farnesene","(e,e)-alpha-farnesene",,"(e,e)-alpha-farnesene'' is unparsable due to the following being uninterpretable: ''(e,e)-alpha-farnesene'' The following was not parseable: ''(e,e)-alpha-farnesene''"
"(e,e)-farnesene","(e,e)-farnesene",,"(e,e)-farnesene'' is unparsable due to the following being uninterpretable: ''(e,e)-farnesene'' The following was not parseable: ''(e,e)-farnesene''"
"(e,e)-farnesol","(e,e)-farnesol",,"(e,e)-farnesol'' is unparsable due to the following being uninterpretable: ''(e,e)-farnesol'' The following was not parseable: ''(e,e)-farnesol''"
"(e,z)-2,4-decadienal","(e,z)-2,4-decadienal",,"(e,z)-2,4-decadienal'' is unparsable due to the following being uninterpretable: ''(e,z)-2,4-decadienal'' The following was not parseable: ''(e,z)-2,4-decadienal''"
"(e,z)-2,4-hexadienal","(e,z)-2,4-hexadienal",,"(e,z)-2,4-hexadienal'' is unparsable due to the following being uninterpretable: ''(e,z)-2,4-hexadienal'' The following was not parseable: ''(e,z)-2,4-hexadienal''"
(e)-1-propenyl methyl trisulfide,(e)-1-propenyl methyl trisulfide,"InChI=1/C4H8S3/c1-3-4-6-7-5-2/h3-4H,1-2H3/b4-3+",
(e)-2-caren-4-ol,(e)-2-caren-4-ol,,"Could not find bond that: <stereoChemistry type=""EorZ"" value=""E"">e</stereoChemistry> was referring to"
(e)-2-decanal,(e)-2-decanal,,"Could not find bond that: <stereoChemistry type=""EorZ"" value=""E"">e</stereoChemistry> was referring to"
(e)-2-decenal,(e)-2-decenal,"InChI=1/C10H18O/c1-2-3-4-5-6-7-8-9-10-11/h8-10H,2-7H2,1H3/b9-8+",
(e)-2-decenol,(e)-2-decenol,"InChI=1/C10H20O/c1-2-3-4-5-6-7-8-9-10-11/h8-9,11H,2-7,10H2,1H3/b9-8+",
(e)-2-heptenal,(e)-2-heptenal,"InChI=1/C7H12O/c1-2-3-4-5-6-7-8/h5-7H,2-4H2,1H3/b6-5+",
(e)-2-hexenal,(e)-2-hexenal,"InChI=1/C6H10O/c1-2-3-4-5-6-7/h4-6H,2-3H2,1H3/b5-4+",
(e)-2-hexenol,(e)-2-hexenol,"InChI=1/C6H12O/c1-2-3-4-5-6-7/h4-5,7H,2-3,6H2,1H3/b5-4+",
(e)-2-hexyl butyrate,(e)-2-hexyl butyrate,,"Could not find bond that: <stereoChemistry type=""EorZ"" value=""E"">e</stereoChemistry> was referring to"
(e)-2-nonenal,(e)-2-nonenal,"InChI=1/C9H16O/c1-2-3-4-5-6-7-8-9-10/h7-9H,2-6H2,1H3/b8-7+",
(e)-2-tridecenal,(e)-2-tridecenal,"InChI=1/C13H24O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14/h11-13H,2-10H2,1H3/b12-11+",
"(e)-2,(z)-6-decadienal","(e)-2,(z)-6-decadienal",,"(e)-2,(z)-6-decadienal'' is unparsable due to the following being uninterpretable: ''(e)-2,(z)-6-decadienal'' The following was not parseable: ''(e)-2,(z)-6-decadienal''"
"(e)-2,2-decenal","(e)-2,2-decenal",,"(e)-2,2-decenal'' is unparsable due to the following being uninterpretable: ''(e)-2,2-decenal'' The following was not parseable: ''(e)-2,2-decenal''"
(e)-3-hexenol,(e)-3-hexenol,"InChI=1/C6H12O/c1-2-3-4-5-6-7/h3-4,7H,2,5-6H2,1H3/b4-3+",
