Compound_name,PubChem_lookup_name,PubChem_lookup_inchis,PubChem_lookup_cid,OPSIN_lookup_name,OPSIN_inchis,OPSIN_comments
"(2,4)-nonadienal","(2,4)-nonadienal",,NA,"(2,4)-nonadienal",,"(2,4)-nonadienal'' is unparsable due to the following being uninterpretable: ''(2,4)-nonadienal'' The following was not parseable: ''(2,4)-nonadienal''"
(2e)-octen-1-ol,(2e)-octen-1-ol,,NA,(2e)-octen-1-ol,"InChI=1/C8H16O/c1-2-3-4-5-6-7-8-9/h7-9H,2-6H2,1H3/b8-7+",
"(e,e)-2,4-decadienal","(e,e)-2,4-decadienal",,NA,"(e,e)-2,4-decadienal",,"(e,e)-2,4-decadienal'' is unparsable due to the following being uninterpretable: ''(e,e)-2,4-decadienal'' The following was not parseable: ''(e,e)-2,4-decadienal''"
"(e,e)-2,4-hexadienal","(e,e)-2,4-hexadienal",,NA,"(e,e)-2,4-hexadienal",,"(e,e)-2,4-hexadienal'' is unparsable due to the following being uninterpretable: ''(e,e)-2,4-hexadienal'' The following was not parseable: ''(e,e)-2,4-hexadienal''"
"(e,e)-alpha-farnesene","(e,e)-alpha-farnesene",,NA,"(e,e)-alpha-farnesene",,"(e,e)-alpha-farnesene'' is unparsable due to the following being uninterpretable: ''(e,e)-alpha-farnesene'' The following was not parseable: ''(e,e)-alpha-farnesene''"
"(e,e)-farnesene","(e,e)-farnesene",,NA,"(e,e)-farnesene",,"(e,e)-farnesene'' is unparsable due to the following being uninterpretable: ''(e,e)-farnesene'' The following was not parseable: ''(e,e)-farnesene''"
"(e,e)-farnesol","(e,e)-farnesol",,NA,"(e,e)-farnesol",,"(e,e)-farnesol'' is unparsable due to the following being uninterpretable: ''(e,e)-farnesol'' The following was not parseable: ''(e,e)-farnesol''"
"(e,z)-2,4-decadienal","(e,z)-2,4-decadienal",,NA,"(e,z)-2,4-decadienal",,"(e,z)-2,4-decadienal'' is unparsable due to the following being uninterpretable: ''(e,z)-2,4-decadienal'' The following was not parseable: ''(e,z)-2,4-decadienal''"
"(e,z)-2,4-hexadienal","(e,z)-2,4-hexadienal",,NA,"(e,z)-2,4-hexadienal",,"(e,z)-2,4-hexadienal'' is unparsable due to the following being uninterpretable: ''(e,z)-2,4-hexadienal'' The following was not parseable: ''(e,z)-2,4-hexadienal''"
(e)-1-propenyl methyl trisulfide,(e)-1-propenyl methyl trisulfide,,NA,(e)-1-propenyl methyl trisulfide,"InChI=1/C4H8S3/c1-3-4-6-7-5-2/h3-4H,1-2H3/b4-3+",
(e)-2-caren-4-ol,(e)-2-caren-4-ol,,NA,(e)-2-caren-4-ol,,"Could not find bond that: <stereoChemistry type=""EorZ"" value=""E"">e</stereoChemistry> was referring to"
