compound_identifier	original_name	cleaned_name	name_comments
1C	1,8-cineole		
2C	allo-aromadendrene		
3C	alpha-calacorene		
4C	alpha-eudesmol		
5C	alpha-gurjunene		
6C	alpha-humulene		
7C	alpha-pinene		
8C	alpha-selinene		
9C	alpha-terpineol		
10C	aromadendrene		
11C	beta-cadinene		
12C	beta-caryophyllene		
13C	beta-eudesmol		
14C	beta-pinene		
15C	beta-selinene		
16C	beta-terpinene		
17C	delta-amorphene		
18C	(e,e)-alpha-farnesene		
19C	epi-globulol		
20C	eremoligenol		
21C	globulol		
22C	hinesol		
23C	isoamyl acetate		
24C	isoledene		
25C	ledene		
26C	limonene		
27C	linalool		
28C	myrcene		
29C	palustrol		
30C	p-cymene		
31C	terpinolene		
32C	borneol		
33C	delta-cadinene		
34C	(e)-nerolidol		
35C	methyl chavicol		
36C	tau-cadinol		
37C	2-phenylethylacetate		
38C	2-phenylethyl alcohol		
39C	alpha-campholenal		
40C	beta-thujone		
41C	carvacrol		
42C	carvone		
43C	caryophyllene oxide		
44C	cis-carveol		
45C	cis-linalooloxide		
46C	cis-pinocarveol		
47C	cis-p-mentha-1(7),8-dien-2-ol		
48C	cis-p-mentha-2,8-dien-1-ol		
49C	elemol		
50C	ledol		
51C	linalyl acetate		
52C	myrtenal		
53C	myrtenol		
54C	p-cresol		
55C	p-cymen-8-ol		
56C	perilla alcohol		
57C	pinocarvone		
58C	p-isopropyl phenol		
59C	p-mentha-1,3,8-triene		
60C	sabinene		
61C	spathulenol		
62C	trans-carveol		
63C	trans-linalool oxide		
64C	trans-p-mentha-2,8-dien-1-ol		
65C	verbenone		
66C	alpha-copaene		
67C	alpha-p-dimethylstyrene		
68C	alpha-phellandrene		
69C	alpha-terpinene		
70C	alpha-thujene		
71C	alpha-ylangene		
72C	cis-piperitol		
73C	gamma-cadinene		
74C	gamma-terpinene		
75C	geraniol		
76C	nerol		
77C	terpinen-4-ol		
78C	thymol		
79C	(z)-3-hexanol		
80C	alpha-cadinol		
81C	alpha-terpinyl acetate		
82C	bornyl acetate		
83C	camphene		
84C	chamazulene		
85C	cis-carvylacetate		
86C	cis-p-menth-2-en-7-ol		
87C	cis-sabinene hydrate		
88C	cumin aldehyde		
89C	(e)-beta-farnesene		
90C	(e)-beta-ocimene		
91C	eucarvone		
92C	eugenol		
93C	perillyl acetate		
94C	p-mentha-1,4-dien-7-ol		
95C	p-menth-l(7)-en-9-ol		
96C	safranal		
97C	tricyclene		
98C	viridiflorene		
99C	(z)-beta-farnesene		
100C	(z)-beta-ocimene		
101C	2-phenylacetaldehyde		
102C	alpha-dehydro-ar-himachalene		
103C	alpha-(e)-ionone		
104C	alpha-thujone		
105C	anisyl isobutyrate		
106C	beta-elemene		
107C	bicyclogermacrene		
108C	chrysanthenone		
109C	cuminyl acetate		
110C	(e)-2-hexenal		
111C	(e)-beta-damascenone		
112C	gamma-dehydro-ar-himachalene		
113C	geranyl isobutyrate		
114C	germacrene d		
115C	heptanal		
116C	hexanal		
117C	hexanol		
118C	humulene epoxide i		
119C	isobornyl propionate		
120C	methyl eugenol		
121C	methyl-p-anisate		
122C	neryl isobutyrate		
123C	neryl propionate		
124C	p-cymenene		
125C	trans-carvyl acetate		
126C	trans-sabinol		
127C	trans-sabinyl acetate		
128C	(z)-3-hexenol		
129C	7-ethyl-3,6-dihydro-1,4-dimethylazulene		
130C	7-ethyl-5,6-dihydro-1,4-dimethylazulene		
131C	octadecane		
132C	(z)-myroxide		
133C	ar-curcumene		
134C	gamma-elemene		
135C	myristicin		
136C	(-)-spathulenol		
137C	alpha-bulnesene		
138C	alpha-himachalene		
139C	beta-oplopenone		
140C	calacorene		
141C	camphor		
142C	nerolidol		
143C	12-nor-caryophyll-5-en-2-one		
144C	2-phenylethylpropionate		
145C	alpha-fenchene		
146C	alpha-terpinen-7-al		
147C	avandulyl acetate		
148C	benzaldehyde		
149C	carvotanacetone		
150C	caryophylla-3,8(13)-diene-5beta-ol		
151C	cis-p-menth-2-en-1-ol		
152C	(e)-lanceol acetate		
153C	ethyl phenylacetate		
154C	geranyl acetate		
155C	geranyl acetone		
156C	geranyl butyrate		
157C	heneicosane		
158C	hexyl isobutyrate		
159C	hexyl isovalerate		
160C	humulene epoxide ii		
161C	lavandulyl isobutyrate		
162C	lavandulyl isovalerate		
163C	nopinone		
164C	pentacosane		
165C	phenyl acetaldehyde		
166C	piperitone		
167C	p-methyl acetophenone		
168C	rosefuranepoxide		
169C	sclareol		
170C	tetracosane		
171C	tricosane		
172C	(z)-3-hexenyl isobutyrate		
173C	(z)-jasmone		
174C	(z)-lanceol acetate		
175C	1-octen-3-ol		
176C	beta-bourbonene		
177C	cis-chrysanthenol		
178C	cis-chrysanthenylacetate		
179C	cis-epoxy-ocimene		
180C	cis-jasmone		
181C	cis-p-menten-1-ol		
182C	geranial		
183C	geranyl-2-methylbutyrate		
184C	geranyl propionate		
185C	geranyl valerate		
186C	germacrene b		
187C	methyl anisate		
188C	methyl jasmonate		
189C	neral		
190C	neryl-2-methyl butyrate		
191C	neryl acetate		
192C	neryl valerate		
193C	octanal		
194C	p-mentha-1,4-dien-7-al		
195C	trans-epoxyocimene		
196C	trans-sabinene hydrate		
197C	verbenol		
198C	3-(z)-butylidene-4,5,6,7-tetrahydro -cis-6,7-dihydroxyphthalide		
199C	3-(z)-butylidenephthalide		
200C	beta-copaene		
201C	decanol		
202C	decylacetate		
203C	decyl isobutyrate		
204C	dodecanol		
205C	dodecyl acetate		
206C	kessane		
207C	pentyl benzene		
208C	phenyl pentanone		
209C	tetradecanol		
210C	tetradecyl acetate		
211C	tridecylacetate		
212C	(z,e)-alpha-farnesene		
213C	(z)-ligustilide		
214C	1,1,6-trimethyl-1,2-dihydronepthalene		
215C	3,7,11,15-tetramethyl-2-hexadecane		
216C	alpha-bisabolol		
217C	alpha-cadinene		
218C	delta-elemene		
219C	(e)-2-hexanol		
220C	(e)-4,8-dimethyl-1,3,7-nonatriene		
221C	geijerene		
222C	germacrene d-4-ol		
223C	isogeijerene		
224C	junelol		
225C	methyl thymol		
226C	neo-phyadiene somer (ii)		
227C	phytol		
228C	tau-muurolol		
229C	(z)-3-hexanyl acetate		
230C	artemisia alcohol		
231C	artemisia ketone		
232C	cuminaldeyde		
233C	dehydro-sabinaketone		
234C	p-cymen-7-ol		
235C	phellandral		
236C	sabina ketone		
237C	yomogi alcohol		
238C	2-(1,2,6,7,8,8a-hexahydro-8,8a-dimethyl-2-naphthyl)-propan-2-ol		
239C	2-isopropylidene-10-methyl-spirol[4,5]-dec-6-ene-6-carbaldehyde		
240C	6,10,10-trimethyl-11-oxatricyclo-[7.2.1.0]dodscane-2-carbaldehyde		
241C	agarospirol		
242C	beta-agarofuran		
243C	dihydrocarvone		
244C	epi-gamma-eudesmol		
245C	jinkoh-eremol		
246C	vaterianol		
247C	1,8-dihydrocineole		
248C	2,4(10)-thujadiene (b)		
249C	4-isopropylphenol		
250C	4-methylpentanol		
251C	7-alpha-h-silphiperfol-5-ene		
252C	7-beta-h-silphiperfol-5-ene		
253C	alpha-muurolene		
254C	amyl isovalerate		
255C	artemisiaacetate		
256C	beta-ylangene		
257C	cryptone		
258C	cuminol		
259C	delta-terpineol		
260C	dodecane		
261C	gamma-muurolene		
262C	perillaldehyde		
263C	santolina alcohol		
264C	santolinatriene		
265C	silphiperfola-5,7(14)-diene		
266C	tetradecane		
267C	trans-pinocarveol		
268C	trans-piperitol		
269C	trans-p-menth-2-en-1-ol		
270C	trans-p-mentha-1(7),8-dien-2-ol		
271C	tridecane		
272C	undecane		
273C	10-epi-gamma-eudesmol		
274C	1,5-diphenyl-2-pentene		
275C	1,5-diphenyl-3-pentanone		
276C	2-ethylhexanol		
277C	2-heptadecanone		
278C	2-hexadecanone		
279C	2-pentadecanone		
280C	4-(4-methoxyphenyl)-2-butanone		
281C	4-phenyl-2-butanone		
282C	cyclohexanecarboxylic acid		
283C	decanoic acid		
284C	dihydroeudesmol		
285C	dodecanoic acid		
286C	drima-7,9(11)-diene		
287C	(e)-9-hexadecenoic acid		
288C	(e)-oleic acid		
289C	gamma-eudesmol		
290C	heptadecane		
291C	heptadecanoic acid		
292C	heptanoic acid		
293C	hexadecanal		
294C	hexadecanoic acid		
295C	hexadecanol		
296C	hexanoic acid		
297C	linoleic acid		
298C	nonanoic acid		
299C	octadecanoic acid		
300C	octanoic acid		
301C	pentadecanal		
302C	pentadecanoic acid		
303C	pentadecanol		
304C	pentadecenoic acid		
305C	pentanoic acid		
306C	tetradecanal		
307C	tetradecanoic acid		
308C	tridecanal		
309C	tridecanoic acid		
310C	tridecanol		
311C	undecanoic acid		
312C	valerianol		
