compound_identifier	original_name	cleaned_name	name_comments
1000C	(e)-lachnophyllol acetate	NA	NA
1001C	(e)-lanceol	NA	NA
1002C	(e)-lanceol acetate	NA	NA
1003C	(e)-ligustilide-ms	NA	NA
1004C	(e)-linalool oxide	NA	NA
1005C	(e)-linalool oxide (furanoid)	NA	NA
1006C	(e)-linalool oxide (pyranoid)	NA	NA
1007C	(e)-linaloolÂ oxide	NA	NA
1008C	(e)-myroxide	NA	NA
1009C	(e)-myroxyde	NA	NA
100C	1,5-epoxy-salvial-4(14)-ene	NA	NA
1010C	(e)-nerolidiol	NA	NA
1011C	(e)-nerolido	NA	NA
1012C	(e)-nerolidol+ledol	NA	NA
1013C	(e)-nerolidyl acetate	NA	NA
1014C	(e)-nonadecene	NA	NA
1015C	(e)-nuciferal	NA	NA
1016C	(e)-nuciferyl acetate	NA	NA
1017C	(e)-nuciferyl formate	NA	NA
1018C	(e)-ocimene	NA	NA
1019C	(e)-oct-3-enal	NA	NA
101C	1,8 cineole	NA	NA
1020C	(e)-oleic acid	NA	NA
1021C	(e)-p-farnesene	NA	NA
1022C	(e)-p-hexenal diethyl acetal	NA	NA
1023C	(e)-p-menth-2-en-7-ol	NA	NA
1024C	(e)-p-ocimene	NA	NA
1025C	(e)-palmitoleic acid	NA	NA
1026C	(e)-phytol	NA	NA
1027C	(e)-pinane	NA	NA
1028C	(e)-pinene	NA	NA
1029C	(e)-pinocamphone	NA	NA
102C	1,8-cineol	NA	NA
1030C	(e)-psclmene	NA	NA
1031C	(e)-q-tetradecenal	NA	NA
1032C	(e)-roseÂ oxide	NA	NA
1033C	(e)-sabinene hydrate	NA	NA
1034C	(e)-sabineneÂ hydrate	NA	NA
1035C	(e)-salvene	NA	NA
1036C	(E)-sesquisabinene hydrate	NA	NA
1037C	(e)-sesquithujen-12-al	NA	NA
1038C	(e)-sesquithujen-12-ol	NA	NA
1039C	(e)-sesquithujene-12-ol	NA	NA
103C	1,8-cineole	NA	NA
1040C	(e)-thujone	NA	NA
1041C	(e)-thujopsene	NA	NA
1042C	(e)-trans-alpha-bergamota-2,10-dien-12-al	NA	NA
1043C	(e)-trans-alpha-bergamota-2,10-dien-12-ol	NA	NA
1044C	(e)-trans-bergamota-2,12-dien-14-ol	NA	NA
1045C	(e)-veltonal	NA	NA
1046C	(e)-verbenol	NA	NA
1047C	(e)-verbenylÂ acetate	NA	NA
1048C	(e, e)-alpha-farnesene	NA	NA
1049C	(e,"e)-alpha-farnesene	NA	NA
104C	1,8-cineole + limonene	NA	NA
1050C	(e, e) – pseudoionone	NA	NA
1051C	(e,Â e)-farnesol	NA	NA
1052C	(e,e)-1,3,11-tri dec alpha-triene-5,7,9-triyne	NA	NA
1053C	(e,e)-2-4-decadienal	NA	NA
1054C	(e,e)-2-4-heptadienal	NA	NA
1055C	(e,e)-2-hexadienal	NA	NA
1056C	(e,e)-2,4-decadienai	NA	NA
1057C	(e,e)-2,4-heptadienal	NA	NA
1058C	(e,e)-2,4-nonadienal	NA	NA
1059C	(e,e)-2,4-octadienal	NA	NA
105C	10-epi- gamma-eudesmol	NA	NA
1060C	(e,e)-2,6-farnesol	NA	NA
1061C	(e,e)-2,6-farnesyl acetate	NA	NA
1062C	(e,e)-3,5-octadien-2-one	NA	NA
1063C	(e,e)-3,6-nonadienol	NA	NA
1064C	(e,e)-4-octadienal	NA	NA
1065C	(e,e)-aalpha-farnesene	NA	NA
1066C	(e,e)-alloocimene	NA	NA
1067C	(e,e)-alpha-farnesene + beta-bisabolene	NA	NA
1068C	(e,e)-alpha-farnesene f	NA	NA
1069C	(e,e)-alpha-farnesol	NA	NA
106C	10-epi-alpha-cadinol	NA	NA
1070C	(e,e)-alpha-ionone	NA	NA
1071C	(e,e)-beta-farnesene	NA	NA
1072C	(e,e)-beta-ionone	NA	NA
1073C	(e,e)-decadienal	NA	NA
1074C	(e,e)-delta-ocimene	NA	NA
1075C	(e,e)-dodecadienal	NA	NA
1076C	(e,e)-e-farnesol	NA	NA
1077C	(e,e)-farnesal	NA	NA
