Compound_name,PubChem_lookup_name,PubChem_lookup_inchis,PubChem_lookup_cid
"(2,4)-nonadienal","(2,4)-nonadienal",,NA
(2e)-octen-1-ol,(2e)-octen-1-ol,,NA
"(e,e)-2,4-decadienal","(e,e)-2,4-decadienal",,NA
"(e,e)-2,4-hexadienal","(e,e)-2,4-hexadienal",,NA
"(e,e)-alpha-farnesene","(e,e)-alpha-farnesene",,NA
"(e,e)-farnesene","(e,e)-farnesene",,NA
"(e,e)-farnesol","(e,e)-farnesol",,NA
"(e,z)-2,4-decadienal","(e,z)-2,4-decadienal",,NA
"(e,z)-2,4-hexadienal","(e,z)-2,4-hexadienal",,NA
(e)-1-propenyl methyl trisulfide,(e)-1-propenyl methyl trisulfide,,NA
(e)-2-caren-4-ol,(e)-2-caren-4-ol,,NA
(e)-2-decanal,(e)-2-decanal,,NA
(e)-2-decanal,(e)-2-decanal,,NA
(e)-2-decenal,(e)-2-decenal,"InChI=1S/C10H18O/c1-2-3-4-5-6-7-8-9-10-11/h8-10H,2-7H2,1H3/b9-8+",5283345
(e)-2-decenol,(e)-2-decenol,"InChI=1S/C10H20O/c1-2-3-4-5-6-7-8-9-10-11/h8-9,11H,2-7,10H2,1H3/b9-8+",5364942
(e)-2-heptenal,(e)-2-heptenal,"InChI=1S/C7H12O/c1-2-3-4-5-6-7-8/h5-7H,2-4H2,1H3/b6-5+",5283316
(e)-2-hexenal,(e)-2-hexenal,"InChI=1S/C6H10O/c1-2-3-4-5-6-7/h4-6H,2-3H2,1H3/b5-4+",5281168
(e)-2-hexenol,(e)-2-hexenol,"InChI=1S/C6H12O/c1-2-3-4-5-6-7/h4-5,7H,2-3,6H2,1H3/b5-4+",5318042
(e)-2-hexyl butyrate,(e)-2-hexyl butyrate,,NA
(e)-2-nonenal,(e)-2-nonenal,"InChI=1S/C9H16O/c1-2-3-4-5-6-7-8-9-10/h7-9H,2-6H2,1H3/b8-7+",5283335
(e)-2-tridecenal,(e)-2-tridecenal,"InChI=1S/C13H24O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14/h11-13H,2-10H2,1H3/b12-11+",5283363
"(e)-2,(z)-6-decadienal","(e)-2,(z)-6-decadienal",,NA
"(e)-2,2-decenal","(e)-2,2-decenal",,NA
