Compound_identifier	original_name	clean_name	cid
C214	acetate	acetate	175
C215	acetic acid	acetic acid	176
C2776	acetaldehyde	acetaldehyde	177
C170	3-hydroxy-2-butanone	3-hydroxy-2-butanone	179
C2171	3-hydroxybutan-2-one	3-hydroxybutan-2-one	179
C2779	acetoin	acetoin	179
C2780	acetone	acetone	180
C298	benzaldehyde	benzaldehyde	240
C3196	benzene	benzene	241
C3201	benzoic acid	benzoic acid	243
C302	benzyl alcohol	benzyl alcohol	244
C3516	butanal	butanal	261
C1369	1-butanol	1-butanol	263
C3513	butan-1-ol	butan-1-ol	263
C3517	butanol	butanol	263
C3544	butyric acid	butyric acid	264
C454	coumarin	coumarin	323
C459	cumin alcohol	cumin alcohol	325
C4070	cuminÂ alcohol	cumin alcohol	325
C4073	cuminol	cuminol	325
C4075	cuminyl alcohol	cuminyl alcohol	325
C6993	p-cymen-7-ol	p-cymen-7-ol	325
C5941	p-cymene-7-ol	p-cymene-7-ol	325
C460	cumin aldehyde	cumin aldehyde	326
C461	cuminal	cuminal	326
C4071	cuminaldehyde	cuminaldehyde	326
C5957	p-isopropyl benzaldehyde	p-isopropyl benzaldehyde	326
C1806	2-methoxy-4-vinylphenol	2-methoxy-4-vinylphenol	332
C2369	4-hydroxy-3-methoxystyrene	4-hydroxy-3-methoxystyrene	332
C189	4-vinyl-2-methoxyphenol	4-vinyl-2-methoxyphenol	332
C2456	4-vinylguaiacol	4-vinylguaiacol	332
C6075	p-vinylguaiacol	p-vinylguaiacol	332
C1878	2-methylphenol	2-methylphenol	335
C6971	o-cresol	o-cresol	335
C6299	salicylic acid	salicylic acid	338
C717	m-cresol	m-cresol	342
C5683	n-octane	n-octane	356
C5853	octane	octane	356
C3635	caprylic acid	caprylic acid	379
C6977	octanoic acid	octanoic acid	379
C5857	octanoicÂ acid	octanoic acid	379
C6959	n-octanal	n-octanal	454
C6976	octanal	octanal	454
C1811	2-methoxyphenol	2-methoxyphenol	460
C4810	guaiacol	guaiacol	460
C4818	guaicol	guaicol	460
C5816	o-guaiacol	o-guaiacol	460
C4251	dibenzofuran	dibenzofuran	568
C4246	diacetyl	diacetyl	650
C4292	dihydrocoumarin	dihydrocoumarin	660
C4321	dimethyl sulfoxide	dimethyl sulfoxide	679
C2807	alcohol	alcohol	702
C2808	alcohols	alcohols	702
C537	ethanol	ethanol	702
C4637	formamide	formamide	713
C4954	hydroquinone	hydroquinone	785
C119	1-h-indole	1-h-indole	798
C655	indole	indole	798
C5415	methanethiol	methanethiol	878
C6933	naphthalene	naphthalene	931
C5701	napthalene	napthalene	931
C6956	ni	ni	935
C123	1-octanol	1-octanol	957
C5684	n-octanol	n-octanol	957
C6978	octanol	octanol	957
C5871	octyl alcohol	octyl alcohol	957
C4875	hexadecanal	hexadecanal	984
C6080	palmitic aldehyde	palmitic aldehyde	984
C627	hexadecanoic acid	hexadecanoic acid	985
C4878	hexadecanoicÂ acid	hexadecanoic acid	985
C5669	n-hexadecanoic acid	n-hexadecanoic acid	985
C6987	palmitic acid	palmitic acid	985
C6147	phenanthrene	phenanthrene	995
C6150	phenol	phenol	996
C1929	2-phenylacetaldehyde	2-phenylacetaldehyde	998
C3050	alpha-tolualdehyde	alpha-tolualdehyde	998
C3195	benzenacetaldehyde	benzenacetaldehyde	998
C6158	phenyl acetaldehyde	phenyl acetaldehyde	998
C7012	phenyl acetaldehyde	phenyl acetaldehyde	998
C6173	Phenylacetaldehyde	Phenylacetaldehyde	998
C6160	phenyl acetic acid	phenyl acetic acid	999
C1471	1-propanol	1-propanol	1031
C6235	propan-1-ol	propan-1-ol	1031
C6238	propanol	propanol	1031
C6237	propanoic acid	propanoic acid	1032
C6267	pyridine	pyridine	1049
C4320	dimethyl sulfide	dimethyl sulfide	1068
C6571	toluene	toluene	1140
C6850	vanillin	vanillin	1183
C720	menthol	menthol	1254
C5743	neomenthol	neomenthol	1254
C6134	perillic acid	perillic acid	1256
C2783	acetovanillone	acetovanillone	2214
C303	benzyl benzoate	benzyl benzoate	2345
C3222	benzyl isothiocyanate	benzyl isothiocyanate	2346
C311	bergapten	bergapten	2355
C378	camphor	camphor	2537
C3622	camphor*	camphor	2537
C117	1-hexadecanol	1-hexadecanol	2682
C629	hexadecanol	hexadecanol	2682
C5670	n-hexadecanol	n-hexadecanol	2682
C1604	1.8-cineole	1.8-cineole	2758
C3583	cajeputol	cajeputol	2758
C3781	cineol	cineol	2758
C3782	cineole	cineole	2758
C554	eucalyptol	eucalyptol	2758
C2429	4-methylphenol	4-methylphenol	2879
C6992	p-cresol	p-cresol	2879
C6072	p-tolyl alcohol	p-tolyl alcohol	2879
C3634	capric acid	capric acid	2969
C4152	decanoicÂ acid	decanoic acid	2969
C475	decanoic acid	decanoic acid	2969
C3537	butyl phthalate	butyl phthalate	3026
C4253	dibutyl phthalate	dibutyl phthalate	3026
C3203	benzophenone	benzophenone	3102
C557	eugenol	eugenol	3314
C5951	p-eugenol	p-eugenol	3314
C612	guaiazulene	guaiazulene	3515
C3416	beta-thujaplicin	beta-thujaplicin	3611
C3417	beta-thujaplicine	beta-thujaplicine	3611
C5177	isopropanol	isopropanol	3776
C5182	isopropyl alcohol	isopropyl alcohol	3776
C6236	propan-2-ol	propan-2-ol	3776
C513	dodecanoic acid	dodecanoic acid	3893
C5273	lauric acid	lauric acid	3893
C741	methyl salicylate	methyl salicylate	4133
C5589	methylÂ salicylate	methyl salicylate	4133
C751	myristicin	myristicin	4276
C5912	p-benzoquinone	p-benzoquinone	4650
C6296	safrol	safrol	5144
C7047	safrole	safrole	5144
C6975	octadecanoic acid	octadecanoic acid	5281
C6445	stearic acid	stearic acid	5281
C6791	tribromomethane	tribromomethane	5558
C155	2-phenethyl alcohol	2-phenethyl alcohol	6054
C156	2-phenylethanol	2-phenylethanol	6054
C1937	2-phenylethyl alcohol	2-phenylethyl alcohol	6054
C6149	phenethyl alcohol	phenethyl alcohol	6054
C7013	phenyl ethyl alcohol	phenyl ethyl alcohol	6054
C6175	phenylethyl alcohol	phenylethyl alcohol	6054
C633	hexanal	hexanal	6184
C5671	n-hexanal	n-hexanal	6184
C1458	1-pentanol	1-pentanol	6276
C284	amyl alcohol	amyl alcohol	6276
C6101	pentan-1-ol	pentan-1-ol	6276
C6107	pentanol	pentanol	6276
C1815	2-methyl-2-butanol	2-methyl-2-butanol	6405
C362	bornyl acetate	bornyl acetate	6448
C4403	endo-bornyl acetate	endo-bornyl acetate	6448
C707	linalyl isobutyrate	linalyl isobutyrate	6532
C2978	alpha-isophorone	alpha-isophorone	6544
C5153	isophorone	isophorone	6544
C6512	tetrahydrolinalool	tetrahydrolinalool	6548
C5311	linalol	linalol	6549
C702	linalool	linalool	6549
C5333	linalyl alcohol	linalyl alcohol	6549
C1814	2-methyl-1-propanol	2-methyl-1-propanol	6560
C149	2-methylpropan-1-ol	2-methylpropan-1-ol	6560
C5054	isobutanol	isobutanol	6560
