Compound_identifier,original_name,cleaned_name,name_comments,,,,,,,,"2,4-nonadienal"
C1,"(2,4)-nonadienal","2,4-nonadienal",extraParanthasis; ,,,,,,,,E-2-octen-1-ol
C2,(2e)-octen-1-ol,E-2-octen-1-ol,isomerNotation; ,,,,,,,,methyl trans-1-propenyl trisulfide
C3,(e)-1-propenyl methyl trisulfide,methyl trans-1-propenyl trisulfide,isomerNotation,,,,,,,,
C4,"(e)-2,(z)-6-decadienal",,"no search in PubChem; (e)-2,(z)-6-decadienal was uninterpretable due to the following section of the name: (e)-2,",,,,,,,,(E)-2-decenal
C5,"(e)-2,2-decenal",,"no search in Pubchem; Multiple locants without a multiplier: &lt;locant&gt;2,2&lt;/locant&gt;",,,,,,,,(E)-2-decenol
C6,(e)-2-caren-4-ol,(E)-2-decenal,isomerNotation,,,,,,,,(E)-2-Heptenal
C7,(e)-2-decanal,,noSearch; Could not find bond that: &lt;stereoChemistry type=&quot;EorZ&quot; value=&quot;E&quot;&gt;E&lt;/stereoChemistry&gt; was referring to,,,,,,,,(E)-2-hexenal
C8,(e)-2-decenal,(E)-2-decenal,isomerNotation,,,,,,,,(E)-2-hexenol
C9,(e)-2-decenol,(E)-2-decenol,isomerNotation,,,,,,,,(E)-2-nonenal
C10,(e)-2-heptenal,(E)-2-Heptenal,,,,,,,,,(E)-2-tridecenal
C11,(e)-2-hexenal,(E)-2-hexenal,,,,,,,,,(E)-3-hexenol
C12,(e)-2-hexenol,(E)-2-hexenol,,,,,,,,,(E)-alpha-bisabolene
C13,(e)-2-hexyl butyrate,,no search; Could not find bond that: &lt;stereoChemistry type=&quot;EorZ&quot; value=&quot;E&quot;&gt;e&lt;/stereoChemistry&gt; was referring to,,,,,,,,(E)-alpha-Ionone
C14,(e)-2-nonenal,(E)-2-nonenal,isomerNotation,,,,,,,,(E)-anethole
C15,(e)-2-tridecenal,(E)-2-tridecenal,,,,,,,,,(E)-beta-ocimene
C16,(e)-3-hexenol,(E)-3-hexenol,,,,,,,,,(E)-beta-farnesene
C17,(e)-alpha-bisabolene,(E)-alpha-bisabolene,,,,,,,,,(E)-beta-Ionone
C18,(e)-alpha-ionone,(E)-alpha-Ionone,,,,,,,,,(E)-beta-terpineol
C19,(e)-anethole,(E)-anethole,,,,,,,,,(E)-caryophyllene
C20,(e)-anethole+bornyl acetate,,mixture of two compounds,,,,,,,,(E)-cinnamaldehyde
