CSID	EID	SYNONYM
CS1	C214	acetate
CS2	C214	Acetate Ion
CS3	C214	Acetic acid, ion(1-)
CS4	C214	Acetate ions
CS5	C214	71-50-1
CS6	C214	monoacetate
CS7	C214	MeCO2 anion
CS8	C214	UNII-569DQM74SC
CS9	C214	ethanoate
CS10	C214	Acetat
CS11	C214	569DQM74SC
CS12	C214	Ethanoat
CS13	C214	Shotgun
CS14	C214	CHEMBL1354
CS15	C214	Azetat
CS16	C214	racemic acetate
CS17	C214	acetyl hydroxide
CS18	C214	Acetic cid glacial
CS19	C214	TCLP extraction fluid 2
CS20	C214	AC1Q1J2O
CS21	C214	AC1Q1J9D
CS22	C214	AC1L18N9
CS23	C214	CH3-COO(-)
CS24	C214	DTXSID1037694
CS25	C214	CHEBI:30089
CS26	C214	CTK5D4394
CS27	C214	QTBSBXVTEAMEQO-UHFFFAOYSA-M
CS28	C214	BDBM50159793
CS29	C214	CMC_13391
CS30	C214	STL282721
CS31	C214	AKOS022101130
CS32	C214	AN-23801
CS33	C214	AN-25008
CS34	C214	LS-189936
CS35	C214	1395-EP1441224A2
CS36	C214	1395-EP2269610A2
CS37	C214	1395-EP2269977A2
CS38	C214	1395-EP2269978A2
CS39	C214	1395-EP2269985A2
CS40	C214	1395-EP2269990A1
CS41	C214	1395-EP2269991A2
CS42	C214	1395-EP2269993A1
CS43	C214	1395-EP2270004A1
CS44	C214	1395-EP2270006A1
CS45	C214	1395-EP2270008A1
CS46	C214	1395-EP2270010A1
CS47	C214	1395-EP2270014A1
CS48	C214	1395-EP2270016A1
CS49	C214	1395-EP2270113A1
CS50	C214	1395-EP2272813A2
CS51	C214	1395-EP2272817A1
CS52	C214	1395-EP2272822A1
CS53	C214	1395-EP2272831A1
CS54	C214	1395-EP2272843A1
CS55	C214	1395-EP2272846A1
CS56	C214	1395-EP2272847A1
CS57	C214	1395-EP2272849A1
CS58	C214	1395-EP2272935A1
CS59	C214	1395-EP2272972A1
CS60	C214	1395-EP2272973A1
CS61	C214	1395-EP2275102A1
CS62	C214	1395-EP2275105A1
CS63	C214	1395-EP2275395A2
CS64	C214	1395-EP2275404A1
CS65	C214	1395-EP2275411A2
CS66	C214	1395-EP2275412A1
CS67	C214	1395-EP2275417A2
CS68	C214	1395-EP2275420A1
CS69	C214	1395-EP2277507A1
CS70	C214	1395-EP2277565A2
CS71	C214	1395-EP2277566A2
CS72	C214	1395-EP2277567A1
CS73	C214	1395-EP2277568A2
CS74	C214	1395-EP2277569A2
CS75	C214	1395-EP2277570A2
CS76	C214	1395-EP2277848A1
CS77	C214	1395-EP2277861A1
CS78	C214	1395-EP2277872A1
CS79	C214	1395-EP2277875A2
CS80	C214	1395-EP2277876A1
CS81	C214	1395-EP2277877A1
CS82	C214	1395-EP2277898A2
CS83	C214	1395-EP2279741A2
CS84	C214	1395-EP2279750A1
CS85	C214	1395-EP2280005A1
CS86	C214	1395-EP2280008A2
CS87	C214	1395-EP2280009A1
CS88	C214	1395-EP2280010A2
CS89	C214	1395-EP2280011A1
CS90	C214	1395-EP2280012A2
CS91	C214	1395-EP2281559A1
CS92	C214	1395-EP2281563A1
CS93	C214	1395-EP2281812A1
CS94	C214	1395-EP2281815A1
CS95	C214	1395-EP2281817A1
CS96	C214	1395-EP2281818A1
CS97	C214	1395-EP2281824A1
CS98	C214	1395-EP2284149A1
CS99	C214	1395-EP2284150A2
CS100	C214	1395-EP2284151A2
CS101	C214	1395-EP2284152A2
CS102	C214	1395-EP2284153A2
CS103	C214	1395-EP2284155A2
CS104	C214	1395-EP2284156A2
CS105	C214	1395-EP2284157A1
CS106	C214	1395-EP2284159A1
CS107	C214	1395-EP2284160A1
CS108	C214	1395-EP2284162A2
CS109	C214	1395-EP2284163A2
CS110	C214	1395-EP2284164A2
CS111	C214	1395-EP2284169A1
CS112	C214	1395-EP2284170A1
CS113	C214	1395-EP2284171A1
CS114	C214	1395-EP2284172A1
CS115	C214	1395-EP2284178A2
CS116	C214	1395-EP2284179A2
CS117	C214	1395-EP2286795A1
CS118	C214	1395-EP2286811A1
CS119	C214	1395-EP2286812A1
CS120	C214	1395-EP2287140A2
CS121	C214	1395-EP2287148A2
CS122	C214	1395-EP2287150A2
CS123	C214	1395-EP2287153A1
CS124	C214	1395-EP2287158A1
CS125	C214	1395-EP2287159A1
CS126	C214	1395-EP2287161A1
CS127	C214	1395-EP2287162A1
CS128	C214	1395-EP2287167A1
CS129	C214	1395-EP2289510A1
CS130	C214	1395-EP2289868A1
CS131	C214	1395-EP2289871A1
CS132	C214	1395-EP2289876A1
CS133	C214	1395-EP2289884A1
CS134	C214	1395-EP2289890A1
CS135	C214	1395-EP2289892A1
CS136	C214	1395-EP2289893A1
CS137	C214	1395-EP2289894A2
CS138	C214	1395-EP2292222A1
CS139	C214	1395-EP2292227A2
CS140	C214	1395-EP2292280A1
CS141	C214	1395-EP2292590A2
CS142	C214	1395-EP2292593A2
CS143	C214	1395-EP2292595A1
CS144	C214	1395-EP2292597A1
CS145	C214	1395-EP2292600A1
CS146	C214	1395-EP2292607A2
CS147	C214	1395-EP2292613A1
CS148	C214	1395-EP2292614A1
CS149	C214	1395-EP2292615A1
CS150	C214	1395-EP2292617A1
CS151	C214	1395-EP2292628A2
CS152	C214	1395-EP2295055A2
CS153	C214	1395-EP2295402A2
CS154	C214	1395-EP2295406A1
CS155	C214	1395-EP2295407A1
CS156	C214	1395-EP2295409A1
CS157	C214	1395-EP2295411A1
CS158	C214	1395-EP2295412A1
CS159	C214	1395-EP2295413A1
CS160	C214	1395-EP2295415A1
CS161	C214	1395-EP2295416A2
CS162	C214	1395-EP2295419A2
CS163	C214	1395-EP2295426A1
CS164	C214	1395-EP2295427A1
CS165	C214	1395-EP2295429A1
CS166	C214	1395-EP2295430A2
CS167	C214	1395-EP2295431A2
CS168	C214	1395-EP2295432A1
CS169	C214	1395-EP2295433A2
CS170	C214	1395-EP2295434A2
CS171	C214	1395-EP2295437A1
CS172	C214	1395-EP2295550A2
CS173	C214	1395-EP2298313A1
CS174	C214	1395-EP2298415A1
CS175	C214	1395-EP2298728A1
CS176	C214	1395-EP2298731A1
CS177	C214	1395-EP2298732A1
CS178	C214	1395-EP2298734A2
CS179	C214	1395-EP2298735A1
CS180	C214	1395-EP2298736A1
CS181	C214	1395-EP2298744A2
CS182	C214	1395-EP2298745A1
CS183	C214	1395-EP2298748A2
CS184	C214	1395-EP2298761A1
CS185	C214	1395-EP2298764A1
CS186	C214	1395-EP2298765A1
CS187	C214	1395-EP2298767A1
CS188	C214	1395-EP2298768A1
CS189	C214	1395-EP2298770A1
CS190	C214	1395-EP2298772A1
CS191	C214	1395-EP2298775A1
CS192	C214	1395-EP2298776A1
CS193	C214	1395-EP2298777A2
CS194	C214	1395-EP2298783A1
CS195	C214	1395-EP2298828A1
CS196	C214	1395-EP2301534A1
CS197	C214	1395-EP2301540A1
CS198	C214	1395-EP2301912A2
CS199	C214	1395-EP2301913A1
CS200	C214	1395-EP2301914A1
CS201	C214	1395-EP2301916A2
CS202	C214	1395-EP2301923A1
CS203	C214	1395-EP2301927A1
CS204	C214	1395-EP2301928A1
CS205	C214	1395-EP2301929A1
CS206	C214	1395-EP2301930A1
CS207	C214	1395-EP2301933A1
CS208	C214	1395-EP2301935A1
CS209	C214	1395-EP2301937A1
CS210	C214	1395-EP2302003A1
CS211	C214	1395-EP2305219A1
CS212	C214	1395-EP2305260A1
CS213	C214	1395-EP2305633A1
CS214	C214	1395-EP2305636A1
CS215	C214	1395-EP2305637A2
CS216	C214	1395-EP2305640A2
CS217	C214	1395-EP2305642A2
CS218	C214	1395-EP2305643A1
CS219	C214	1395-EP2305652A2
CS220	C214	1395-EP2305660A1
CS221	C214	1395-EP2305666A1
CS222	C214	1395-EP2305668A1
CS223	C214	1395-EP2305671A1
CS224	C214	1395-EP2305673A1
CS225	C214	1395-EP2305674A1
CS226	C214	1395-EP2305679A1
CS227	C214	1395-EP2305682A1
CS228	C214	1395-EP2305683A1
CS229	C214	1395-EP2305684A1
CS230	C214	1395-EP2305687A1
CS231	C214	1395-EP2305695A2
CS232	C214	1395-EP2305696A2
CS233	C214	1395-EP2305697A2
CS234	C214	1395-EP2305698A2
CS235	C214	1395-EP2305808A1
CS236	C214	1395-EP2305825A1
CS237	C214	1395-EP2308479A2
CS238	C214	1395-EP2308509A1
CS239	C214	1395-EP2308510A1
CS240	C214	1395-EP2308562A2
CS241	C214	1395-EP2308812A2
CS242	C214	1395-EP2308828A2
CS243	C214	1395-EP2308832A1
CS244	C214	1395-EP2308833A2
CS245	C214	1395-EP2308838A1
CS246	C214	1395-EP2308839A1
CS247	C214	1395-EP2308844A2
CS248	C214	1395-EP2308845A2
CS249	C214	1395-EP2308846A2
CS250	C214	1395-EP2308851A1
CS251	C214	1395-EP2308855A1
CS252	C214	1395-EP2308858A1
CS253	C214	1395-EP2308861A1
CS254	C214	1395-EP2308863A1
CS255	C214	1395-EP2308867A2
CS256	C214	1395-EP2308870A2
CS257	C214	1395-EP2308872A1
CS258	C214	1395-EP2308873A1
CS259	C214	1395-EP2308875A1
CS260	C214	1395-EP2308879A1
CS261	C214	1395-EP2308960A1
CS262	C214	1395-EP2309564A1
CS263	C214	1395-EP2311451A1
CS264	C214	1395-EP2311453A1
CS265	C214	1395-EP2311796A1
CS266	C214	1395-EP2311797A1
CS267	C214	1395-EP2311798A1
CS268	C214	1395-EP2311799A1
CS269	C214	1395-EP2311802A1
CS270	C214	1395-EP2311803A1
CS271	C214	1395-EP2311805A1
CS272	C214	1395-EP2311806A2
CS273	C214	1395-EP2311808A1
CS274	C214	1395-EP2311814A1
CS275	C214	1395-EP2311816A1
CS276	C214	1395-EP2311817A1
CS277	C214	1395-EP2311823A1
CS278	C214	1395-EP2311824A1
CS279	C214	1395-EP2311825A1
CS280	C214	1395-EP2311827A1
CS281	C214	1395-EP2311829A1
CS282	C214	1395-EP2311830A1
CS283	C214	1395-EP2311831A1
CS284	C214	1395-EP2311834A1
CS285	C214	1395-EP2311835A1
CS286	C214	1395-EP2311837A1
CS287	C214	1395-EP2311839A1
CS288	C214	1395-EP2311841A1
CS289	C214	1395-EP2311842A2
CS290	C214	1395-EP2311846A1
CS291	C214	1395-EP2314295A1
CS292	C214	1395-EP2314571A2
CS293	C214	1395-EP2314578A1
CS294	C214	1395-EP2314584A1
CS295	C214	1395-EP2314586A1
CS296	C214	1395-EP2314587A1
CS297	C214	1395-EP2314589A1
CS298	C214	1395-EP2314590A1
CS299	C214	1395-EP2314593A1
CS300	C214	1395-EP2316450A1
CS301	C214	1395-EP2316452A1
CS302	C214	1395-EP2316457A1
CS303	C214	1395-EP2316458A1
CS304	C214	1395-EP2316470A2
CS305	C214	1395-EP2316824A1
CS306	C214	1395-EP2316825A1
CS307	C214	1395-EP2316826A1
CS308	C214	1395-EP2316827A1
CS309	C214	1395-EP2316828A1
CS310	C214	1395-EP2316829A1
CS311	C214	1395-EP2316830A2
