id,original_names,clean_name,PubChem_lookup,CID
C766,(-)-beta-ocimene,(-)-beta-ocimene,(-)-beta-ocimene,5320250
C837,(?) ? gamma -curcumen-15-al,(-)-gamma-curcumen-15-al,,
C834,(?)-ar-curcumen-15-al,(-)-ar-curcumen-15-al,,10846393
C770,"(-)-elema-1,3,11(13)-trien-12-al","(-)-elema-1,3,11(13)-trien-12-al","(-)-Elema-1,3,11(13)-Trien-12-Al",11651448
C772,(-)-kaur-16-en-19-al,(-)-kaur-16-en-19-al,Ent-Kaur-16-En-19-Al,10062561  
C775,"(-)-pacifigorgia-1(6),10-diene","(-)-pacifigorgia-1(6),10-diene","Pacifigorgia-1(6),10-Diene",12051852 
C778,"(-)-valerena-4,7(11)-diene","(-)-valerena-4,7(11)-diene","Valerena-4,7(11)-Diene",58067884  
C796,"(11,13)labdadien-8-ol","(11,13)labdadien-8-ol",,
C797,"(1r,3s)-cembra-4,7,11,15-tetraen-3-ol","(1R,3S)-cembra-4,7,11,15-tetraen-3-ol","(1R,3S)-Cembra-4,7,11,15-Tetraen-3-Ol",91750011
C798,(1s)(-)-camphor,(1S)(-)-camphor,(1S)-(-)-Camphor,444294
C799,(2)-3-hexenylacetate,(2)-3-hexenylacetate,,
C800,(2)-3-hexenylbenzoate,(2)-3-hexenylbenzoate,,
C801,(2)-4-octenyloctanoate,(2)-4-octenyloctanoate,,
C1,"(2,4)-nonadienal","(2,4)-nonadienal","2,4-NONADIENAL",5283339  
C802,(22)-(6e)-farnesol,(22)-(6e)-farnesol,,
C803,(2e-)-methyl-3-octen-5-yne,(2E-)-methyl-3-octen-5-yne,,
C804,(2E)-decen-1-ol,(2E)-decen-1-ol,,
C2,(2E)-octen-1-ol,(2E)-octen-1-ol,(E)-2-Octen-1-Ol,5318599  
C805,(2E)-undecenol,(2E)-undecenol,2-UNDECANOL,15448  
C806,"(2E,6E)-farnesal","(2E,6E)-farnesal","(2E,6E)-Farnesal", 5280598 
C807,"(2E,6E)-farnesyl acetate","(2E,6E)-farnesyl acetate","(2E,6E)-Farnesyl acetate",638500
C809,"(2E,6Z)-farnesal","(2E,6Z)-farnesal","2E,6Z-Farnesal",5365890  
C808,"(2E,6Z)- farnesol","(2E,6Z)-farnesol","(2E,6Z)-farnesol acetate",1551481
C811,"(2r,5e)-caryophyll-5-en-12-al","(2R,5E)-caryophyll-5-en-12-al",,
C812,"(2r,5s)-caryophyll-5-en-12-al","(2R,5S)-caryophyll-5-en-12-al",,
C813,"(2s,5e)-caryophyll-5-en-12-al","(2S,5E)-caryophyll-5-en-12-al",,
C814,"(2s,5r,9r)-1(12),8(15)-caryophyladiene-9alpha-ol","(2S,5R,9R)-1(12),8(15)-caryophyladiene-9alpha-ol",,
C815,(2Z)-nonenol,(2Z)-nonenol,Nonenol,15651725  
C816,"(2Z,6E)-farnensal","(2Z,6E)-farnensal",,
C817,"(2Z,6E)-farnesol","(2Z,6E)-farnesol","(2Z,6E)-Farnesol",1549108
C818,"(2Z,6E)-farnesyl acetate","(2Z,6E)-farnesyl acetate","(2Z,6E)-Farnesyl Acetate",1551480 
C819,"(2Z,6Z)-farnesol","(2Z,6Z)-farnesol","Cis,Cis-Farnesol",1549107 
C821,(3epsilon)-cembrene a,(3epsilon)-cembrene a,Cembrene A,5281384
C822,(3Z)-butylidene phthalide,(3Z)-butylidene phthalide,3-Butylidenephthalide,62368  
C823,(3Z)-cembrene a,(3Z)-cembrene a,Cembrene A,5281384  
C825,(3Z)-hexenyl-2-methylbutanoate,(3Z)-hexenyl-2-methylbutanoate,D2-3Z-Hexenyl 2-Methylbutanoate,91748623 
C826,(3Z)-hexenyl-3-methylbutanoate,(3Z)-hexenyl-3-methylbutanoate,Cis-3-Hexenyl 3-Methylbutanoate,37065  
C827,"(4s,5s)-germacrone-4,5-epoxide","(4S,5S)-germacrone-4,5-epoxide","(4S,5S)-Germacrone-4,5-Epoxide",91753231 
C828,(4Z)-decenal,(4Z)-decenal,4Z-Decenal,5362620  
C829,(4Z)-heptenal,(4Z)-heptenal,cis-4-Heptenal,5362814 
C830,(4Z)-hexenol,(4Z)-hexenol,Cis-3-Hexen-1-Ol,5281167  
C831,(5.9-10)-kaur-15-ene,(5.9-10)-kaur-15-ene,,
C918,(e)-alpha-atlantone,(E)-alpha-atlantone,(-)-(E)-..alpha.-Atlantone,249947432
C920,(e)-alpha-cadinol,(E)-alpha-cadinol,(-)-alpha-Cadinol,10398656
C921,(e)-alpha-damascenone,(E)-alpha-damascenone,,68473438
C922,(e)-alpha-decenal,(E)-alpha-decenal,,
C924,(e)-alpha-isomethyl-ionol acetate,(E)-alpha-isomethyl-ionol acetate,,
C926,(e)-alpha-trans-bergamotol,(E)-alpha-trans-bergamotol,Alpha-Bergamotenol,5368743
C934,(e)-beta-amascenone,(E)-beta-amascenone,,
C935,(e)-beta-begamotene,(E)-beta-begamotene,,
C936,(e)-beta-bisabolene,(E)-beta-bisabolene, (E)- .Beta.-Bisabolene,403919
C940,(e)-beta-elemenone,(E)-beta-elemenone, Trans-.Beta.-Elemenone,10955018
C941,(e)-beta-famesene,(E)-beta-famesene,,
C942,"(e)-beta-farnesene epoxide((e)-(5,9-dimethyl-1-methylene-4,8-decadienyl)-oxirane)","(E)-beta-farnesene epoxide((E)-(5,9-dimethyl-1-methylene-4,8-decadienyl)-oxirane)",,
C943,(e)-beta-guaiene,(E)-beta-guaiene,E-.Beta.-Guaiene,6429357
C967,(e)-delta-farnesene,(E)-delta-farnesene,,
C968,(e)-delta-ocimene,(E)-delta-ocimene,,
C974,(e)-gamma-atlantone,(E)-gamma-atlantone,,91698330
C841,"(e)-1-(3',4'-dimethoxy phenyl)but-1-ene","(E)-1-(3',4'-dimethoxy phenyl)but-1-ene",,
