Compound_identifier,original_name,clean_name,cid
C834,(?)-ar-curcumen-15-al,(-)-ar-curcumen-15-al,NA
C766,(-)-beta-ocimene,(-)-beta-ocimene,NA
C770,"(-)-elema-1,3,11(13)-trien-12-al","(-)-elema-1,3,11(13)-trien-12-al",NA
C837,(?) ? gamma -curcumen-15-al,(-)-gamma-curcumen-15-al,NA
C772,(-)-kaur-16-en-19-al,(-)-kaur-16-en-19-al,NA
C775,"(-)-pacifigorgia-1(6),10-diene","(-)-pacifigorgia-1(6),10-diene",NA
C778,"(-)-valerena-4,7(11)-diene","(-)-valerena-4,7(11)-diene",NA
C788,(+)-beta-fenebrene,(+)-beta-fenebrene,NA
C790,(+)-isoiridemyrmecin,(+)-isoiridemyrmecin,NA
C796,"(11,13)labdadien-8-ol","(11,13)labdadien-8-ol",NA
C797,"(1r,3s)-cembra-4,7,11,15-tetraen-3-ol","(1r,3s)-cembra-4,7,11,15-tetraen-3-ol",NA
C798,(1s)(-)-camphor,(1s)(-)-camphor,NA
C799,(2)-3-hexenylacetate,(2)-3-hexenylacetate,NA
C800,(2)-3-hexenylbenzoate,(2)-3-hexenylbenzoate,NA
C801,(2)-4-octenyloctanoate,(2)-4-octenyloctanoate,NA
C1,"(2,4)-nonadienal","(2,4)-nonadienal",NA
C802,(22)-(6e)-farnesol,(22)-(6e)-farnesol,NA
C803,(2e-)-methyl-3-octen-5-yne,(2E-)-methyl-3-octen-5-yne,NA
C804,(2E)-decen-1-ol,(2E)-decen-1-ol,NA
C2,(2E)-octen-1-ol,(2E)-octen-1-ol,NA
C805,(2E)-undecenol,(2E)-undecenol,NA
C806,"(2E,6E)-farnesal","(2E,6E)-farnesal",NA
C807,"(2E,6E)-farnesyl acetate","(2E,6E)-farnesyl acetate",NA
C809,"(2E,6Z)-farnesal","(2E,6Z)-farnesal",NA
C808,"(2E,6Z)- farnesol","(2E,6Z)-farnesol",NA
C810,"(2E,6Z)-farnesol","(2E,6Z)-farnesol",NA
C811,"(2r,5e)-caryophyll-5-en-12-al","(2r,5e)-caryophyll-5-en-12-al",NA
C812,"(2r,5s)-caryophyll-5-en-12-al","(2r,5s)-caryophyll-5-en-12-al",NA
C813,"(2s,5e)-caryophyll-5-en-12-al","(2s,5e)-caryophyll-5-en-12-al",NA
