"","clean_name","original_name","Compound_identifier","cid"
"1","(-)-alloaromadendrene","(-)-alloaromadendrene","C758",10899740
"2","(-)-alpha-bisabolol","(-)-alpha-bisabolol","C759",442343
"3","(-)-alpha-bisabolol oxide a","(-)-alpha-bisabolol oxide a","C760",90806
"4","(-)-alpha-bisabolol oxide b","(-)-alpha-bisabolol oxide b","C761",117301
"5","(-)-alpha-pinene","(-)-alpha-pinene","C762",440968
"6","(-)-alpha-selinene","(â€“)-alpha-selinene","C833",10123
"7","(-)-alpha-terpineol","(-)-alpha-terpineol","C763",443162
"8","(-)-alpha-thujene","(-)-alpha-thujene","C764",637518
"9","(-)-ar-curcumen-15-al","(À)-ar-curcumen-15-al","C834",NA
"10","(-)-beta-caryophyllene","(-)-beta-caryophyllene","C765",5281515
"11","(-)-beta-caryophyllene","(-)-beta-caryophyllene","C765",5281515
"12","(-)-beta-caryophyllene","(-) -beta-caryophyllene","C779",5281515
"13","(-)-beta-caryophyllene","(-) -beta-caryophyllene","C779",5281515
"14","(-)-beta-ocimene","(-)-beta-ocimene","C766",NA
"15","(-)-beta-pinene","(-)-beta-pinene","C767",440967
"16","(-)-bornyl acetate","(-)-bornyl acetate","C768",93009
"17","(-)-caryophyllene oxide","(-)-caryophyllene oxide","C769",1742210
"18","(-)-caryophyllene oxide","(-)-caryophyllene oxide","C769",1742210
"19","(-)-caryophyllene oxide","(-) caryophyllene oxide","C782",1742210
"20","(-)-caryophyllene oxide","(-) caryophyllene oxide","C782",1742210
"21","(-)-elema-1,3,11(13)-trien-12-al","(-)-elema-1,3,11(13)-trien-12-al","C770",NA
"22","(-)-epi-beta-bisabolol","(À)-epi-beta -bisabolol","C835",12300148
"23","(-)-gamma-curcumen-15-al","(À) À gamma -curcumen-15-al","C837",NA
"24","(-)-italicene ether","(-)-italicene ether","C771",14105916
"25","(-)-italicene ether","(-)-italicene ether","C771",14105916
"26","(-)-italicene ether","(À)-italicene ether","C836",14105916
"27","(-)-italicene ether","(À)-italicene ether","C836",14105916
"28","(-)-kaur-16-en-19-al","(-)-kaur-16-en-19-al","C772",NA
"29","(-)-limonene","(-)-limonene","C773",439250
"30","(-)-linalool","(-)-linalool","C774",443158
"31","(-)-pacifigorgia-1(6),10-diene","(-)-pacifigorgia-1(6),10-diene","C775",NA
"32","(-)-pacifigorgiol","(-)-pacifigorgiol","C776",73828281
"33","(-)-sabinene","(-)sabinene","C783",11051711
"34","(-)-spathulenol","(-) -spathulenol","C780",13854255
"35","(-)-spathulenol","(-) -spathulenol","C780",13854255
"36","(-)-spathulenol","(-) -spathulenol","C780",13854255
"37","(-)-spathulenol","(-) – spathulenol","C781",13854255
"38","(-)-spathulenol","(-) – spathulenol","C781",13854255
"39","(-)-spathulenol","(-) – spathulenol","C781",13854255
"40","(-)-spathulenol","(-)-spathulenol","C777",13854255
"41","(-)-spathulenol","(-)-spathulenol","C777",13854255
"42","(-)-spathulenol","(-)-spathulenol","C777",13854255
"43","(-)-valerena-4,7(11)-diene","(-)-valerena-4,7(11)-diene","C778",NA
"44","(-) italicene ether","(?) italicene ether","C832",91747468
"45","(+)-alpha-pinene","(+)-alpha-pinene","C784",82227
"46","(+)-alpha-terpineol","(+)-alpha-terpineol","C785",442501
"47","(+)-alpha-thujene","(+)-alpha-thujene","C786",12444324
"48","(+)-aromadendrene","(+)-aromadendrene","C787",11095734
