Compound_identifier	original_name	clean_name	cid	Freq
C758	(-)-alloaromadendrene	(-)-alloaromadendrene	10899740	2
C759	(-)-alpha-bisabolol	(-)-alpha-bisabolol	442343	4
C760	(-)-alpha-bisabolol oxide a	(-)-alpha-bisabolol oxide a	90806	1
C761	(-)-alpha-bisabolol oxide b	(-)-alpha-bisabolol oxide b	117301	1
C762	(-)-alpha-pinene	(-)-alpha-pinene	440968	1
C833	(â€“)-alpha-selinene	(-)-alpha-selinene	10123	13
C763	(-)-alpha-terpineol	(-)-alpha-terpineol	443162	1
C764	(-)-alpha-thujene	(-)-alpha-thujene	637518	1
C765	(-)-beta-caryophyllene	(-)-beta-caryophyllene	5281515	1
C767	(-)-beta-pinene	(-)-beta-pinene	440967	2
C768	(-)-bornyl acetate	(-)-bornyl acetate	93009	1
C769	(-)-caryophyllene oxide	(-)-caryophyllene oxide	1742210	1
C835	(À)-epi-beta -bisabolol	(-)-epi-beta-bisabolol	12300148	1
C771	(-)-italicene ether	(-)-italicene ether	14105916	2
C773	(-)-limonene	(-)-limonene	439250	1
C774	(-)-linalool	(-)-linalool	443158	1
C776	(-)-pacifigorgiol	(-)-pacifigorgiol	73828281	1
C783	(-)sabinene	(-)-sabinene	11051711	1
C780	(-) -spathulenol	(-)-spathulenol	13854255	1
C832	(?) italicene ether	(-) italicene ether	91747468	2
C784	(+)-alpha-pinene	(+)-alpha-pinene	82227	2
C785	(+)-alpha-terpineol	(+)-alpha-terpineol	442501	1
C786	(+)-alpha-thujene	(+)-alpha-thujene	12444324	1
C787	(+)-aromadendrene	(+)-aromadendrene	11095734	2
C789	(+)-beta-pinene	(+)-beta-pinene	10290825	1
C791	(+)-ledene	(+)-ledene	10910653	1
C792	(+)-limonene	(+)-limonene	440917	1
C793	(+)-linalool	(+)-linalool	67179	1
C794	(+)sabinene	(+)-sabinene	10887971	1
C795	(+)terpinen-4-ol	(+)-terpinen-4-ol	2724161	1
C820	(3E)-hexenyl acetate	(3E)-hexenyl acetate	5352557	0
C824	(3Z)-hexenol	(3Z)-hexenol	10057450	0
C846	(e)-1-propenyl propyl disulfide	(E)-1-propenyl propyl disulfide	5320722	1
C849	(e)-1-propenyl propyl trisulfide	(E)-1-propenyl propyl trisulfide	5352693	1
C850	(e)-1-propenyl sec-butyl disulfide	(E)-1-propenyl sec-butyl disulfide	91704044	1
C857	(e)-2-butenal	(E)-2-butenal	447466	1
C8	(e)-2-decenal	(E)-2-decenal	5283345	68
C9	(e)-2-decenol	(E)-2-decenol	5364942	16
C859	(e)-2-decenyl acetate	(E)-2-decenyl acetate	5363207	1
C861	(e)-2-dodecenal	(E)-2-dodecenal	5283361	15
C862	(e)-2-dodecenol	(E)-2-dodecenol	5352845	1
C10	(e)-2-heptenal	(E)-2-heptenal	5283316	18
C866	(e)-2-hexadecenal	(E)-2-hexadecenal	5280541	2
C869	(e)-2-hexen-1-ol	(E)-2-hexen-1-ol	5318042	2
C11	(e)-2-hexenal	(E)-2-hexenal	5281168	156
C870	(e)-2-hexenoic acid	(E)-2-hexenoic acid	5282707	2
C871	(e)-2-hexenyl benzoate	(E)-2-hexenyl benzoate	5352456	1
C872	(e)-2-hexenyl isobutyrate	(E)-2-hexenyl isobutyrate	5352462	1
C875	(e)-2-methyl-2-butenyl angelate	(E)-2-methyl-2-butenyl angelate	14446957	1
C876	(e)-2-methyl-2-butenyl isobutyrate	(E)-2-methyl-2-butenyl isobutyrate	91691590	1
C877	(e)-2-methyl-2-butenyl methacrylate	(E)-2-methyl-2-butenyl methacrylate	88242027	1
C879	(e)-2-nonen-1-ol	(E)-2-nonen-1-ol	5364941	3
C14	(e)-2-nonenal	(E)-2-nonenal	5283335	93
C880	(e)-2-nonenoic acid	(E)-2-nonenoic acid	5312586	1
C881	(e)-2-octenal	(E)-2-octenal	5283324	33
C882	(e)-2-octenoic acid	(E)-2-octenoic acid	5282714	2
C883	(e)-2-octenyl acetate	(E)-2-octenyl acetate	5463875	2
C884	(e)-2-pentadecenal	(E)-2-pentadecenal	6428898	2
C885	(e)-2-pentenal	(E)-2-pentenal	5364752	7
C886	(e)-2-pentenol	(E)-2-pentenol	5364920	1
C889	(e)-2-tetradecenal	(E)-2-tetradecenal	5283366	4
C15	(e)-2-tridecenal	(E)-2-tridecenal	5283363	13
C892	(e)-2-undecenal	(E)-2-undecenal	5283356	21
C897	(e)-3-hepten-2-one	(E)-3-hepten-2-one	5364578	1
C16	(e)-3-hexenol	(E)-3-hexenol	5281167	21
C903	(e)-3-nonene	(E)-3-nonene	5364453	2
C904	(e)-3-octen-2-one	(E)-3-octen-2-one	5363229	1
C906	(e)-3-octenyl acetate	(E)-3-octenyl acetate	5363205	1
C907	(e)-3-penten-2-one	(E)-3-penten-2-one	637920	2
C911	(e)-4-decenal	(E)-4-decenal	5702654	1
C912	(e)-4-hepten-2-ol	(E)-4-hepten-2-ol	5352825	1
C914	(e)-6-nonenol	(E)-6-nonenol	5362811	1
C917	(e)-9-hexadecenoic acid	(E)-9-hexadecenoic acid	5282745	4
C919	(e)-alpha-bergamotene	(E)-alpha-bergamotene	6429302	9
C17	(e)-alpha-bisabolene	(E)-alpha-bisabolene	5315468	51
C923	(e)-alpha-farnesene	(E)-alpha-farnesene	5281516	5
C18	(e)-alpha-ionone	(E)-alpha-ionone	5282108	25
C925	(e)-alpha-ocimene	(E)-alpha-ocimene	5320249	1
C927	(e)-anethol	(E)-anethol	637563	5
C930	(e)-asarone	(E)-asarone	636822	4
C938	(e)-beta-damascenone	(E)-beta-damascenone	5366074	89
C939	(e)-beta-damascone	(E)-beta-damascone	5374527	9
C22	(e)-beta-farnesene	(E)-beta-farnesene	5281517	486
C23	(e)-beta-ionone	(E)-beta-ionone	638014	153
C932	(E)-beta--ocimene	(E)-beta-ocimene	5281553	1
C946	(e)-beta-ocimene epoxide	(E)-beta-ocimene epoxide	6538431	15
C947	(e)-beta-santalol	(E)-beta-santalol	6450269	5
C933	(e)-beta- terpineol	(E)-beta-terpineol	8748	1
C956	(e)-carveol	(E)-carveol	94221	5
C27	(e)-cinnamaldehyde	(E)-cinnamaldehyde	637511	13
C959	(e)-cinnamic acid	(E)-cinnamic acid	444539	1
C28	(e)-cinnamyl acetate	(E)-cinnamyl acetate	5282110	12
C962	(e)-cinnamyl alcohol	(E)-cinnamyl alcohol	5315892	2
C966	(e)-citral	(E)-citral	638011	2
