Compound_identifier	original_name	clean_name	cid
C214	acetate	acetate	175
C215	acetic acid	acetic acid	176
C2776	acetaldehyde	acetaldehyde	177
C170	3-hydroxy-2-butanone	3-hydroxy-2-butanone	179
C2780	acetone	acetone	180
C298	benzaldehyde	benzaldehyde	240
C3196	benzene	benzene	241
C3201	benzoic acid	benzoic acid	243
C302	benzyl alcohol	benzyl alcohol	244
C3516	butanal	butanal	261
C1369	1-butanol	1-butanol	263
C3544	butyric acid	butyric acid	264
C454	coumarin	coumarin	323
C459	cumin alcohol	cumin alcohol	325
C460	cumin aldehyde	cumin aldehyde	326
C1806	2-methoxy-4-vinylphenol	2-methoxy-4-vinylphenol	332
C1878	2-methylphenol	2-methylphenol	335
C6299	salicylic acid	salicylic acid	338
C717	m-cresol	m-cresol	342
C5683	n-octane	n-octane	356
C3635	caprylic acid	caprylic acid	379
C6959	n-octanal	n-octanal	454
C1811	2-methoxyphenol	2-methoxyphenol	460
C4251	dibenzofuran	dibenzofuran	568
C4246	diacetyl	diacetyl	650
C4292	dihydrocoumarin	dihydrocoumarin	660
C4321	dimethyl sulfoxide	dimethyl sulfoxide	679
C2807	alcohol	alcohol	702
C4637	formamide	formamide	713
C4954	hydroquinone	hydroquinone	785
C119	1-h-indole	1-h-indole	798
C5415	methanethiol	methanethiol	878
C6933	naphthalene	naphthalene	931
C6956	ni	ni	935
C123	1-octanol	1-octanol	957
C4875	hexadecanal	hexadecanal	984
C627	hexadecanoic acid	hexadecanoic acid	985
C6147	phenanthrene	phenanthrene	995
C6150	phenol	phenol	996
C1929	2-phenylacetaldehyde	2-phenylacetaldehyde	998
C6160	phenyl acetic acid	phenyl acetic acid	999
C1471	1-propanol	1-propanol	1031
C6237	propanoic acid	propanoic acid	1032
C6267	pyridine	pyridine	1049
C4320	dimethyl sulfide	dimethyl sulfide	1068
C6571	toluene	toluene	1140
C6850	vanillin	vanillin	1183
C720	menthol	menthol	1254
C6134	perillic acid	perillic acid	1256
C2783	acetovanillone	acetovanillone	2214
C303	benzyl benzoate	benzyl benzoate	2345
C3222	benzyl isothiocyanate	benzyl isothiocyanate	2346
C311	bergapten	bergapten	2355
C378	camphor	camphor	2537
C117	1-hexadecanol	1-hexadecanol	2682
C1604	1.8-cineole	1.8-cineole	2758
C2429	4-methylphenol	4-methylphenol	2879
C3634	capric acid	capric acid	2969
C3537	butyl phthalate	butyl phthalate	3026
C3203	benzophenone	benzophenone	3102
C557	eugenol	eugenol	3314
C612	guaiazulene	guaiazulene	3515
C3416	beta-thujaplicin	beta-thujaplicin	3611
C5177	isopropanol	isopropanol	3776
C513	dodecanoic acid	dodecanoic acid	3893
C741	methyl salicylate	methyl salicylate	4133
C751	myristicin	myristicin	4276
C5912	p-benzoquinone	p-benzoquinone	4650
C6296	safrol	safrol	5144
C6975	octadecanoic acid	octadecanoic acid	5281
C6791	tribromomethane	tribromomethane	5558
C155	2-phenethyl alcohol	2-phenethyl alcohol	6054
C633	hexanal	hexanal	6184
C1458	1-pentanol	1-pentanol	6276
C1815	2-methyl-2-butanol	2-methyl-2-butanol	6405
C362	bornyl acetate	bornyl acetate	6448
C707	linalyl isobutyrate	linalyl isobutyrate	6532
C2978	alpha-isophorone	alpha-isophorone	6544
C6512	tetrahydrolinalool	tetrahydrolinalool	6548
C5311	linalol	linalol	6549
C1814	2-methyl-1-propanol	2-methyl-1-propanol	6560
C1879	2-methylpropanal	2-methylpropanal	6561
C137	2-butanol	2-butanol	6568
C1714	2-butanone	2-butanone	6569
C2140	3-buten-2-one	3-buten-2-one	6570
C6793	triclene	triclene	6575
C727	methyl acetate	methyl acetate	6584
C1880	2-methylpropanoic acid	2-methylpropanoic acid	6590
C376	camphene	camphene	6616
C2849	alpha- pinene	alpha-pinene	6654
C2774	acenaphthene	acenaphthene	6734
C5613	musk ambrette	musk ambrette	6753
C5062	isobutyl phthalate	isobutyl phthalate	6782
C4318	dimethyl anthranilate	dimethyl anthranilate	6826
C5814	o-cumenol	o-cumenol	6943
C340	beta-guaiene	beta-guaiene	6949
C5410	menthyl salicylate	menthyl salicylate	6970
C677	iso-menthone	iso-menthone	6986
C5174	isopiperitone	isopiperitone	6987
C7038	pulegone	pulegone	6988
C5930	p-cymen-3-ol	p-cymen-3-ol	6989
C1758	2-ethylphenol	2-ethylphenol	6997
C6298	salicyladehyde	salicyladehyde	6998
C5551	methyl naphthalene	methyl naphthalene	7002
C1432	1-naphthalenol	1-naphthalenol	7005
C5521	methyl guaiacol	methyl guaiacol	7043
C4150	decahydronaphthalene	decahydronaphthalene	7044
C7039	quinoline	quinoline	7047
C1872	2-methylnaphthalene	2-methylnaphthalene	7055
C4107	cyclohexyl cyclohexane	cyclohexyl cyclohexane	7094
C3472	biphenyl	biphenyl	7095
C6516	thianthrene	thianthrene	7109
C4591	eugenol methyl ether	eugenol methyl ether	7127
C5539	methyl isoeugenol	methyl isoeugenol	7128
C2777	aceteugenol	aceteugenol	7136
C1805	2-methoxy-4-methylphenol	2-methoxy-4-methylphenol	7144
C1470	1-phenylpropanol	1-phenylpropanol	7147
C6239	propiophenone	propiophenone	7148
C730	methyl benzoate	methyl benzoate	7150
C4562	ethylbenxzoate	ethylbenzoate	7165
C3206	Benzoyl acetone	Benzoyl acetone	7166
C4563	ethylbenzoylacetate	ethylbenzoylacetate	7170
C5013	isoamyl benzoate	isoamyl benzoate	7193
C1939	2-phenylethylbenzoate	2-phenylethylbenzoate	7194
C3205	benzothiazole	benzothiazole	7222
C5824	o-xylene	o-xylene	7237
C1843	2-methylbutanal	2-methylbutanal	7284
C2268	3-pentanone	3-pentanone	7288
C733	methyl cyclopentane	methyl cyclopentane	7296
C4665	gamma-butyrolactone	gamma-butyrolactone	7302
C3673	carvyl acetate	carvyl acetate	7335
C4532	ethyl isobutyrate	ethyl isobutyrate	7342
C4534	ethyl lactate	ethyl lactate	7344
C5059	isobutyl isobutyrate	isobutyl isobutyrate	7351
C5070	isobutylmethacrylate	isobutylmethacrylate	7352
C3532	butyl isobutyrate	butyl isobutyrate	7353
C1760	2-furanmethanol	2-furanmethanol	7361
C1759	2-formylfuran	2-formylfuran	7362
C4068	cumene	cumene	7406
C126	1-phenylethanol	1-phenylethanol	7409
C2782	acetophenone	acetophenone	7410
C4103	cyclohexanecarboxylic acid	cyclohexanecarboxylic acid	7413
C6517	thiobenzoic acid	thiobenzoic acid	7414
C385	carveol	carveol	7438
C386	carvone	carvone	7439
C5465	methyl-p-hydroxybenzoate	methyl-p-hydroxybenzoate	7456
C2848	alpha- phellandrene	alpha-phellandrene	7460
C4697	gamma-terpinen	gamma-terpinen	7461
C3035	alpha-terpinen	alpha-terpinen	7462
C4118	cymene	cymene	7463
C183	4-isopropyl phenol	4-isopropyl phenol	7465
C2394	4-methoxy acetophenone	4-methoxy acetophenone	7476
C3123	anisic acid	anisic acid	7478
C4522	ethyl benzene	ethyl benzene	7500
C6450	styrene	styrene	7501
