ID,Address,GoogleMapLink,Latitude,Longitude,ExpLoc,City/town/Village/,State,Country,
ELoc0001,"(MPEG) Belem, PA, Brazil",,,,(MPEG) Belem,Belem,,Brazil,
ELoc0002,(Montenegro) Velika Kalica,,,,,Velika Kalica,,Montenegro,
ELoc0003,"(TARI), Tehran, Iran","https://www.google.com/maps/search/(TARI),+Tehran,+Iran/@35.6833948,51.4437896,14z/data=!3m1!4b1",35.6833948,51.4437896,(TARI),Tehran,,Iran,
ELoc0004,"Abha, Saudi Arabia","https://www.google.com/maps/place/Abha+Saudi+Arabia/@18.2419605,42.4083326,11z/data=!3m1!4b1!4m5!3m4!1s0x15e3546315720931:0xa177558c718919b4!8m2!3d18.2464685!4d42.5117238",18.2419605,42.4083326,,Abha,,Saudi Arabia,
ELoc0005,Abidjan,"https://www.google.com/maps/place/Abidjan,+C%C3%B4te+d'Ivoire/@5.3487761,-4.1197507,11z/data=!3m1!4b1!4m5!3m4!1s0xfc1ea5311959121:0x3fe70ddce19221a6!8m2!3d5.3599517!4d-4.0082563",5.3487761,-4.1197507,,,,Abidjan,
ELoc0006,"Abidjan, south Ivory Coast","https://www.google.com/maps/place/Abidjan,+C%C3%B4te+d'Ivoire/@5.3487761,-4.1197507,11z/data=!3m1!4b1!4m5!3m4!1s0xfc1ea5311959121:0x3fe70ddce19221a6!8m2!3d5.3599517!4d-4.0082563",5.3487761,-4.1197507,,Abidjan,,south Ivory Coast,
ELoc0007,"Abomy-calavy, Benin","https://www.google.com/maps/place/Abomey+Calavi,+Benin/@6.4487858,2.3239195,14z/data=!3m1!4b1!4m5!3m4!1s0x1024a907d5334d9b:0xb28a9b10ccbc460a!8m2!3d6.4503024!4d2.3468195",6.4487858,2.3239195,,Abomy-calavy,,Benin,
ELoc0008,"Adana, Turkey","https://www.google.com/maps/place/Adana,+Re%C5%9Fatbey+Mahallesi,+Seyhan%2FAdana,+Turkey/@36.9976069,35.1479829,11z/data=!3m1!4b1!4m5!3m4!1s0x15288f38a79c7193:0xd61674d8580bea06!8m2!3d36.9914194!4d35.3308285",36.9976069,35.1479829,,Adana,,Turkey,
ELoc0009,Adriatic coast,"https://www.google.com/maps/place/Adriatic+Sea/@42.6692602,13.8858362,7z/data=!3m1!4b1!4m5!3m4!1s0x132cdd6541cddfab:0x7ef34f7c5d0522f7!8m2!3d41.8550904!4d17.2902839",42.6692602,13.8858362,,,,Adriatic coast,
ELoc00010,"Afaka, Kaduna","https://www.google.com/maps/place/Afaka,+Nigeria/@10.673742,7.1903491,11z/data=!3m1!4b1!4m5!3m4!1s0x11b2cf21e6c5829d:0x3a2f4b7a7452e9fb!8m2!3d10.6914038!4d7.330053",10.673742,7.1903491,,Afaka,Kaduna,Nigeria,
