occurrenceId	verbatimScientificName	scientificName	key	matchType	confidence	status	rank	kingdom	phylum	class	order	family	genus	species
	Abies alba	Abies alba Mill.	2685484	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies	Abies alba
	Abies borisii-regis	Abies borisii-regis Mattf.	2685519	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies	Abies borisii-regis
	Abies cephalonica	Abies cephalonica Loudon	2685326	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies	Abies cephalonica
	Abies sachalinensis	Abies sachalinensis Mast.	2685437	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies	Abies sachalinensis
	Acacia caven	Acacia caven (Molina) Molina	2979244	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia caven
	Acacia nuperrima	Acacia nuperrima Baker f.	2980107	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Acacia	Acacia nuperrima
	Acacia nuperrima	Acacia nuperrima Baker f.	2980107	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Acacia	Acacia nuperrima
	Acalypha segetalis	Acalypha segetalis MÃ_ll.Arg.	3056915	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Acalypha	Acalypha segetalis
	Achillea abrotanoides	Achillea abrotanoides Vis.	3120350	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea abrotanoides
	Achillea ageratum	Achillea ageratum L.	3120391	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea ageratum
	Achillea albicaulis	Achillea albicaulis C.A.Mey.	3120384	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea tenuifolia
	Achillea alexandri-regis	Achillea alexandri-regis Bornm. & Rudsky	3120383	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea alexandri-regis
	Achillea asplenifolia	Achillea asplenifolia Vent.	7491603	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea millefolium
	Achillea atrata	Achillea atrata L.	3120203	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea atrata
	Achillea beibersteinii	Achillea beibersteinii Afan.	7400456	EXACT	98	DOUBTFUL	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea beibersteinii
	Achillea biebersteinii	Achillea biebersteinii C.Afan.	3120276	EXACT	98	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea arabica
	Achillea chrysocoma	Achillea chrysocoma Friv.	3120012	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea chrysocoma
	Achillea clavennae	Achillea clavennae L.	3120117	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea clavennae
	Achillea clypeolata	Achillea clypeolata Sibth. & Sm.	8360031	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea clypeolata
	Achillea coarctata	Achillea coarctata Poir.	3120289	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea coarctata
	Achillea collina	Achillea collina Becker ex Rchb.	7925124	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea collina
	Achillea corabensis	Achillea corabensis (Heimerl) K.Micevski	6063847	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea pindicola
	Achillea crithmifolia	Achillea crithmifolia Waldst. & Kit.	8059665	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea crithmifolia
	Achillea depressa	Achillea L.	3119995	HIGHERRANK	96	ACCEPTED	GENUS	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	
	Achillea filipendulina	Achillea filipendulina Lam.	3120284	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea filipendulina
	Achillea goniocephala	Achillea goniocephala Boiss. & Balansa	3120353	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea goniocephala
	Achillea holosericea	Achillea holosericea Sibth. & Sm.	7752443	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea holosericea
	Achillea lingulata	Achillea lingulata Waldst. & Kit.	3120188	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea lingulata
	Achillea millefolium	Achillea millefolium Ledeb.	9221087	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea millefolium
	Achillea millefolium L.	Achillea millefolium L.	3120060	EXACT	100	DOUBTFUL	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea millefolium
	Achillea nobilis	Achillea nobilis L.	3120024	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea nobilis
	Achillea oligocephala	Achillea oligocephala DC.	3120221	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea oligocephala
	Achillea pseudoaleppica	Achillea pseudoaleppica Hausskn. ex Huber-Morath	7633935	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea pseudoaleppica
	Achillea schischkinii	Achillea schischkinii D.Sosn.	3120212	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea schischkinii
	Achillea serbica	Achillea serbica Nym.	4214694	EXACT	98	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea ageratifolia
	Achillea sieheana	Achillea sieheana Stapf	3120260	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea sieheana
	Achillea stricta	Achillea L.	3119995	HIGHERRANK	96	ACCEPTED	GENUS	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	
	Achillea talagonica	Achillea talagonica Boiss.	3120211	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea talagonica
	Achillea tanacetifolia	Achillea L.	3119995	HIGHERRANK	96	ACCEPTED	GENUS	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	
	Achillea tenuifolia	Achillea tenuifolia Lam.	7546541	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea tenuifolia
	Achillea vermicularis	Achillea vermicularis Trin.	3120049	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea vermicularis
	Acinos hungaricus	Acinos hungaricus (Simonk.)	7308279	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Clinopodium	Clinopodium alpinum
	Acinos suaveolens	Acinos suaveolens (Sm.) G.Don	7308241	EXACT	98	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Clinopodium	Clinopodium suaveolens
	Actinidia chinensis	Actinidia chinensis Planch.	3189694	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	Actinidia chinensis
	Acorus calamus	Acorus calamus L.	2873769	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Liliopsida	Acorales	Acoraceae	Acorus	Acorus calamus
	Acorus calamusï¿_L	Acorus calamus L.	2873769	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Liliopsida	Acorales	Acoraceae	Acorus	Acorus calamus
	Aeollanthus myrianthus	Aeollanthus myrianthus Baker	7307516	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Aeollanthus	Aeollanthus myrianthus
