pid	pname	scientificName (gbif)	Normalized name	Details	pfid	phid	Error	kingdom	phylum	class	order	family	genus	species		Synonym 
1	Abies alba	Abies alba Mill	Abies alba	Mill.	71	1		Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies	Abies alba		#N/A
2	Abies borisii-regis	Abies borisii-regis Mattf.	Abies borisii-regis	Mattf.	71	1		Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies	Abies borisii-regis		#N/A
3	Abies cephalonica	Abies cephalonica Loudon	Abies cephalonica	Loudon	71	1		Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies	Abies cephalonica		#N/A
4	Abies sachalinensis	Abies sachalinensis Mast.	Abies sachalinensis	Mast.	71	1		Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies	Abies sachalinensis		#N/A
5	Acacia caven	Acacia caven (Molina) Molina	Acacia caven	(Molina) Molina	19	1		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia caven		Vachellia caven GBIF 2685484
6	Acacia nuperrima ssp. Cassitera (Dimbulah chemotype)	Acacia nuperrima Baker f.	Acacia nuperrima	Baker f. (subsp. Cassitera) (Dimbulah chemotype)	37	1		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Acacia	Acacia nuperrima		#N/A
7	Acacia nuperrima ssp. Cassitera (Lappa chemotype)	Acacia nuperrima Baker f.	Acacia nuperrima 	Baker f. (subsp. Cassitera) (Lappa chemotype)	37	1		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Acacia	Acacia nuperrima		#N/A
8	Acalypha segetalis	Acalypha segetalis Müll.Arg.	Acalypha segetalis	Müll.Arg.	36	1		Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Acalypha	Acalypha segetalis		#N/A
9	Achillea abrotanoides	Achillea abrotanoides Vis.	Achillea abrotanoides	Vis.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea abrotanoides		#N/A
10	Achillea ageratum	Achillea ageratum L.	Achillea ageratum	L.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea ageratum		#N/A
