pid,pname (v 1.0),scientificName (gbif),Normalized name,Details,Error,kingdom,phylum,class,order,family,genus,species
1,Abies alba,Abies alba Mill,Abies alba,Mill.,,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies alba
2,Abies borisii-regis,Abies borisii-regis Mattf.,Abies borisii-regis,Mattf.,,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies borisii-regis
3,Abies cephalonica,Abies cephalonica Loudon,Abies cephalonica,Loudon,,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies cephalonica
4,Abies sachalinensis,Abies sachalinensis Mast.,Abies sachalinensis,Mast.,,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies sachalinensis
5,Acacia caven,Acacia caven (Molina) Molina,Acacia caven,(Molina) Molina,,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vachellia,Vachellia caven
6,Acacia nuperrima ssp. Cassitera (Dimbulah chemotype),Acacia nuperrima Baker f.,Acacia nuperrima,Baker f. (subsp. Cassitera) (Dimbulah chemotype),,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia nuperrima
7,Acacia nuperrima ssp. Cassitera (Lappa chemotype),Acacia nuperrima Baker f.,Acacia nuperrima ,Baker f. (subsp. Cassitera) (Lappa chemotype),,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia nuperrima
8,Acalypha segetalis,Acalypha segetalis Müll.Arg.,Acalypha segetalis,Müll.Arg.,,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Acalypha,Acalypha segetalis
9,Achillea abrotanoides,Achillea abrotanoides Vis.,Achillea abrotanoides,Vis.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea abrotanoides
10,Achillea ageratum,Achillea ageratum L.,Achillea ageratum,L.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea ageratum
11,Achillea albicaulis,Achillea albicaulis C.A.Mey.,Achillea albicaulis,C.A.Mey.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea tenuifolia
12,Achillea alexandri-regis,Achillea alexandri-regis Bornm. & Rudsky,Achillea alexandri-regis,Bornm. & Rudsky,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea alexandri-regis
13,Achillea asplenifolia,Achillea asplenifolia Vent.,Achillea asplenifolia,Vent.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea millefolium
14,Achillea atrata,Achillea atrata L.,Achillea atrata,L.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea atrata
15,Achillea beibersteinii,Achillea beibersteinii Afan.,Achillea beibersteinii,Afan.,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea beibersteinii
