1	Abies alba	Abies alba Mill	Abies alba		Abies alba Mill				Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies	Abies alba	1	71	1
2	Abies borisii-regis	Abies borisii-regis Mattf.	Abies borisii-regis		Abies borisii-regis Mattf.				Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies	Abies borisii-regis	2	71	1
3	Abies cephalonica	Abies cephalonica Loudon	Abies cephalonica		Abies cephalonica Loudon				Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies	Abies cephalonica	3	71	1
4	Abies sachalinensis	Abies sachalinensis Mast.	Abies sachalinensis		Abies sachalinensis Mast.				Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Abies	Abies sachalinensis	4	71	1
5	Acacia caven	Acacia caven (Molina) Molina	Acacia caven		Acacia caven (Molina) Molina				Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia caven	5	19	1
6	Acacia nuperrima ssp. Cassitera (Dimbulah chemotype)	Acacia nuperrima Baker f.	Acacia nuperrima		Acacia nuperrima Baker f.	Missing Data? ssp./subsp. Cassitera (Dimbulah chemotype)			Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Acacia	Acacia nuperrima	6	37	1
7	Acacia nuperrima ssp. Cassitera (Lappa chemotype)	Acacia nuperrima Baker f.	Acacia nuperrima		Acacia nuperrima Baker f.	Missing Data? ssp./subsp. Cassitera (Lappa chemotype)			Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Acacia	Acacia nuperrima	7	37	1
8	Acalypha segetalis	Acalypha segetalis Müll.Arg.	Acalypha segetalis	YES	Acalypha segetalis Müll.Arg.				Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Acalypha	Acalypha segetalis	8	36	1
9	Achillea abrotanoides	Achillea abrotanoides Vis.	Achillea abrotanoides		Achillea abrotanoides Vis.				Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea abrotanoides	9	15	1
10	Achillea ageratum	Achillea ageratum (L.)	Achillea ageratum		Achillea ageratum (L.)				Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea ageratum	10	15	1
