	plantNameFound	synonyms
	Abies alba	Abies alba apennina,Abies alba pardei,Abies alba podolica,Abies argentea,Abies baldensis,Abies chlorocarpa,Abies excelsa,Abies nobilis,Abies pardei,Abies pectinata,Abies picea,Abies taxifolia,Abies vulgaris,Picea excelsa,Picea pectinata,Pinus abies,Pinus abies leioclada,Pinus abies pectinata,Pinus baldensis,Pinus heterophylla,Pinus lucida,Pinus pectinata,Pinus picea
	Abies borisii-regis	Abies alba acutifolia,Abies alba borisii-regis,Abies apollinis,Abies borisii-regis pungenti-pilosa,Abies cilicica borisii-regis
	Abies cephalonica	Abies alba cephalonica,Abies apollinis,Abies apollinis,Abies apollinis panachaica,Abies apollinis reginae-amaliae,Abies cephalonica apollinis,Abies cephalonica arcadica,Abies cephalonica parnassica,Abies cephalonica peloponnesiaca,Abies cephalonica reginae-amaliae,Abies heterophylla,Abies panachaica,Abies peloponnesiaca,Abies peloponnesica,Abies picea apollinis,Abies reginae-amaliae,Abies taxifolia,Picea apollinis,Picea cephalonica,Picea cephalonica panachaica,Pinus abies apollinis,Pinus abies cephalonica,Pinus abies panachaica,Pinus apollinis,Pinus cephalonica,Pinus cephalonica reginae-amaliae,Pinus picea graeca
	Acacia caven	Acacia caven
	Acalypha segetalis	Acalypha gemina brevibracteata,Acalypha gemina exserta,Acalypha sessilis,Acalypha sessilis brevibracteata,Acalypha sessilis exserta,Mercurialis cucullata,Ricinocarpus segetalis
	Achillea abrotanoides	Achillea montenegrina,Ptarmica abrotanoides
	Achillea ageratum	Achillea viscosa,Conforata ageratum,Santolina ageratum
	Achillea albicaulis	Achillea albicaulis,Achillea albida,Achillea kermanica,Achillea krascheninnikovii,Achillea microloba,Achillea santolina,Achillea virgata,Anthemis caespitosa,Anthemis pseudoatrata,Anthemis tenuifolia,Ptarmica tenuifolia
	Achillea alexandri-regis	Achillea alexandri-regis holosericiformis,Ptarmica alexandri-regis
	Achillea asplenifolia	Achillea asplenifolia,Achillea asplenifolia hungaricum,Achillea asplenifolia luxurians,Achillea crispa
	Achillea atrata	Achillea halleri,Achillea multifida,Anthemis corymbosa,Chamaemelum atratum,Ptarmica atrata,Ptarmica clusiana,Ptarmica multifida,Ptarmica scardica,Santolina atrata
	Achillea biebersteinii	Achillea biebersteinii,Achillea micrantha
	Achillea chrysocoma	Achillea chrysantha,Achillea jacea
	Achillea coarctata	Achillea compacta,Achillea glomerata,Achillea sericea,Achillea tomentosa,Achillea velutina,Chamaemelum coarctatum,Millefolium compactum
	Achillea collina	Achillea collina arenaria,Achillea collina tubuliflora,Achillea millefolium collina
	Achillea corabensis	Achillea clavennae corabensis,Achillea corabensis
	Achillea crithmifolia	Achillea birjuczensis,Achillea crithmifolia,Achillea fruticulosa,Achillea gerberi,Achillea gerberi angustifolia,Achillea pubescens,Chamaemelum gerberi
	Achillea depressa	Achillea depressa
	Achillea filipendulina	Achillea eupatorium,Achillea filicifolia,Tanacetum angulatum
	Achillea holosericea	Achillea flabelliformis,Achillea tomentosa
	Achillea lingulata	Achillea buglossis,Achillea lingulata acutifolia,Ptarmica lingulata
	Achillea millefolium	Achillea ambigua,Achillea anethifolia,Achillea crassifolia,Achillea cuspidata,Achillea haenkeana,Achillea intermedia,Achillea lanata,Achillea magna,Achillea marginata,Achillea millefolium albiflora,Achillea millefolium alpestris,Achillea millefolium alpestris,Achillea millefolium colliniformis,Achillea millefolium dipetala,Achillea millefolium dissecta,Achillea millefolium lobata,Achillea millefolium maritima,Achillea millefolium spathulata,Achillea ochroleuca,Achillea ossica,Achillea scabra,Achillea setacea,Achillea subhirsuta,Achillea submillefolium,Achillea sylvatica,Achillea tanacetifolia,Achillea tenuifolia,Achillea tenuis,Achillios millefoliatus,Alitubus millefolium,Chamaemelum millefolium,Millefolium officinale,Millefolium vulgare,Santolina millefolium
	Achillea millefolium	Achillea ambigua,Achillea anethifolia,Achillea crassifolia,Achillea cuspidata,Achillea haenkeana,Achillea intermedia,Achillea lanata,Achillea magna,Achillea marginata,Achillea millefolium albiflora,Achillea millefolium alpestris,Achillea millefolium alpestris,Achillea millefolium colliniformis,Achillea millefolium dipetala,Achillea millefolium dissecta,Achillea millefolium lobata,Achillea millefolium maritima,Achillea millefolium spathulata,Achillea ochroleuca,Achillea ossica,Achillea scabra,Achillea setacea,Achillea subhirsuta,Achillea submillefolium,Achillea sylvatica,Achillea tanacetifolia,Achillea tenuifolia,Achillea tenuis,Achillios millefoliatus,Alitubus millefolium,Chamaemelum millefolium,Millefolium officinale,Millefolium vulgare,Santolina millefolium
	Achillea nobilis	Achillea bannatica,Achillea bulgarica,Achillea crithmifolia bulgarica,Achillea crithmifolia doerfleri,Achillea crithmifolia gubinensis,Achillea diversifolia,Achillea doerfleri,Achillea leptophylla,Achillea nobilis,Achillea smithii,Chamaemelum crithmifolium
	Achillea serbica	Achillea ageratifolia serbica,Achillea serbica
	Achillea stricta	Achillea alpicola,Achillea ambigua,Achillea breynina,Achillea compacta,Achillea magna,Achillea pseudotanacetifolia,Achillea stricta,Achillea stricta,Achillea stricta alpicola,Achillea stricta breynina,Santolina magna
	Achillea tanacetifolia	Achillea coronopifolia,Achillea cristata,Achillea distans,Achillea magna,Achillea millefolium tanacetifolia,Achillea pumila,Achillea subtanacetifolia,Achillea tanacetifolia,Achillea tanacetifolia laciniata,Chamaemelum tanacetifolium
	Achillea tenuifolia	Achillea albicaulis,Achillea albida,Achillea kermanica,Achillea krascheninnikovii,Achillea microloba,Achillea santolina,Achillea virgata,Anthemis caespitosa,Anthemis pseudoatrata,Anthemis tenuifolia,Ptarmica tenuifolia
	Achillea vermicularis	Achillea muschensis,Achillea vermiculata
	Acinos hungaricus	Acinos alpinus hungaricus,Acinos alpinus nomismophyllus,Acinos baumgartenii,Acinos hungaricus,Acinos hungaricus albiflorus,Acinos hungaricus coloratus,Acinos hungaricus cuneatus,Acinos hungaricus doiranensis,Acinos hungaricus kindingeri,Acinos hungaricus marginatus,Acinos hungaricus ozrensis,Acinos hungaricus rosiflorus,Acinos majoranifolius albiflora,Acinos majoranifolius kindigeri,Acinos majoranifolius ozrensis,Acinos majoranifolius rosiflorus,Calamintha alpina albiflora,Calamintha alpina baumgartenii,Calamintha alpina cuneata,Calamintha alpina cuneata,Calamintha alpina hungarica,Calamintha alpina marginata,Calamintha alpina nomismophylla,Calamintha alpina villicaulis,Calamintha hungarica,Calamintha hungarica cuneata,Calamintha hungarica villicaulis,Calamintha patavina colorata,Calamintha patavina doiranensis,Calamintha patavina kindigeri,Calamintha patavina rotundifolia,Calamintha rotundifolia brevipetala,Calamintha rotundifolia villosa,Melissa baumgartenii,Melissa hungarica,Satureja alpina baumgartenii,Satureja alpina marginata,Satureja hungarica,Satureja majoranifolia albiflora,Satureja majoranifolia cuneata,Satureja majoranifolia ozrensis,Satureja majoranifolia rosiflora
	Acinos suaveolens	Acinos heterophyllus,Acinos suaveolens,Acinos suaveolens acuminatus,Acinos suaveolens bulgaricus,Acinos suaveolens kalampacanus,Acinos suaveolens thessalicus,Acinos suaveolens tinctus,Acinos suaveolens viridis,Calamintha acinoides,Calamintha acuminata,Calamintha langei,Calamintha patavina,Calamintha patavina acuminata,Calamintha rotundifolia,Calamintha suaveolens,Calamintha suaveolens acinoides,Calamintha suaveolens acuminata,Calamintha suaveolens tincta,Calamintha suaveolens viridis,Melissa acinoides,Melissa suaveolens,Satureja alpina suaveolens,Satureja alpina suaveolens,Satureja alpina viridis,Satureja suaveolens,Thymus acinoides,Thymus melissoides,Thymus melissoides,Thymus suaveolens
	Acorus calamus	Calamus aromaticus
	Aeollanthus pubescens	Aeollanthus buettneri,Aeollanthus calvus,Aeollanthus chevalieri,Aeollanthus elongatus,Aeollanthus lujae,Aeollanthus petasatus,Aeollanthus pubescens nudus,Aeollanthus purpureopilosus,Aeollanthus robynsii,Aeollanthus stormsii,Aeollanthus stormsioides
	Aeollanthus suaveolens	Aeollanthus affinis,Aeollanthus cassawa,Aeollanthus claessensii,Aeollanthus edlingeri,Aeollanthus glabrifolius,Aeollanthus heliotropioides,Aeollanthus lamborayi,Aeollanthus schliebenii,Aeollanthus suaveolens,Aeollanthus suavis
	Aframomum citratum	Amomum citratum,Amomum macrolepis,Cardamomum citratum
	Aframomum corrorima	Aframomum korarima,Aframomum usambarense,Amomum corrorima,Amomum korarima
	Aframomum exscapum	Aframomum cuspidatum,Aframomum leonense,Aframomum oleraceum,Alexis bifurca,Amomum cuspidatum,Amomum exscapum
	Aframomum melegueta	Aframomum grana-paradisi,Aframomum meleguetella,Alexis grandiflora,Alpinia grana-paradisi,Amomum elatum,Amomum grana-paradisi,Amomum grandiflorum,Amomum melegueta,Amomum melegueta violacea,Cardamomum grana-paradisi,Cardamomum grandiflorum,Torymenes officinalis
	Aframomum stipulatum	Aframomum biauriculatum,Aframomum candidum,Aframomum latifolium,Aframomum macrospermum,Aframomum stipulatum,Amomum alboviolaceum,Amomum bitacoum,Amomum latifolium,Amomum macrospermum,Amomum stipulatum,Cardamomum latifolium,Ceratanthera beaumetzii
	Agastache foeniculum	Agastache anethiodora,Agastache foeniculum bernardii,Agastache foeniculum candicans,Hyptis marathrosma,Hyssopus anethiodorus,Hyssopus anisatus,Hyssopus discolor,Hyssopus foeniculum,Lophanthus anisatus,Lophanthus foeniculum,Perilla marathrosma,Stachys foeniculum,Vleckia albescens,Vleckia anethiodora,Vleckia anisata,Vleckia bracteata,Vleckia bracteosa,Vleckia discolor,Vleckia foeniculum,Vleckia incarnata
	Ageratum conyzoides	Ageratum conyzoides,Eupatorium atriplicifolium,Eupatorium corymbosum,Eupatorium repandum,Eupatorium triangulare,Osmia corymbosa,Osmia repanda
	Ajuga chamaecistus	Bulga chamaecistus
	Ajuga chamaepitys	Ajuga chamaepitys,Ajuga chamaepitys chia,Ajuga chamaepitys ciliata,Ajuga chamaepitys ciliata,Ajuga chamaepitys glabra,Ajuga chamaepitys hirta,Ajuga chamaepitys hirta,Ajuga chamaepitys media,Ajuga chia,Ajuga chia intermedia,Ajuga comata,Ajuga glabra,Ajuga grandiflora ciliata,Ajuga intermedia,Ajuga pseudochia,Chamaepitys chia,Chamaepitys glabra,Teucrium chium,Teucrium pseudochamaepitys
	Ajuga chamaepitys	Ajuga chamaepitys,Ajuga chamaepitys chia,Ajuga chamaepitys ciliata,Ajuga chamaepitys ciliata,Ajuga chamaepitys glabra,Ajuga chamaepitys hirta,Ajuga chamaepitys hirta,Ajuga chamaepitys media,Ajuga chia,Ajuga chia intermedia,Ajuga comata,Ajuga glabra,Ajuga grandiflora ciliata,Ajuga intermedia,Ajuga pseudochia,Chamaepitys chia,Chamaepitys glabra,Teucrium chium,Teucrium pseudochamaepitys
	Alchemilla alpina	Alchemilla alpina
	Allamanda cathartica	Allamanda brasiliensis,Allamanda cathartica,Allamanda cathartica schottii,Allamanda magnifica,Allamanda neriifolia
	Allium fistulosum	Allium bouddae,Allium fistulosum caespitosum,Allium fistulosum giganteum,Allium kashgaricum,Cepa fissilis,Cepa fistulosa,Cepa ventricosa,Kepa fistulosa,Phyllodolon fistulosum,Porrum fistulosum
	Alococarpum erianthum	Alococarpum erianthum,Cachrys eriantha,Pycnocycla macrocarpa
	Aloysia gratissima	Aloysia famatinensis,Aloysia floribunda,Aloysia gratissima macrophylla,Aloysia gratissima paraguariensis,Aloysia ligustrina paraguariensis,Aloysia ligustrina schulziae,Aloysia lycioides,Aloysia lycioides paraguariensis,Aloysia lycioides schulziae,Aloysia mizquensis,Lantana virgata,Lippia gratissima,Lippia gratissima schulziae,Lippia ligustrina lasiodonta,Lippia ligustrina paraguariensis,Lippia ligustrina schulziae,Lippia lycioides,Verbena gratissima,Verbena integerrima
	Aloysia triphylla	Aloysia sleumeri,Aloysia triphylla,Aloysia triphylla serrulata,Lippia citrodora,Lippia triphylla,Verbena citrodora,Verbena fragrans,Verbena triphylla,Zappania citrodora
	Alpinia calcarata	Alpinia alata,Alpinia bracteata,Alpinia calcarata compacta,Alpinia cernua,Alpinia erecta,Alpinia roscoeana,Alpinia simsii,Alpinia spicata,Catimbium erectum,Globba erecta,Languas calcarata,Renealmia calcarata,Renealmia erecta,Renealmia minor
	Alpinia galanga	Alpinia alba,Alpinia bifida,Alpinia carnea,Alpinia galanga pyramidata,Alpinia pyramidata,Alpinia rheedei,Alpinia viridiflora,Amomum galanga,Amomum medium,Galanga major,Galanga officinalis,Hellenia alba,Heritiera alba,Languas galanga,Languas pyramidata,Languas vulgare,Maranta galanga,Zingiber galanga,Zingiber medium,Zingiber sylvestre
	Alpinia laosensis	Alpinia humilis,Alpinia laosensis,Alpinia sumatrana,Languas conchigera,Languas sumatrana,Strobidia conchigera,Strobidia oligosperma,Strobidia sumatrana
	Alpinia malaccensis	Alpinia nutans sericea,Buekia malaccensis,Catimbium malaccense,Languas malaccensis,Maranta malaccensis
	Alpinia nutans	Alpinia engleriana,Alpinia nutans,Alpinia rechingeri,Guillainia rechingeri
	Alpinia purpurata	Alpinia grandis,Alpinia purpurata albobracteata,Alpinia purpurata anomala,Alpinia purpurata grandis,Guillainia novo-ebudica,Guillainia purpurata,Languas purpurata
	Alpinia purpurata	Alpinia grandis,Alpinia purpurata albobracteata,Alpinia purpurata anomala,Alpinia purpurata grandis,Guillainia novo-ebudica,Guillainia purpurata,Languas purpurata
	Alpinia purpurata	Alpinia grandis,Alpinia purpurata albobracteata,Alpinia purpurata anomala,Alpinia purpurata grandis,Guillainia novo-ebudica,Guillainia purpurata,Languas purpurata
	Alpinia zerumbet	Alpinia cristata,Alpinia fimbriata,Alpinia fluvitialis,Alpinia nutans longiramosa,Alpinia penicillata,Alpinia schumanniana,Alpinia speciosa,Alpinia speciosa longiramosa,Amomum nutans,Catimbium speciosum,Costus zerumbet,Languas schumanniana,Languas speciosa,Renealmia nutans,Renealmia spectabilis,Zerumbet speciosum
	Ambrosia artemisiifolia	Iva monophylla
	Ambrosia hispida	Ambrosia californica,Ambrosia hispida,Ambrosia lindheimeriana,Ambrosia peruviana,Ambrosia psilostachya californica,Ambrosia psilostachya lindheimeriana,Ambrosia rugelii
	Ammoides atlantica	Ptychotis atlantica
	Ammoides pusilla	Ammoides pusilla trachysperma,Ammoides verticillata,Apium ammios,Bunium ammoides,Carum ammoides,Critamus ammoides,Petroselinum ammoides,Ptychotis ammoides,Ptychotis aspera,Ptychotis morisiana,Ptychotis trachysperma,Ptychotis verticillata,Seseli ammoides,Seseli corsicum,Seseli pusillum,Seseli turbith,Seseli verticillatum,Sium verticillatum,Ammoides pusilla trachysperma,Ammoides verticillata,Apium ammios,Bunium ammoides,Carum ammoides,Critamus ammoides,Petroselinum ammoides,Ptychotis ammoides,Ptychotis aspera,Ptychotis morisiana,Ptychotis trachysperma,Ptychotis verticillata,Seseli ammoides,Seseli corsicum,Seseli pusillum,Seseli turbith,Seseli verticillatum,Sium verticillatum
	Amomum subulatum	Cardamomum subulatum
