pid	synonyms
1	Abies alba apennina
1	Abies alba pardei
1	Abies alba podolica
1	Abies argentea
1	Abies baldensis
1	Abies chlorocarpa
1	Abies excelsa
1	Abies nobilis
1	Abies pardei
1	Abies pectinata
1	Abies picea
1	Abies taxifolia
1	Abies vulgaris
1	Picea excelsa
1	Picea pectinata
1	Pinus abies
1	Pinus abies leioclada
1	Pinus abies pectinata
1	Pinus baldensis
1	Pinus heterophylla
1	Pinus lucida
1	Pinus pectinata
1	Pinus picea
2	Abies alba acutifolia
2	Abies alba borisii-regis
2	Abies apollinis
2	Abies borisii-regis pungenti-pilosa
2	Abies cilicica borisii-regis
3	Abies alba cephalonica
3	Abies apollinis
3	Abies apollinis
3	Abies apollinis panachaica
3	Abies apollinis reginae-amaliae
3	Abies cephalonica apollinis
3	Abies cephalonica arcadica
3	Abies cephalonica parnassica
3	Abies cephalonica peloponnesiaca
3	Abies cephalonica reginae-amaliae
3	Abies heterophylla
3	Abies panachaica
3	Abies peloponnesiaca
3	Abies peloponnesica
3	Abies picea apollinis
3	Abies reginae-amaliae
3	Abies taxifolia
3	Picea apollinis
3	Picea cephalonica
3	Picea cephalonica panachaica
3	Pinus abies apollinis
3	Pinus abies cephalonica
3	Pinus abies panachaica
3	Pinus apollinis
3	Pinus cephalonica
3	Pinus cephalonica reginae-amaliae
3	Pinus picea graeca
5	Acacia caven
8	Acalypha gemina brevibracteata
8	Acalypha gemina exserta
8	Acalypha sessilis
8	Acalypha sessilis brevibracteata
8	Acalypha sessilis exserta
8	Mercurialis cucullata
8	Ricinocarpus segetalis
9	Achillea montenegrina
9	Ptarmica abrotanoides
10	Achillea viscosa
10	Conforata ageratum
10	Santolina ageratum
11	Achillea albicaulis
11	Achillea albida
11	Achillea kermanica
11	Achillea krascheninnikovii
11	Achillea microloba
11	Achillea santolina
11	Achillea virgata
11	Anthemis caespitosa
11	Anthemis pseudoatrata
11	Anthemis tenuifolia
11	Ptarmica tenuifolia
12	Achillea alexandri-regis holosericiformis
12	Ptarmica alexandri-regis
13	Achillea asplenifolia
13	Achillea asplenifolia hungaricum
13	Achillea asplenifolia luxurians
13	Achillea crispa
14	Achillea halleri
14	Achillea multifida
14	Anthemis corymbosa
14	Chamaemelum atratum
14	Ptarmica atrata
14	Ptarmica clusiana
14	Ptarmica multifida
14	Ptarmica scardica
14	Santolina atrata
16	Achillea biebersteinii
16	Achillea micrantha
17	Achillea chrysantha
17	Achillea jacea
20	Achillea compacta
20	Achillea glomerata
20	Achillea sericea
20	Achillea tomentosa
20	Achillea velutina
20	Chamaemelum coarctatum
20	Millefolium compactum
21	Achillea collina arenaria
21	Achillea collina tubuliflora
21	Achillea millefolium collina
22	Achillea clavennae corabensis
22	Achillea corabensis
23	Achillea birjuczensis
23	Achillea crithmifolia
23	Achillea fruticulosa
23	Achillea gerberi
23	Achillea gerberi angustifolia
23	Achillea pubescens
23	Chamaemelum gerberi
24	Achillea pseudopectinata Janka
25	Achillea eupatorium
25	Achillea filicifolia
25	Tanacetum angulatum
27	Achillea flabelliformis
27	Achillea tomentosa
28	Achillea buglossis
28	Achillea lingulata acutifolia
28	Ptarmica lingulata
29	Achillea ambigua
29	Achillea anethifolia
29	Achillea crassifolia
29	Achillea cuspidata
29	Achillea haenkeana
29	Achillea intermedia
29	Achillea lanata
29	Achillea magna
29	Achillea marginata
29	Achillea millefolium albiflora
29	Achillea millefolium alpestris
29	Achillea millefolium alpestris
29	Achillea millefolium colliniformis
29	Achillea millefolium dipetala
29	Achillea millefolium dissecta
29	Achillea millefolium lobata
29	Achillea millefolium maritima
29	Achillea millefolium spathulata
29	Achillea ochroleuca
29	Achillea ossica
29	Achillea scabra
29	Achillea setacea
29	Achillea subhirsuta
29	Achillea submillefolium
29	Achillea sylvatica
29	Achillea tanacetifolia
29	Achillea tenuifolia
29	Achillea tenuis
29	Achillios millefoliatus
29	Alitubus millefolium
29	Chamaemelum millefolium
29	Millefolium officinale
29	Millefolium vulgare
29	Santolina millefolium
30	Achillea ambigua
30	Achillea anethifolia
30	Achillea crassifolia
30	Achillea cuspidata
30	Achillea haenkeana
30	Achillea intermedia
30	Achillea lanata
30	Achillea magna
30	Achillea marginata
