EPSID	EPID	synonyms
EPS1	EP1	Abies alba apennina
EPS2	EP1	Abies alba pardei
EPS3	EP1	Abies alba podolica
EPS4	EP1	Abies argentea
EPS5	EP1	Abies baldensis
EPS6	EP1	Abies chlorocarpa
EPS7	EP1	Abies excelsa
EPS8	EP1	Abies nobilis
EPS9	EP1	Abies pardei
EPS10	EP1	Abies pectinata
EPS11	EP1	Abies picea
EPS12	EP1	Abies taxifolia
EPS13	EP1	Abies vulgaris
EPS14	EP1	Picea excelsa
EPS15	EP1	Picea pectinata
EPS16	EP1	Pinus abies
EPS17	EP1	Pinus abies leioclada
EPS18	EP1	Pinus abies pectinata
EPS19	EP1	Pinus baldensis
EPS20	EP1	Pinus heterophylla
EPS21	EP1	Pinus lucida
EPS22	EP1	Pinus pectinata
EPS23	EP1	Pinus picea
EPS24	EP2	Abies alba acutifolia
EPS25	EP2	Abies alba borisii-regis
EPS26	EP2	Abies apollinis
EPS27	EP2	Abies borisii-regis pungenti-pilosa
EPS28	EP2	Abies cilicica borisii-regis
EPS29	EP3	Abies alba cephalonica
EPS30	EP3	Abies apollinis
EPS31	EP3	Abies apollinis
EPS32	EP3	Abies apollinis panachaica
EPS33	EP3	Abies apollinis reginae-amaliae
EPS34	EP3	Abies cephalonica apollinis
EPS35	EP3	Abies cephalonica arcadica
EPS36	EP3	Abies cephalonica parnassica
EPS37	EP3	Abies cephalonica peloponnesiaca
EPS38	EP3	Abies cephalonica reginae-amaliae
EPS39	EP3	Abies heterophylla
EPS40	EP3	Abies panachaica
EPS41	EP3	Abies peloponnesiaca
EPS42	EP3	Abies peloponnesica
EPS43	EP3	Abies picea apollinis
EPS44	EP3	Abies reginae-amaliae
EPS45	EP3	Abies taxifolia
EPS46	EP3	Picea apollinis
EPS47	EP3	Picea cephalonica
EPS48	EP3	Picea cephalonica panachaica
EPS49	EP3	Pinus abies apollinis
EPS50	EP3	Pinus abies cephalonica
EPS51	EP3	Pinus abies panachaica
EPS52	EP3	Pinus apollinis
EPS53	EP3	Pinus cephalonica
EPS54	EP3	Pinus cephalonica reginae-amaliae
EPS55	EP3	Pinus picea graeca
EPS56	EP5	Acacia caven
EPS57	EP8	Acalypha gemina brevibracteata
EPS58	EP8	Acalypha gemina exserta
EPS59	EP8	Acalypha sessilis
EPS60	EP8	Acalypha sessilis brevibracteata
EPS61	EP8	Acalypha sessilis exserta
EPS62	EP8	Mercurialis cucullata
EPS63	EP8	Ricinocarpus segetalis
EPS64	EP9	Achillea montenegrina
EPS65	EP9	Ptarmica abrotanoides
EPS66	EP10	Achillea viscosa
EPS67	EP10	Conforata ageratum
EPS68	EP10	Santolina ageratum
EPS69	EP11	Achillea albicaulis
EPS70	EP11	Achillea albida
EPS71	EP11	Achillea kermanica
EPS72	EP11	Achillea krascheninnikovii
EPS73	EP11	Achillea microloba
EPS74	EP11	Achillea santolina
EPS75	EP11	Achillea virgata
EPS76	EP11	Anthemis caespitosa
EPS77	EP11	Anthemis pseudoatrata
EPS78	EP11	Anthemis tenuifolia
EPS79	EP11	Ptarmica tenuifolia
EPS80	EP12	Achillea alexandri-regis holosericiformis
EPS81	EP12	Ptarmica alexandri-regis
EPS82	EP13	Achillea asplenifolia
EPS83	EP13	Achillea asplenifolia hungaricum
EPS84	EP13	Achillea asplenifolia luxurians
EPS85	EP13	Achillea crispa
EPS86	EP14	Achillea halleri
EPS87	EP14	Achillea multifida
EPS88	EP14	Anthemis corymbosa
EPS89	EP14	Chamaemelum atratum
EPS90	EP14	Ptarmica atrata
EPS91	EP14	Ptarmica clusiana
EPS92	EP14	Ptarmica multifida
EPS93	EP14	Ptarmica scardica
EPS94	EP14	Santolina atrata
EPS95	EP16	Achillea biebersteinii
EPS96	EP16	Achillea micrantha
EPS97	EP17	Achillea chrysantha
EPS98	EP17	Achillea jacea
EPS99	EP20	Achillea compacta
EPS100	EP20	Achillea glomerata
EPS101	EP20	Achillea sericea
EPS102	EP20	Achillea tomentosa
EPS103	EP20	Achillea velutina
EPS104	EP20	Chamaemelum coarctatum
EPS105	EP20	Millefolium compactum
EPS106	EP21	Achillea collina arenaria
EPS107	EP21	Achillea collina tubuliflora
EPS108	EP21	Achillea millefolium collina
EPS109	EP22	Achillea clavennae corabensis
EPS110	EP22	Achillea corabensis
EPS111	EP23	Achillea birjuczensis
EPS112	EP23	Achillea crithmifolia
EPS113	EP23	Achillea fruticulosa
EPS114	EP23	Achillea gerberi
EPS115	EP23	Achillea gerberi angustifolia
EPS116	EP23	Achillea pubescens
EPS117	EP23	Chamaemelum gerberi
EPS118	EP24	Achillea pseudopectinata Janka
EPS119	EP25	Achillea eupatorium
EPS120	EP25	Achillea filicifolia
EPS121	EP25	Tanacetum angulatum
EPS122	EP27	Achillea flabelliformis
EPS123	EP27	Achillea tomentosa
EPS124	EP28	Achillea buglossis
EPS125	EP28	Achillea lingulata acutifolia
EPS126	EP28	Ptarmica lingulata
EPS127	EP29	Achillea ambigua
EPS128	EP29	Achillea anethifolia
EPS129	EP29	Achillea crassifolia
EPS130	EP29	Achillea cuspidata
EPS131	EP29	Achillea haenkeana
EPS132	EP29	Achillea intermedia
EPS133	EP29	Achillea lanata
EPS134	EP29	Achillea magna
EPS135	EP29	Achillea marginata
EPS136	EP29	Achillea millefolium albiflora
EPS137	EP29	Achillea millefolium alpestris
EPS138	EP29	Achillea millefolium alpestris
EPS139	EP29	Achillea millefolium colliniformis
EPS140	EP29	Achillea millefolium dipetala
EPS141	EP29	Achillea millefolium dissecta
EPS142	EP29	Achillea millefolium lobata
EPS143	EP29	Achillea millefolium maritima
EPS144	EP29	Achillea millefolium spathulata
EPS145	EP29	Achillea ochroleuca
EPS146	EP29	Achillea ossica
EPS147	EP29	Achillea scabra
EPS148	EP29	Achillea setacea
EPS149	EP29	Achillea subhirsuta
EPS150	EP29	Achillea submillefolium
EPS151	EP29	Achillea sylvatica
EPS152	EP29	Achillea tanacetifolia
EPS153	EP29	Achillea tenuifolia
EPS154	EP29	Achillea tenuis
EPS155	EP29	Achillios millefoliatus
EPS156	EP29	Alitubus millefolium
EPS157	EP29	Chamaemelum millefolium
EPS158	EP29	Millefolium officinale
EPS159	EP29	Millefolium vulgare
EPS160	EP29	Santolina millefolium
EPS161	EP30	Achillea ambigua
EPS162	EP30	Achillea anethifolia
EPS163	EP30	Achillea crassifolia
EPS164	EP30	Achillea cuspidata
EPS165	EP30	Achillea haenkeana
EPS166	EP30	Achillea intermedia
EPS167	EP30	Achillea lanata
EPS168	EP30	Achillea magna
EPS169	EP30	Achillea marginata
EPS170	EP30	Achillea millefolium albiflora
EPS171	EP30	Achillea millefolium alpestris
EPS172	EP30	Achillea millefolium alpestris
EPS173	EP30	Achillea millefolium colliniformis
EPS174	EP30	Achillea millefolium dipetala
EPS175	EP30	Achillea millefolium dissecta
EPS176	EP30	Achillea millefolium lobata
EPS177	EP30	Achillea millefolium maritima
EPS178	EP30	Achillea millefolium spathulata
EPS179	EP30	Achillea ochroleuca
EPS180	EP30	Achillea ossica
EPS181	EP30	Achillea scabra
EPS182	EP30	Achillea setacea
EPS183	EP30	Achillea subhirsuta
EPS184	EP30	Achillea submillefolium
EPS185	EP30	Achillea sylvatica
EPS186	EP30	Achillea tanacetifolia
EPS187	EP30	Achillea tenuifolia
EPS188	EP30	Achillea tenuis
EPS189	EP30	Achillios millefoliatus
EPS190	EP30	Alitubus millefolium
EPS191	EP30	Chamaemelum millefolium
EPS192	EP30	Millefolium officinale
EPS193	EP30	Millefolium vulgare
EPS194	EP30	Santolina millefolium
EPS195	EP31	Achillea bannatica
EPS196	EP31	Achillea bulgarica
EPS197	EP31	Achillea crithmifolia bulgarica
EPS198	EP31	Achillea crithmifolia doerfleri
EPS199	EP31	Achillea crithmifolia gubinensis
EPS200	EP31	Achillea diversifolia
EPS201	EP31	Achillea doerfleri
EPS202	EP31	Achillea leptophylla
EPS203	EP31	Achillea nobilis
EPS204	EP31	Achillea smithii
EPS205	EP31	Chamaemelum crithmifolium
EPS206	EP35	Achillea ageratifolia serbica
EPS207	EP35	Achillea serbica
EPS208	EP37	Achillea alpicola
EPS209	EP37	Achillea ambigua
EPS210	EP37	Achillea breynina
EPS211	EP37	Achillea compacta
EPS212	EP37	Achillea magna
EPS213	EP37	Achillea pseudotanacetifolia
EPS214	EP37	Achillea stricta
EPS215	EP37	Achillea stricta
EPS216	EP37	Achillea stricta alpicola
EPS217	EP37	Achillea stricta breynina
EPS218	EP37	Santolina magna
EPS219	EP39	Achillea coronopifolia
EPS220	EP39	Achillea cristata
EPS221	EP39	Achillea distans
EPS222	EP39	Achillea magna
EPS223	EP39	Achillea millefolium tanacetifolia
EPS224	EP39	Achillea pumila
EPS225	EP39	Achillea subtanacetifolia
EPS226	EP39	Achillea tanacetifolia
EPS227	EP39	Achillea tanacetifolia laciniata
EPS228	EP39	Chamaemelum tanacetifolium
EPS229	EP40	Achillea albicaulis
EPS230	EP40	Achillea albida
EPS231	EP40	Achillea kermanica
EPS232	EP40	Achillea krascheninnikovii
EPS233	EP40	Achillea microloba
EPS234	EP40	Achillea santolina
EPS235	EP40	Achillea virgata
EPS236	EP40	Anthemis caespitosa
EPS237	EP40	Anthemis pseudoatrata
EPS238	EP40	Anthemis tenuifolia
EPS239	EP40	Ptarmica tenuifolia
EPS240	EP41	Achillea muschensis
EPS241	EP41	Achillea vermiculata
EPS242	EP42	Acinos alpinus hungaricus
EPS243	EP42	Acinos alpinus nomismophyllus
EPS244	EP42	Acinos baumgartenii
EPS245	EP42	Acinos hungaricus
EPS246	EP42	Acinos hungaricus albiflorus
EPS247	EP42	Acinos hungaricus coloratus
EPS248	EP42	Acinos hungaricus cuneatus
EPS249	EP42	Acinos hungaricus doiranensis
EPS250	EP42	Acinos hungaricus kindingeri
EPS251	EP42	Acinos hungaricus marginatus
EPS252	EP42	Acinos hungaricus ozrensis
EPS253	EP42	Acinos hungaricus rosiflorus
EPS254	EP42	Acinos majoranifolius albiflora
EPS255	EP42	Acinos majoranifolius kindigeri
EPS256	EP42	Acinos majoranifolius ozrensis
EPS257	EP42	Acinos majoranifolius rosiflorus
EPS258	EP42	Calamintha alpina albiflora
EPS259	EP42	Calamintha alpina baumgartenii
EPS260	EP42	Calamintha alpina cuneata
EPS261	EP42	Calamintha alpina cuneata
EPS262	EP42	Calamintha alpina hungarica
EPS263	EP42	Calamintha alpina marginata
EPS264	EP42	Calamintha alpina nomismophylla
EPS265	EP42	Calamintha alpina villicaulis
EPS266	EP42	Calamintha hungarica
EPS267	EP42	Calamintha hungarica cuneata
EPS268	EP42	Calamintha hungarica villicaulis
EPS269	EP42	Calamintha patavina colorata
EPS270	EP42	Calamintha patavina doiranensis
EPS271	EP42	Calamintha patavina kindigeri
EPS272	EP42	Calamintha patavina rotundifolia
EPS273	EP42	Calamintha rotundifolia brevipetala
EPS274	EP42	Calamintha rotundifolia villosa
EPS275	EP42	Melissa baumgartenii
EPS276	EP42	Melissa hungarica
EPS277	EP42	Satureja alpina baumgartenii
EPS278	EP42	Satureja alpina marginata
EPS279	EP42	Satureja hungarica
EPS280	EP42	Satureja majoranifolia albiflora
EPS281	EP42	Satureja majoranifolia cuneata
EPS282	EP42	Satureja majoranifolia ozrensis
EPS283	EP42	Satureja majoranifolia rosiflora
EPS284	EP43	Acinos heterophyllus
EPS285	EP43	Acinos suaveolens
EPS286	EP43	Acinos suaveolens acuminatus
EPS287	EP43	Acinos suaveolens bulgaricus
EPS288	EP43	Acinos suaveolens kalampacanus
EPS289	EP43	Acinos suaveolens thessalicus
EPS290	EP43	Acinos suaveolens tinctus
EPS291	EP43	Acinos suaveolens viridis
EPS292	EP43	Calamintha acinoides
EPS293	EP43	Calamintha acuminata
EPS294	EP43	Calamintha langei
EPS295	EP43	Calamintha patavina
EPS296	EP43	Calamintha patavina acuminata
EPS297	EP43	Calamintha rotundifolia
EPS298	EP43	Calamintha suaveolens
EPS299	EP43	Calamintha suaveolens acinoides
EPS300	EP43	Calamintha suaveolens acuminata
EPS301	EP43	Calamintha suaveolens tincta
EPS302	EP43	Calamintha suaveolens viridis
EPS303	EP43	Melissa acinoides
EPS304	EP43	Melissa suaveolens
EPS305	EP43	Satureja alpina suaveolens
EPS306	EP43	Satureja alpina suaveolens
EPS307	EP43	Satureja alpina viridis
EPS308	EP43	Satureja suaveolens
EPS309	EP43	Thymus acinoides
EPS310	EP43	Thymus melissoides
EPS311	EP43	Thymus melissoides
EPS312	EP43	Thymus suaveolens
EPS313	EP45	Calamus aromaticus
EPS314	EP49	Aeollanthus buettneri
EPS315	EP49	Aeollanthus calvus
EPS316	EP49	Aeollanthus chevalieri
EPS317	EP49	Aeollanthus elongatus
EPS318	EP49	Aeollanthus lujae
EPS319	EP49	Aeollanthus petasatus
EPS320	EP49	Aeollanthus pubescens nudus
EPS321	EP49	Aeollanthus purpureopilosus
EPS322	EP49	Aeollanthus robynsii
EPS323	EP49	Aeollanthus stormsii
EPS324	EP49	Aeollanthus stormsioides
EPS325	EP50	Aeollanthus affinis
EPS326	EP50	Aeollanthus cassawa
EPS327	EP50	Aeollanthus claessensii
EPS328	EP50	Aeollanthus edlingeri
EPS329	EP50	Aeollanthus glabrifolius
EPS330	EP50	Aeollanthus heliotropioides
EPS331	EP50	Aeollanthus lamborayi
EPS332	EP50	Aeollanthus schliebenii
EPS333	EP50	Aeollanthus suaveolens
EPS334	EP50	Aeollanthus suavis
EPS335	EP51	Amomum citratum
EPS336	EP51	Amomum macrolepis
EPS337	EP51	Cardamomum citratum
EPS338	EP52	Aframomum korarima
EPS339	EP52	Aframomum usambarense
EPS340	EP52	Amomum corrorima
EPS341	EP52	Amomum korarima
EPS342	EP53	Aframomum cuspidatum
EPS343	EP53	Aframomum leonense
EPS344	EP53	Aframomum oleraceum
EPS345	EP53	Alexis bifurca
EPS346	EP53	Amomum cuspidatum
EPS347	EP53	Amomum exscapum
EPS348	EP56	Aframomum grana-paradisi
EPS349	EP56	Aframomum meleguetella
EPS350	EP56	Alexis grandiflora
EPS351	EP56	Alpinia grana-paradisi
EPS352	EP56	Amomum elatum
EPS353	EP56	Amomum grana-paradisi
EPS354	EP56	Amomum grandiflorum
EPS355	EP56	Amomum melegueta
EPS356	EP56	Amomum melegueta violacea
EPS357	EP56	Cardamomum grana-paradisi
EPS358	EP56	Cardamomum grandiflorum
EPS359	EP56	Torymenes officinalis
EPS360	EP58	Aframomum biauriculatum
EPS361	EP58	Aframomum candidum
EPS362	EP58	Aframomum latifolium
EPS363	EP58	Aframomum macrospermum
EPS364	EP58	Aframomum stipulatum
EPS365	EP58	Amomum alboviolaceum
EPS366	EP58	Amomum bitacoum
EPS367	EP58	Amomum latifolium
EPS368	EP58	Amomum macrospermum
EPS369	EP58	Amomum stipulatum
EPS370	EP58	Cardamomum latifolium
EPS371	EP58	Ceratanthera beaumetzii
EPS372	EP59	Agastache anethiodora
EPS373	EP59	Agastache foeniculum bernardii
EPS374	EP59	Agastache foeniculum candicans
EPS375	EP59	Hyptis marathrosma
EPS376	EP59	Hyssopus anethiodorus
EPS377	EP59	Hyssopus anisatus
EPS378	EP59	Hyssopus discolor
