pid,pname,pfid,phid,pgenus
1,Abies alba,71,1,Abies
2,Abies borisii-regis,71,1,Abies
3,Abies cephalonica,71,1,Abies
4,Abies sachalinensis,71,1,Abies
5,Acacia caven,19,1,Acacia
6,Acacia nuperrima ssp. Cassitera (Dimbulah chemotype),37,1,Acacia
7,Acacia nuperrima ssp. Cassitera (Lappa chemotype),37,1,Acacia
8,Acalypha segetalis,36,1,Acalypha
9,Achillea abrotanoides,15,1,Achillea
10,Achillea ageratum,15,1,Achillea
11,Achillea albicaulis,15,1,Achillea
12,Achillea alexandri-regis,15,1,Achillea
13,Achillea asplenifolia,15,1,Achillea
14,Achillea atrata,15,1,Achillea
15,Achillea beibersteinii,15,1,Achillea
16,Achillea biebersteinii,15,1,Achillea
17,Achillea chrysocoma,15,1,Achillea
18,Achillea clavenae,15,1,Achillea
19,Achillea clypeolata,15,1,Achillea
20,Achillea coarctata,15,1,Achillea
21,Achillea collina,15,1,Achillea
22,Achillea corabensis,15,1,Achillea
23,Achillea crithmifolia,15,1,Achillea
24,Achillea depressa,15,1,Achillea
25,Achillea filipendulina,15,1,Achillea
26,Achillea goniocephala,15,1,Achillea
27,Achillea holosericea,15,1,Achillea
28,Achillea lingulata,15,1,Achillea
29,Achillea millefolium,15,1,Achillea
30,Achillea millefolium L,15,1,Achillea
31,Achillea nobilis,15,1,Achillea
32,Achillea oligocephala,15,1,Achillea
33,Achillea pseudoaleppica,15,1,Achillea
34,Achillea schischkinii,15,1,Achillea
35,Achillea serbica,15,1,Achillea
36,Achillea sieheana,15,1,Achillea
37,Achillea stricta,15,1,Achillea
38,Achillea talagonica,15,1,Achillea
39,Achillea tanacetifolia,15,1,Achillea
40,Achillea tenuifolia,15,1,Achillea
41,Achillea vermicularis,15,1,Achillea
42,Acinos hungaricus,47,1,Acinos
43,Acinos suaveolens,47,1,Acinos
44,Acitinidia chinensis,2,1,Acitinidia
45,Acorus calamus,1,1,Acorus
46,Acorus calamus L,13,1,Acorus
47,Aeollanthus myrianthus,47,1,Aeollanthus
48,Aeollanthus parvifolius,47,1,Aeollanthus
49,Aeollanthus pubescens,47,1,Aeollanthus
50,Aeollanthus suaveolens,47,1,Aeollanthus
51,Aframomum citratum,101,1,Aframomum
52,Aframomum corrorima,101,1,Aframomum
53,Aframomum exscapum,101,1,Aframomum
54,Aframomum hanburyl,101,1,Aframomum
55,Aframomum letestuanum,101,1,Aframomum
56,Aframomum melegueta,101,1,Aframomum
57,Aframomum pruinosum,101,1,Aframomum
58,Aframomum stipulatum,62,1,Aframomum
59,Agastache foeniculum,47,1,Agastache
60,Agastache scrophulariaefolia,47,1,Agastache
61,Agerantina havanensis,15,1,Agerantina
62,Ageratum Conyzoides,15,2,Ageratum
63,Ajuga austro-iranica,47,1,Ajuga
64,Ajuga chamaecistus,47,1,Ajuga
65,Ajuga chamaepitys,47,1,Ajuga
66,Ajuga chamaepitys ssp. chamaepitys,47,1,Ajuga
67,Alchemilla alpina,82,1,Alchemilla
68,Alkanna orientalis,19,1,Alkanna
69,Allamanda cathartica,12,1,Allamanda
70,Allium fistulosum,5,1,Allium
71,Allium sativum (L.),3,1,Allium
72,Alococarpum erianthum,11,1,Alococarpum
73,Aloysia gratissima,97,1,Aloysia
74,Aloysia triphylla,15,1,Aloysia
75,Alpinia calcarata,101,1,Alpinia
76,Alpinia galanga,101,1,Alpinia
77,Alpinia laosensis,101,1,Alpinia
78,Alpinia malaccensis,101,1,Alpinia
79,Alpinia nutans,101,1,Alpinia
80,Alpinia purpurata,101,1,Alpinia
81,Alpinia purpurata (pink),101,1,Alpinia
82,Alpinia purpurata (red),101,1,Alpinia
83,Alpinia smithiae,101,1,Alpinia
84,Alpinia zerumbet,101,1,Alpinia
85,Ambrosia artemisiifolia,15,2,Ambrosia
86,Ambrosia hispida,15,1,Ambrosia
87,Ambrosia microcephala,15,1,Ambrosia
88,Ammodaucus leucotrichus,10,1,Ammodaucus
89,Ammoides atlantica,11,1,Ammoides
90,Ammoides pusilla,11,1,Ammoides
91,Amomum subulatum,101,1,Amomum
92,Amoora rohituka,55,1,Amoora
